,type,Temp_OXid,ppm,Pressure,Oxid_time,thickness,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Temp_Etching,Source_Power,Selectivity,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target,Chamber,Etching_rate
15,dry,1128.751217,36.07,0.191,98,715.371,1.16778,15.909,15.074,19.997,200.249,90.001,503.423,4088.406,5101.54,5.04,93.136,30.001,46.903,365,532.252,105.132,71.169,50.615,1.038,1.42e+16,8.73e+16,1.38e+17,3e+17,6e+17,31446.324,102.759,882.0,155,0,21211,171.79275
16,dry,937.5402487,35.73,0.211,94,708.346,1.29164,14.085,15.067,19.994,199.309,90.0,498.509,4043.081,5057.66,4.89,91.247,30.005,66.532,405,509.393,108.43,71.153,51.318,1.023,7830000000000000.0,1.31e+17,1.38e+17,3.03e+17,6e+17,32773.392,105.126,896.0,150,1,21222,165.1615
17,wet,1253.34398,25.39,0.2,174,720.639,1.20773,12.352,15.05,20.004,199.911,90.0,495.402,4054.055,4892.47,5.031,90.587,30.003,33.205,436,551.527,109.55,71.196,50.143,1.041,1.08e+16,3.69e+16,1.38e+17,2.99e+17,6e+17,31202.426,100.703,898.0,155,0,21233,171.40975
18,dry,921.1975736,36.43,0.209,70,711.451,1.19261,15.651,15.089,19.994,198.866,90.0,494.517,3988.812,5005.117,4.957,92.169,30.01,42.216,365,512.091,108.576,71.174,51.616,1.006,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31661.976,101.119,891.0,149,0,21311,169.03775000000002
19,dry,1106.970806,37.56,0.208,87,705.974,1.24523,16.552,14.965,20.001,199.816,90.0,498.307,3983.693,5029.168,4.936,90.845,30.005,55.47,405,515.702,108.514,71.287,51.408,1.02,1.34e+16,7.75e+16,1.38e+17,2.99e+17,6e+17,30785.849,103.203,880.0,156,0,21322,169.54350000000002
20,dry,1168.40681,32.8,0.205,113,702.475,1.5879,15.616,15.09,19.994,203.987,90.001,505.859,4015.481,4993.499,4.987,93.328,30.002,58.434,405,492.517,108.301,71.17,51.257,1.026,1.19e+16,8.61e+16,1.38e+17,2.99e+17,6e+17,31765.567,102.207,878.0,156,0,21333,166.16875
21,wet,1144.326323,31.86,0.204,106,701.78,1.60777,16.681,15.063,20.003,196.125,90.001,502.416,3973.891,4974.61,5.008,92.743,29.999,46.924,365,520.06,108.3,71.164,49.726,1.013,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.365,101.874,912.0,155,0,21311,167.51999999999998
22,dry,1121.52316,39.51,0.217,50,711.92,1.23906,18.582,15.116,19.998,204.725,90.0,502.749,4082.609,5036.144,5.064,91.218,30.01,43.02,365,498.906,109.672,71.119,51.228,1.017,1.66e+16,2.38e+17,1.38e+17,3e+17,6e+17,31877.743,101.707,914.0,155,0,21322,166.155
23,wet,1264.814709,32.88,0.201,112,696.968,0.70056,16.129,15.034,20.007,197.381,90.0,502.125,4101.095,5013.425,4.925,94.13,29.985,39.639,365,519.143,108.319,71.256,51.375,1.052,1.15e+16,1.09e+17,1.38e+17,3e+17,6e+17,30107.396,102.811,899.0,156,0,21333,161.767
24,wet,980.4659023,38.11,0.194,78,706.048,0.55934,18.547,14.97,20.004,196.756,90.0,499.319,4074.474,4974.847,5.037,94.773,29.993,48.829,405,512.364,109.219,71.402,51.31,1.067,9270000000000000.0,9.56e+16,1.38e+17,2.99e+17,6e+17,32048.247,102.598,903.0,157,0,21311,170.962
25,dry,1078.143907,39.93,0.197,80,707.196,1.67261,14.217,14.917,19.995,196.614,90.001,505.745,4078.04,5011.823,4.986,91.892,30.006,51.041,365,522.393,110.411,71.287,51.489,1.03,1.88e+16,9.24e+16,1.38e+17,3e+17,6e+17,31221.028,104.234,879.0,155,0,21322,175.774
26,dry,1053.962633,35.63,0.218,89,715.913,1.20795,15.818,15.039,19.998,202.174,89.999,494.887,4011.312,4985.691,5.07,94.156,30.005,49.273,405,508.958,108.273,71.538,50.43,1.029,7200000000000000.0,1.3e+17,1.38e+17,3e+17,6e+17,31645.163,100.57,890.0,157,0,21333,177.35325
27,dry,1198.323089,26.69,0.203,120,705.284,1.46994,14.06,15.006,20.001,200.551,90.001,503.63,4010.591,4903.611,5.02,91.918,30.005,41.676,365,505.388,109.628,72.651,52.103,1.03,1.5e+16,1.32e+17,1.38e+17,3.01e+17,6e+17,30795.934,103.433,854.0,154,0,33311,167.821
28,dry,959.1715156,30.86,0.217,137,690.8,0.86579,13.693,15.059,19.993,199.835,89.999,502.354,4042.427,4979.082,4.937,90.976,30.005,53.612,405,541.732,104.917,70.267,52.004,1.038,1.11e+16,4.37e+16,1.38e+17,3.03e+17,6e+17,32135.618,105.552,895.0,156,0,11111,166.075
29,dry,1175.582493,31.07,0.218,116,702.641,0.90483,15.221,14.93,19.995,202.118,90.001,504.103,4025.856,5031.989,4.888,91.969,30.006,47.598,365,532.2,106.632,71.231,50.846,1.005,1.04e+16,1.51e+16,1.38e+17,2.98e+17,6e+17,31057.895,102.598,898.0,152,0,11222,165.38524999999998
30,dry,927.5054921,31.04,0.196,143,704.124,0.42197,19.114,14.947,20.004,194.668,90.0,502.088,4144.57,4969.316,4.933,91.458,30.001,32.843,436,537.729,108.785,71.295,51.665,1.025,8890000000000000.0,1.02e+17,1.38e+17,3e+17,6e+17,32140.566,102.963,879.0,155,0,11333,167.831
31,wet,1120.908253,31.37,0.215,76,707.911,1.70139,14.942,14.82,19.998,202.192,90.0,498.167,4049.729,5092.407,5.05,94.723,29.988,57.37,405,522.143,109.913,72.983,50.787,1.038,1.67e+16,7.88e+16,1.38e+17,3.02e+17,6e+17,31986.009,101.419,882.0,155,0,12133,171.50275
32,dry,1310.70949,41.03,0.213,114,712.218,0.69888,12.958,14.997,20.0,197.199,90.0,500.9,4030.187,4946.249,4.945,91.069,30.003,4.562,365,539.753,107.797,70.207,51.687,1.023,1.13e+16,8.12e+16,1.38e+17,2.99e+17,6e+17,31982.632,103.847,871.0,152,0,12222,171.25449999999998
33,dry,933.3671298,30.24,0.211,116,714.56,0.85768,17.886,14.978,19.999,202.194,90.0,502.255,4126.143,5060.506,5.117,88.719,29.995,59.616,365,482.812,107.033,70.688,50.834,1.034,1.13e+16,1.16e+17,1.38e+17,2.99e+17,6e+17,32499.229,102.84,916.0,157,0,12311,167.915
34,dry,1033.436679,30.45,0.199,218,700.741,0.45409,13.268,14.919,20.0,202.532,90.0,503.99,3902.474,5113.826,5.021,92.617,30.002,26.803,436,526.283,105.824,69.496,51.711,1.047,1.12e+16,7.2e+16,1.38e+17,3e+17,6e+17,32016.39,104.368,891.0,153,0,13111,161.16025
35,wet,1137.05619,32.35,0.217,119,715.399,1.36775,15.335,15.013,19.999,200.458,90.001,504.46,3995.181,4942.826,5.051,91.588,29.989,23.234,365,507.655,105.088,70.06,51.141,1.047,1.45e+16,6.48e+16,1.38e+17,3.01e+17,6e+17,31810.414,103.625,903.0,153,0,13222,177.72475
36,wet,978.1492813,35.26,0.202,85,687.497,0.82933,12.201,15.01,20.002,202.963,89.999,499.481,4135.365,5111.433,5.102,92.888,29.997,59.996,436,508.986,106.837,71.617,51.857,1.045,1.06e+16,8.54e+16,1.38e+17,3e+17,6e+17,31969.699,102.847,883.0,161,0,13333,161.77425
37,wet,1077.329932,35.17,0.195,144,722.57,1.51697,13.009,14.889,19.997,199.4,89.999,497.891,4041.284,4982.75,4.989,90.241,30.002,54.021,436,492.678,110.934,70.261,50.744,1.032,1.53e+16,1.01e+17,1.38e+17,3e+17,6e+17,31419.868,103.298,862.0,154,0,21133,170.44250000000002
38,wet,1013.429731,38.24,0.199,58,721.595,0.83835,14.145,14.952,20.0,204.41,89.999,504.626,4052.219,5036.152,4.997,94.758,29.998,20.588,436,547.415,110.832,72.521,50.902,1.03,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.102,104.54,892.0,154,0,21222,171.34875000000002
39,wet,1014.428039,32.81,0.201,144,708.792,1.22796,13.379,15.072,20.0,198.818,90.002,503.298,4029.315,5156.979,4.959,90.49,29.998,49.682,405,511.504,104.978,70.816,51.002,1.035,1.13e+16,1.31e+16,1.38e+17,3e+17,6e+17,31201.477,103.231,902.0,158,0,21311,169.498
40,dry,1124.607013,38.2,0.219,119,702.557,1.52203,13.022,14.979,20.006,201.674,90.0,496.152,4088.413,5019.57,4.9,93.958,30.005,36.541,405,511.294,107.77,70.79,50.947,1.045,1.17e+16,1.1e+17,1.38e+17,3e+17,6e+17,31084.207,101.561,895.0,153,0,22111,160.53924999999998
41,dry,1144.681131,26.67,0.198,118,702.259,1.52932,13.366,14.849,20.0,202.289,90.001,502.637,4062.197,5085.989,4.864,92.418,30.009,33.036,436,515.668,109.616,71.372,50.451,1.063,1.18e+16,8.54e+16,1.38e+17,3.01e+17,6e+17,32253.776,102.869,904.0,155,0,22222,168.56475
42,dry,1127.583511,36.07,0.191,98,715.371,1.16778,15.909,15.074,19.997,200.249,90.001,499.361,4088.406,5101.54,5.04,93.136,30.001,46.903,365,532.252,105.132,71.939,50.615,1.038,1.42e+16,8.73e+16,1.38e+17,3e+17,6e+17,31446.324,102.759,882.0,155,0,22333,171.79275
43,dry,919.1686609,35.73,0.211,94,708.346,1.29164,14.085,15.067,19.994,199.309,90.0,503.635,4043.081,5057.66,4.89,91.247,30.005,66.532,405,509.393,108.43,72.12,51.318,1.023,7830000000000000.0,1.31e+17,1.38e+17,3.03e+17,6e+17,32773.392,105.126,896.0,150,1,23133,165.1615
44,wet,1238.206078,25.39,0.2,174,720.639,1.20773,12.352,15.05,20.004,199.911,90.0,505.191,4054.055,4892.47,5.031,90.587,30.003,33.205,436,551.527,109.55,72.795,50.143,1.041,1.08e+16,3.69e+16,1.38e+17,2.99e+17,6e+17,31202.426,100.703,898.0,155,0,23222,171.40975
45,dry,913.9708094,36.43,0.209,70,711.451,1.19261,15.651,15.089,19.994,198.866,90.0,501.018,3988.812,5005.117,4.957,92.169,30.01,42.216,365,512.091,108.576,70.126,51.616,1.006,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31661.976,101.119,891.0,149,0,23311,169.03775000000002
46,dry,1091.414497,37.56,0.208,87,705.974,1.24523,16.552,14.965,20.001,199.816,90.0,500.181,3983.693,5029.168,4.936,90.845,30.005,55.47,405,515.702,108.514,70.69,51.408,1.02,1.34e+16,7.75e+16,1.38e+17,2.99e+17,6e+17,30785.849,103.203,880.0,156,0,31111,169.54350000000002
47,dry,1149.044929,35.42,0.205,113,702.475,1.5879,15.616,15.09,19.994,203.987,90.001,497.838,4015.481,4993.499,4.987,93.328,30.002,58.434,405,492.517,108.301,71.316,51.257,1.026,1.19e+16,8.61e+16,1.38e+17,2.99e+17,6e+17,31765.567,102.207,878.0,156,0,31333,166.16875
48,wet,1133.633441,26.68,0.204,106,701.78,1.60777,16.681,15.063,20.003,196.125,90.001,502.747,3973.891,4974.61,5.008,92.743,29.999,46.924,365,520.06,108.3,70.598,49.726,1.013,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.365,101.874,912.0,155,0,32133,167.51999999999998
49,dry,1119.207556,27.56,0.217,50,711.92,1.23906,18.582,15.116,19.998,204.725,90.0,498.724,4082.609,5036.144,5.064,91.218,30.01,43.02,365,498.906,109.672,70.318,51.228,1.017,1.66e+16,2.38e+17,1.38e+17,3e+17,6e+17,31877.743,101.707,914.0,155,0,32222,166.155
50,wet,1263.692964,31.61,0.201,112,696.968,0.70056,16.129,15.034,20.007,197.381,90.0,502.034,4101.095,5013.425,4.925,94.13,29.985,39.639,365,519.143,108.319,69.975,51.375,1.052,1.15e+16,1.09e+17,1.38e+17,3e+17,6e+17,30107.396,102.811,899.0,156,0,32311,161.767
51,wet,964.1227727,38.72,0.194,78,706.048,0.55934,18.547,14.925,20.004,196.756,90.0,506.502,4074.474,4974.847,5.037,94.773,29.993,48.829,405,512.364,109.219,71.688,51.31,1.067,9270000000000000.0,9.56e+16,1.38e+17,2.99e+17,6e+17,32048.247,102.598,903.0,157,0,33111,170.962
52,dry,1059.003352,32.91,0.197,80,707.196,1.67261,14.217,14.994,19.995,196.614,90.001,494.901,4078.04,5011.823,4.986,91.892,29.996,51.041,365,522.393,110.411,71.438,51.489,1.03,1.88e+16,9.24e+16,1.38e+17,3e+17,6e+17,31221.028,104.234,879.0,155,0,33222,175.774
53,dry,1045.950206,44.94,0.218,89,715.913,1.20795,15.818,15.001,19.998,202.174,89.999,496.237,4011.312,4985.691,5.07,94.156,30.001,49.273,405,508.958,108.273,71.538,50.43,1.029,7200000000000000.0,1.3e+17,1.38e+17,3e+17,6e+17,31645.163,100.57,890.0,157,0,33333,177.35325
54,wet,1002.632767,28.6,0.204,136,709.929,1.15412,15.735,15.109,19.997,196.472,90.001,504.231,4114.543,5041.776,5.064,89.556,30.009,27.462,436,521.612,108.679,71.259,51.068,1.033,1.09e+16,4.12e+16,1.38e+17,3.03e+17,6e+17,31292.665,100.718,899.0,151,0,22111,173.33225
55,dry,1095.603032,34.58,0.206,187,711.48,0.89269,11.919,15.018,19.993,199.099,89.999,500.053,4001.361,4993.428,4.975,91.388,30.0,44.609,405,526.271,106.244,71.105,51.201,1.023,1.14e+16,7.25e+16,1.38e+17,2.99e+17,6e+17,32015.142,103.175,874.0,155,0,22122,168.995
56,wet,1024.228342,34.95,0.205,86,704.277,1.4453,15.074,14.927,20.003,198.167,90.0,500.402,4054.534,4885.56,5.004,90.966,29.995,29.386,365,543.086,109.029,71.861,49.342,1.036,1.62e+16,8.58e+16,1.38e+17,3.01e+17,6e+17,30828.379,102.963,882.0,158,0,22133,167.54425
57,dry,1135.410543,32.59,0.219,73,703.992,0.976,16.041,15.184,20.002,201.002,90.0,494.976,3957.086,5029.16,4.924,88.854,30.001,56.894,365,513.425,109.311,72.316,51.908,1.037,1.24e+16,1.5e+17,1.38e+17,2.99e+17,6e+17,32525.804,102.767,926.0,156,0,22111,168.398
58,dry,1120.141628,38.02,0.201,73,722.297,1.63851,15.929,14.935,19.999,199.47,90.001,499.243,4087.957,4989.254,4.871,91.973,30.002,61.517,405,544.004,105.044,71.392,51.661,1.014,1.54e+16,4.3e+16,1.38e+17,3.02e+17,6e+17,31584.1,102.448,925.0,156,0,22122,169.49925000000002
59,wet,1210.039779,33.81,0.193,160,713.608,1.44384,12.411,14.838,20.003,202.924,90.0,501.188,4025.484,5066.833,4.981,92.494,30.011,26.046,365,521.06,108.97,71.161,52.149,1.045,1.65e+16,1.26e+17,1.38e+17,3e+17,6e+17,31743.858,104.18,914.0,156,1,22133,161.402
60,dry,1057.338499,29.05,0.214,32,712.692,1.20187,14.619,15.22,19.995,200.215,90.0,493.336,4036.876,5042.424,4.991,93.321,29.997,43.331,405,527.072,108.099,70.423,52.148,1.033,7240000000000000.0,1.96e+17,1.38e+17,2.96e+17,6e+17,32590.44,106.173,915.0,154,0,22111,166.048
61,wet,1102.959028,49.91,0.211,32,714.415,0.81159,23.573,14.935,19.999,199.296,90.0,497.313,4014.071,5048.689,4.971,92.586,30.003,22.994,436,528.805,107.31,68.866,50.065,1.004,9910000000000000.0,6.1e+16,1.66e+17,3.02e+17,6e+17,32202.196,103.67,882.0,153,0,22122,166.37875
62,dry,1007.501566,32.47,0.195,32,715.404,2.07859,14.626,15.012,19.998,200.903,90.001,499.243,3985.686,4929.412,4.942,90.423,29.999,59.329,405,529.451,107.358,70.639,51.593,1.005,1.38e+16,1.09e+17,1.38e+17,3e+17,6e+17,31167.976,104.326,888.0,159,0,22133,168.401
63,wet,1173.89048,32.82,0.221,90,713.132,1.44358,20.181,15.014,19.992,197.129,89.999,503.782,4047.541,5081.64,4.92,91.662,30.002,24.228,405,476.574,108.983,70.747,50.321,1.025,1.79e+16,8.57e+16,1.38e+17,3e+17,6e+17,30598.176,102.716,860.0,155,0,22211,168.158
64,wet,1065.872191,36.66,0.186,95,714.295,0.71546,18.517,14.955,20.0,194.871,90.001,501.948,3955.393,5052.778,4.827,95.818,29.998,53.648,405,527.294,106.787,70.321,52.238,1.011,1.07e+16,9.57e+16,2.49e+17,3.01e+17,6e+17,32095.533,103.37,902.0,155,0,22222,169.04874999999998
65,dry,1122.85504,30.09,0.195,115,710.114,0.43355,15.859,15.007,20.003,200.988,90.0,499.28,4062.804,4922.209,5.069,94.12,30.011,33.961,436,527.222,105.326,70.86,51.687,1.044,1.44e+16,5.22e+16,1.38e+17,2.99e+17,6e+17,31074.084,101.302,893.0,155,0,22233,172.45350000000002
66,wet,1106.298433,45.75,0.211,56,710.617,1.64049,17.367,14.926,20.002,198.279,90.001,500.637,4071.633,4978.139,5.026,96.346,30.005,48.94,405,500.856,107.066,69.133,50.789,1.004,1e+16,1.31e+17,1.38e+17,3e+17,6e+17,31732.45,104.196,912.0,153,0,22211,166.50425
67,wet,1194.703777,21.07,0.213,107,711.632,1.42928,16.09,14.993,20.01,198.93,90.001,499.941,3985.677,5152.543,5.017,91.356,29.995,40.812,436,489.18,107.391,69.702,50.383,1.068,8190000000000000.0,7.54e+16,1.38e+17,2.99e+17,6e+17,31559.581,101.5,909.0,154,0,22222,174.783
68,wet,1045.230266,32.17,0.211,44,710.084,1.12362,19.026,14.968,19.999,194.99,90.001,501.817,3978.724,4975.303,4.894,92.106,30.007,38.259,436,539.594,106.346,70.583,50.799,1.018,8240000000000000.0,1.24e+16,1.38e+17,3e+17,6e+17,31251.253,101.809,906.0,155,0,22233,166.44599999999997
69,dry,1135.91157,29.66,0.211,99,721.666,1.62494,18.891,15.02,20.001,196.546,89.999,502.391,4056.014,5114.927,5.079,92.607,30.005,59.087,365,572.47,109.009,70.414,51.688,1.034,8270000000000000.0,7.79e+16,1.38e+17,3e+17,6e+17,31364.131,103.785,906.0,155,0,22211,168.59150000000002
70,wet,1081.35277,41.58,0.213,214,701.383,1.18246,13.788,15.016,20.0,204.524,90.001,507.183,4029.12,5086.284,5.036,92.352,30.006,33.691,405,541.227,108.846,70.48,50.721,0.988,1.22e+16,1.13e+17,1.38e+17,3e+17,6e+17,32166.592,102.54,911.0,153,0,22222,167.89575
71,wet,1119.390949,40.55,0.214,152,720.58,1.22609,18.771,15.05,20.003,204.897,89.999,501.286,3971.194,4934.74,5.099,92.718,29.999,32.647,436,508.153,109.164,71.519,49.98,1.066,1.18e+16,1.14e+17,1.38e+17,2.99e+17,6e+17,32602.428,104.079,917.0,160,0,22233,168.47
72,dry,1059.09193,32.73,0.203,104,710.123,1.81419,20.701,15.026,19.999,200.324,90.001,503.396,4035.394,5084.315,5.053,92.956,29.992,56.475,405,479.665,106.777,71.071,50.758,1.035,6750000000000000.0,9.89e+16,2.11e+17,3e+17,6e+17,31126.822,103.831,894.0,156,0,22311,169.78075
73,dry,1048.341956,36.93,0.227,75,707.342,1.89693,11.253,15.009,19.999,200.37,90.001,501.423,3952.67,5002.849,4.951,89.927,29.99,17.852,436,471.726,111.519,71.294,50.009,1.012,1.49e+16,3.52e+16,1.38e+17,3.01e+17,6e+17,31795.543,104.113,875.0,154,0,22322,170.0105
74,dry,1061.213261,36.8,0.224,118,699.524,1.72027,15.286,15.075,20.004,199.046,90.001,501.079,3972.34,5074.901,5.032,92.197,30.006,43.094,365,537.083,107.613,69.354,50.718,1.02,6750000000000000.0,1.08e+17,1.38e+17,3.01e+17,6e+17,31209.028,103.854,884.0,156,0,22333,160.331
75,wet,1234.4456,35.97,0.203,127,689.684,0.96161,12.463,14.995,20.003,195.75,90.0,501.572,4017.144,5009.249,5.019,92.601,30.007,55.39,405,518.087,107.484,70.906,50.855,1.037,2980000000000000.0,8.43e+16,1.38e+17,3.01e+17,6e+17,30954.031,99.555,895.0,155,0,22311,161.746
76,wet,1141.416407,38.57,0.214,100,699.636,1.48912,19.767,14.994,20.011,203.761,90.0,497.102,4072.913,4976.357,5.107,92.525,30.003,33.589,436,525.359,106.322,69.792,51.891,1.01,1.58e+16,9.95e+16,1.38e+17,3.02e+17,6e+17,31265.102,101.988,916.0,150,0,22322,163.184
77,dry,1275.211613,23.7,0.216,156,715.142,0.94868,16.029,15.102,19.996,203.281,90.0,500.154,4084.939,4888.342,4.969,89.185,30.007,39.028,436,510.969,106.311,70.904,51.018,1.038,6410000000000000.0,9.24e+16,1.38e+17,2.99e+17,6e+17,32267.154,104.109,907.0,155,1,22333,167.0355
78,wet,1064.818618,33.22,0.193,117,726.612,0.83591,17.587,14.946,19.999,205.722,90.001,501.394,4045.078,4953.646,4.98,93.687,29.989,36.623,436,496.314,112.069,71.924,50.918,1.004,1.54e+16,5.38e+16,2.17e+17,3.03e+17,6e+17,31799.934,104.071,917.0,150,0,22311,173.903
79,wet,1096.840945,31.04,0.194,128,710.886,1.36943,16.445,15.017,19.995,200.63,90.0,496.487,4010.176,4883.349,5.029,92.148,30.005,44.947,405,512.789,111.526,70.794,50.944,1.026,1.23e+16,8.84e+16,1.38e+17,2.99e+17,6e+17,32222.227,104.658,893.0,157,0,22322,177.2715
80,wet,1015.972338,33.45,0.211,168,714.473,1.92633,14.419,14.995,19.994,199.008,90.001,501.655,4000.075,5049.738,5.036,92.629,30.001,50.402,365,529.001,107.578,71.566,50.723,1.047,3410000000000000.0,1.26e+17,1.38e+17,3.01e+17,6e+17,32130.349,102.474,900.0,157,0,22333,171.94324999999998
81,wet,1002.158831,44.83,0.204,136,709.929,1.15412,15.735,15.038,19.997,196.472,90.001,500.239,4114.543,5041.776,5.064,89.556,29.998,27.462,436,521.612,108.679,71.259,51.068,1.033,1.09e+16,4.12e+16,1.38e+17,3.03e+17,6e+17,31292.665,100.718,899.0,151,0,11133,173.33225
82,dry,1087.566152,32.51,0.206,187,711.48,0.89269,11.919,15.163,19.993,199.099,89.999,502.524,4101.984,4993.428,4.975,91.388,29.995,44.609,405,526.271,106.244,71.105,51.201,1.023,1.14e+16,7.25e+16,1.38e+17,2.99e+17,6e+17,32015.142,103.175,874.0,155,0,11222,168.995
83,wet,1005.152775,32.99,0.205,86,704.277,1.4453,15.074,14.927,20.003,198.167,90.0,500.916,4020.285,4885.56,5.004,90.966,30.002,29.386,365,543.086,109.029,71.861,49.342,1.036,1.62e+16,8.58e+16,1.38e+17,3.01e+17,6e+17,30828.379,102.963,882.0,158,0,11311,167.54425
