Unnamed: 0,No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
28,NOLSM326132,1,Etching,265,1513,3631,5729,70.267,52.004,1.038,13,2,01-03-2019
29,NOLSM327133,2,Etching,411,1568,3653,5729,71.231,50.846,1.005,13,3,01-03-2019
30,NOLSM328134,3,Etching,328,1326,3661,5718,71.295,51.665,1.025,13,4,01-03-2019
31,NOLSM329135,3,Etching,219,1451,3637,5729,72.983,50.787,1.038,13,5,01-03-2019
32,NOLSM330136,2,Etching,272,1540,3661,5704,70.207,51.687,1.023,13,6,01-03-2019
33,NOLSM331137,1,Etching,429,1624,3617,5728,70.688,50.834,1.034,13,7,01-03-2019
34,NOLSM332138,1,Etching,561,1478,3687,5734,69.496,51.711,1.047,13,8,01-03-2019
35,NOLSM333139,2,Etching,45,1414,3641,5731,70.06,51.141,1.047,13,9,01-03-2019
36,NOLSM3341310,3,Etching,404,1635,3653,5695,71.617,51.857,1.045,13,10,01-03-2019
37,NOLSM3351311,3,Etching,408,1553,3651,5718,70.261,50.744,1.032,13,11,01-03-2019
38,NOLSM3361312,2,Etching,362,1463,3683,5698,72.521,50.902,1.03,13,12,01-03-2019
39,NOLSM3371313,1,Etching,308,1498,3621,5732,70.816,51.002,1.035,13,13,01-03-2019
40,NOLSM3381314,1,Etching,604,1524,3653,5721,70.79,50.947,1.045,13,14,01-03-2019
41,NOLSM3391315,2,Etching,280,1571,3642,5711,71.372,50.451,1.063,13,15,01-03-2019
42,NOLSM3401316,3,Etching,282,1442,3636,5694,71.939,50.615,1.038,13,16,01-03-2019
43,NOLSM3411317,3,Etching,477,1561,3667,5723,72.12,51.318,1.023,13,17,01-03-2019
44,NOLSM3421318,2,Etching,350,1690,3659,5691,72.795,50.143,1.041,13,18,01-03-2019
45,NOLSM3431319,1,Etching,353,1544,3649,5706,70.126,51.616,1.006,13,19,01-03-2019
46,NOLSM3441320,1,Etching,278,1463,3673,5727,70.69,51.408,1.02,13,20,01-03-2019
47,NOLSM3451321,3,Etching,378,1616,3683,5709,71.316,51.257,1.026,13,21,01-03-2019
48,NOLSM3461322,3,Etching,317,1449,3617,5739,70.598,49.726,1.013,13,22,01-03-2019
49,NOLSM3471323,2,Etching,473,1576,3672,5738,70.318,51.228,1.017,13,23,01-03-2019
50,NOLSM3481324,1,Etching,499,1450,3649,5730,69.975,51.375,1.052,13,24,01-03-2019
51,NOLSM3491325,1,Etching,222,1390,3666,5738,71.688,51.31,1.067,13,25,01-03-2019
52,NOLSM3501326,2,Etching,41,1646,3662,5722,71.438,51.489,1.03,13,26,01-03-2019
53,NOLSM3511327,3,Etching,65,1469,3652,5725,71.538,50.43,1.029,13,27,01-03-2019
54,NOLSM352141352,1,Etching,166,1518,3663,5700,71.259,51.068,1.033,14,28,02-03-2019
55,NOLSM353142353,2,Etching,355,1605,3665,5711,71.105,51.201,1.023,14,29,02-03-2019
56,NOLSM354143354,3,Etching,341,1635,3640,5699,71.861,49.342,1.036,14,30,02-03-2019
57,NOLSM355144355,1,Etching,304,1499,3654,5712,72.316,51.908,1.037,14,31,02-03-2019
58,NOLSM356145356,2,Etching,443,1421,3625,5707,71.392,51.661,1.014,14,32,02-03-2019
59,NOLSM357146357,3,Etching,680,1517,3663,5711,71.161,52.149,1.045,14,33,02-03-2019
60,NOLSM358147358,1,Etching,485,1505,3677,5699,70.423,52.148,1.033,14,34,02-03-2019
61,NOLSM359148359,2,Etching,489,1657,3669,5743,68.866,50.065,1.004,14,35,02-03-2019
62,NOLSM360149360,3,Etching,418,1583,3651,5709,70.639,51.593,1.005,14,36,02-03-2019
63,NOLSM3611410361,1,Etching,405,1572,3630,5693,70.747,50.321,1.025,14,37,02-03-2019
64,NOLSM3621411362,2,Etching,381,1485,3671,5722,70.321,52.238,1.011,14,38,02-03-2019
65,NOLSM3631412363,3,Etching,203,1615,3659,5709,70.86,51.687,1.044,14,39,02-03-2019
66,NOLSM3641413364,1,Etching,446,1422,3639,5699,69.133,50.789,1.004,14,40,02-03-2019
67,NOLSM3651414365,2,Etching,125,1395,3642,5737,69.702,50.383,1.068,14,41,02-03-2019
68,NOLSM3661415366,3,Etching,443,1532,3670,5712,70.583,50.799,1.018,14,42,02-03-2019
69,NOLSM3671416367,1,Etching,473,1341,3657,5714,70.414,51.688,1.034,14,43,02-03-2019
70,NOLSM3681417368,2,Etching,298,1564,3652,5724,70.48,50.721,0.988,14,44,02-03-2019
71,NOLSM3691418369,3,Etching,467,1532,3657,5731,71.519,49.98,1.066,14,45,02-03-2019
72,NOLSM3701419370,1,Etching,310,1377,3641,5732,71.071,50.758,1.035,14,46,02-03-2019
73,NOLSM3711420371,2,Etching,273,1489,3650,5722,71.294,50.009,1.012,14,47,02-03-2019
74,NOLSM3721421372,3,Etching,582,1576,3668,5746,69.354,50.718,1.02,14,48,02-03-2019
75,NOLSM3731422373,1,Etching,427,1548,3666,5689,70.906,50.855,1.037,14,49,02-03-2019
76,NOLSM3741423374,2,Etching,469,1460,3691,5703,69.792,51.891,1.01,14,50,02-03-2019
77,NOLSM3751424375,3,Etching,470,1495,3669,5715,70.904,51.018,1.038,14,51,02-03-2019
78,NOLSM3761425376,1,Etching,310,1449,3634,5711,71.924,50.918,1.004,14,52,02-03-2019
79,NOLSM3771426377,2,Etching,18,1527,3701,5702,70.794,50.944,1.026,14,53,02-03-2019
80,NOLSM3781427378,3,Etching,267,1377,3645,5695,71.566,50.723,1.047,14,54,02-03-2019
81,NOLSM352141,3,Etching,166,1518,3663,5700,71.259,51.068,1.033,14,1,02-03-2019
82,NOLSM353142,2,Etching,355,1605,3665,5711,71.105,51.201,1.023,14,2,02-03-2019
83,NOLSM354143,1,Etching,341,1635,3640,5699,71.861,49.342,1.036,14,3,02-03-2019
84,NOLSM355144,1,Etching,304,1499,3654,5712,72.316,51.908,1.037,14,4,02-03-2019
85,NOLSM356145,2,Etching,443,1421,3625,5707,71.392,51.661,1.014,14,5,02-03-2019
86,NOLSM357146,3,Etching,680,1517,3663,5711,71.161,52.149,1.045,14,6,02-03-2019
87,NOLSM358147,2,Etching,485,1505,3677,5699,70.423,52.148,1.033,14,7,02-03-2019
88,NOLSM359148,1,Etching,489,1657,3669,5743,68.866,50.065,1.004,14,8,02-03-2019
89,NOLSM360149,1,Etching,418,1583,3651,5709,70.639,51.593,1.005,14,9,02-03-2019
90,NOLSM3611410,2,Etching,405,1572,3630,5693,70.747,50.321,1.025,14,10,02-03-2019
91,NOLSM3621411,3,Etching,381,1485,3671,5722,70.321,52.238,1.011,14,11,02-03-2019
92,NOLSM3631412,3,Etching,203,1615,3659,5709,70.86,51.687,1.044,14,12,02-03-2019
93,NOLSM3641413,2,Etching,446,1422,3639,5699,69.133,50.789,1.004,14,13,02-03-2019
94,NOLSM3651414,1,Etching,125,1395,3642,5737,69.702,50.383,1.068,14,14,02-03-2019
95,NOLSM3661415,1,Etching,443,1532,3670,5712,70.583,50.799,1.018,14,15,02-03-2019
96,NOLSM3671416,2,Etching,473,1341,3657,5714,70.414,51.688,1.034,14,16,02-03-2019
97,NOLSM3681417,3,Etching,298,1564,3652,5724,70.48,50.721,0.988,14,17,02-03-2019
98,NOLSM3691418,3,Etching,467,1532,3657,5731,71.519,49.98,1.066,14,18,02-03-2019
99,NOLSM3701419,2,Etching,310,1377,3641,5732,71.071,50.758,1.035,14,19,02-03-2019
100,NOLSM3711420,1,Etching,273,1489,3650,5722,71.294,50.009,1.012,14,20,02-03-2019
101,NOLSM3721421,1,Etching,582,1576,3668,5746,69.354,50.718,1.02,14,21,02-03-2019
102,NOLSM3731422,2,Etching,427,1548,3666,5689,70.906,50.855,1.037,14,22,02-03-2019
103,NOLSM3741423,3,Etching,469,1460,3691,5703,69.792,51.891,1.01,14,23,02-03-2019
104,NOLSM3751424,1,Etching,470,1495,3669,5715,70.904,51.018,1.038,14,24,02-03-2019
105,NOLSM3761425,1,Etching,310,1449,3634,5711,71.924,50.918,1.004,14,25,02-03-2019
106,NOLSM3771426,2,Etching,18,1527,3701,5702,70.794,50.944,1.026,14,26,02-03-2019
107,NOLSM3781427,3,Etching,267,1377,3645,5695,71.566,50.723,1.048,14,27,02-03-2019
108,NOLSM379151379,1,Etching,363,1506,3640,5706,71.94,51.431,1.048,15,28,03-03-2019
109,NOLSM380152380,2,Etching,425,1525,3662,5722,70.082,51.207,1.048,15,29,03-03-2019
110,NOLSM381153381,3,Etching,309,1465,3664,5723,71.146,50.255,1.047,15,30,03-03-2019
111,NOLSM382154382,1,Etching,285,1596,3660,5741,69.262,50.687,1.047,15,31,03-03-2019
112,NOLSM383155383,2,Etching,306,1627,3670,5722,69.822,51.237,1.046,15,32,03-03-2019
113,NOLSM384156384,3,Etching,448,1648,3654,5725,71.021,51.969,1.047,15,33,03-03-2019
114,NOLSM385157385,1,Etching,463,1247,3632,5726,70.563,52.148,1.051,15,34,03-03-2019
115,NOLSM386158386,2,Etching,250,1325,3688,5692,69.103,51.668,1.052,15,35,03-03-2019
116,NOLSM387159387,3,Etching,362,1709,3653,5732,70.774,51.67,1.053,15,36,03-03-2019
117,NOLSM3881510388,1,Etching,348,1468,3649,5715,70.769,50.224,1.056,15,37,03-03-2019
118,NOLSM3891511389,2,Etching,460,1466,3686,5714,69.021,50.178,1.016,15,38,03-03-2019
119,NOLSM3901512390,3,Etching,263,1390,3660,5706,71.792,49.794,1.024,15,39,03-03-2019
120,NOLSM3911513391,1,Etching,498,1561,3632,5724,70.101,50.718,1.027,15,40,03-03-2019
121,NOLSM3921514392,2,Etching,192,1665,3671,5729,70.711,51.041,1.011,15,41,03-03-2019
122,NOLSM3931515393,3,Etching,387,1573,3631,5718,71.779,51.067,1.015,15,42,03-03-2019
123,NOLSM3941516394,1,Etching,450,1526,3642,5733,70.586,51.288,0.999,15,43,03-03-2019
124,NOLSM3951517395,2,Etching,371,1481,3666,5727,70.171,51.049,1.041,15,44,03-03-2019
125,NOLSM3961518396,3,Etching,277,1588,3700,5720,71.033,51.23,1.033,15,45,03-03-2019
126,NOLSM3971519397,1,Etching,359,1441,3675,5716,71.137,50.344,1.045,15,46,03-03-2019
127,NOLSM3981520398,2,Etching,343,1441,3660,5708,71.234,51.012,1.014,15,47,03-03-2019
128,NOLSM3991521399,3,Etching,261,1402,3661,5699,71.249,49.957,1.025,15,48,03-03-2019
129,NOLSM4001522400,1,Etching,244,1509,3647,5706,71.169,50.752,1.056,15,49,03-03-2019
130,NOLSM4011523401,2,Etching,218,1576,3651,5690,71.153,50.726,1.036,15,50,03-03-2019
131,NOLSM4021524402,3,Etching,315,1709,3644,5720,71.196,50.504,1.028,15,51,03-03-2019
132,NOLSM4031525403,1,Etching,417,1468,3638,5732,71.174,50.557,1.015,15,52,03-03-2019
133,NOLSM4041526404,2,Etching,172,1466,3643,5736,71.287,51.336,1.009,15,53,03-03-2019
134,NOLSM4051527405,3,Etching,285,1390,3669,5729,71.17,50.912,1.046,15,54,03-03-2019
135,NOLSM379151,3,Etching,363,1506,3640,5706,71.94,51.431,1.022,15,1,03-03-2019
136,NOLSM380152,2,Etching,425,1525,3662,5722,70.082,51.207,1.012,15,2,03-03-2019
137,NOLSM381153,1,Etching,309,1465,3664,5723,71.146,50.255,1.055,15,3,03-03-2019
138,NOLSM382154,1,Etching,285,1596,3660,5741,69.262,50.687,1.033,15,4,03-03-2019
139,NOLSM383155,3,Etching,306,1627,3670,5722,69.822,51.237,1.031,15,5,03-03-2019
140,NOLSM384156,3,Etching,448,1648,3654,5725,71.021,51.969,1.054,15,6,03-03-2019
141,NOLSM385157,1,Etching,463,1247,3632,5726,70.563,52.148,1.042,15,7,03-03-2019
142,NOLSM386158,1,Etching,250,1325,3688,5692,69.103,51.668,1.032,15,8,03-03-2019
143,NOLSM387159,2,Etching,362,1709,3653,5732,70.774,51.67,1.045,15,9,03-03-2019
144,NOLSM3881510,3,Etching,348,1468,3649,5715,70.769,50.224,1.04,15,10,03-03-2019
145,NOLSM3891511,3,Etching,460,1466,3686,5714,69.021,50.178,1.016,15,11,03-03-2019
146,NOLSM3901512,2,Etching,263,1390,3660,5706,71.792,49.794,1.024,15,12,03-03-2019
147,NOLSM3911513,1,Etching,498,1561,3632,5724,70.101,50.718,1.027,15,13,03-03-2019
148,NOLSM3921514,1,Etching,192,1665,3671,5729,70.711,51.041,1.011,15,14,03-03-2019
149,NOLSM3931515,3,Etching,387,1573,3631,5718,71.779,51.067,1.015,15,15,03-03-2019
150,NOLSM3941516,3,Etching,450,1526,3642,5733,70.586,51.288,0.999,15,16,03-03-2019
151,NOLSM3951517,2,Etching,371,1481,3666,5727,70.171,51.049,1.041,15,17,03-03-2019
152,NOLSM3961518,1,Etching,277,1588,3700,5720,70.693,51.23,1.033,15,18,03-03-2019
153,NOLSM3971519,1,Etching,359,1441,3675,5716,71.747,50.344,1.045,15,19,03-03-2019
154,NOLSM3981520,2,Etching,343,1441,3660,5708,70.718,51.012,1.014,15,20,03-03-2019
155,NOLSM3991521,3,Etching,261,1402,3661,5699,70.269,49.957,1.025,15,21,03-03-2019
156,NOLSM4001522,3,Etching,244,1509,3647,5706,69.28,50.752,1.056,15,22,03-03-2019
157,NOLSM4011523,2,Etching,218,1576,3651,5690,70.841,50.726,1.036,15,23,03-03-2019
158,NOLSM4021524,1,Etching,315,1486,3644,5720,69.916,50.504,1.028,15,24,03-03-2019
159,NOLSM4031525,1,Etching,417,1456,3638,5732,69.159,50.557,1.015,15,25,03-03-2019
160,NOLSM4041526,3,Etching,172,1420,3643,5736,70.469,51.336,1.009,15,26,03-03-2019
161,NOLSM4051527,3,Etching,285,1506,3669,5729,72.095,50.087,1.046,15,27,03-03-2019
162,NOLSM406161406,1,Etching,230,1561,3685,5727,71.164,51.963,0.994,16,28,04-03-2019
163,NOLSM407162407,2,Etching,484,1665,3655,5694,71.119,53.272,1.039,16,29,04-03-2019
164,NOLSM408163408,3,Etching,316,1573,3625,5667,71.256,50.718,1.068,16,30,04-03-2019
165,NOLSM409164409,1,Etching,432,1526,3654,5731,71.402,52.102,0.993,16,31,04-03-2019
166,NOLSM410165410,2,Etching,316,1481,3646,5735,71.287,50.724,1.014,16,32,04-03-2019
167,NOLSM411166411,3,Etching,369,1588,3692,5721,70.678,50.849,1.031,16,33,04-03-2019
168,NOLSM412167412,1,Etching,489,1441,3657,5744,70.09,51.179,1.045,16,34,04-03-2019
169,NOLSM413168413,2,Etching,363,1441,3683,5698,70.335,51.177,1.023,16,35,04-03-2019
170,NOLSM414169414,3,Etching,276,1402,3681,5732,70.457,51.828,1.062,16,36,04-03-2019
171,NOLSM4151610415,1,Etching,214,1456,3645,5727,71.716,51.486,1.023,16,37,04-03-2019
172,NOLSM4161611416,2,Etching,319,1623,3671,5740,70.512,51.429,1.019,16,38,04-03-2019
173,NOLSM4171612417,3,Etching,253,1438,3633,5720,70.999,50.959,1.037,16,39,04-03-2019
174,NOLSM4181613418,1,Etching,385,1468,3667,5710,70.647,51.516,1.037,16,40,04-03-2019
175,NOLSM4191614419,2,Etching,276,1487,3645,5713,71.607,50.634,1.039,16,41,04-03-2019
176,NOLSM4201615420,3,Etching,292,1588,3680,5712,69.825,51.356,1.023,16,42,04-03-2019
177,NOLSM4211616421,1,Etching,544,1318,3663,5727,71.406,51.426,1.029,16,43,04-03-2019
178,NOLSM4221617422,2,Etching,298,1360,3682,5719,71.062,50.104,1.039,16,44,04-03-2019
179,NOLSM4231618423,3,Etching,429,1577,3627,5706,72.241,51.419,1.05,16,45,04-03-2019
180,NOLSM4241619424,1,Etching,625,1677,3661,5725,71.619,51.317,0.998,16,46,04-03-2019
181,NOLSM4251620425,2,Etching,286,1501,3680,5747,69.643,51.066,1.05,16,47,04-03-2019
182,NOLSM4261621426,3,Etching,321,1493,3639,5696,71.658,50.936,1.026,16,48,04-03-2019
183,NOLSM4271622427,1,Etching,669,1543,3668,5720,70.923,50.45,1.043,16,49,04-03-2019
184,NOLSM4281623428,2,Etching,219,1530,3634,5709,70.488,51.883,1.031,16,50,04-03-2019
185,NOLSM4291624429,3,Etching,310,1630,3643,5703,71.018,50.858,1.029,16,51,04-03-2019
186,NOLSM4301625430,1,Etching,186,1534,3636,5715,70.464,51.034,1.018,16,52,04-03-2019
187,NOLSM4311626431,2,Etching,224,1432,3653,5720,70.441,51.746,1.011,16,53,04-03-2019
188,NOLSM4321627432,3,Etching,464,1680,3656,5708,71.615,51.485,1.035,16,54,04-03-2019
189,NOLSM406161,2,Etching,230,1634,3685,5727,72.003,51.716,0.994,16,1,04-03-2019
190,NOLSM407162,1,Etching,484,1437,3655,5694,72.124,51.059,1.039,16,2,04-03-2019
191,NOLSM408163,1,Etching,316,1505,3625,5667,72.581,51.849,1.068,16,3,04-03-2019
192,NOLSM409164,2,Etching,432,1515,3654,5731,71.721,50.856,0.993,16,4,04-03-2019
193,NOLSM410165,3,Etching,316,1564,3646,5735,71.102,50.178,1.014,16,5,04-03-2019
194,NOLSM411166,3,Etching,369,1592,3692,5721,70.678,50.537,1.031,16,6,04-03-2019
195,NOLSM412167,2,Etching,489,1557,3657,5744,70.09,51.53,1.045,16,7,04-03-2019
196,NOLSM413168,1,Etching,363,1688,3683,5698,70.335,51.532,1.023,16,8,04-03-2019
197,NOLSM414169,1,Etching,276,1465,3681,5732,70.457,51.412,1.062,16,9,04-03-2019
198,NOLSM4151610,2,Etching,214,1456,3645,5727,71.716,50.907,1.023,16,10,04-03-2019
199,NOLSM4161611,3,Etching,319,1623,3671,5740,70.512,51.741,1.019,16,11,04-03-2019
200,NOLSM4171612,3,Etching,253,1438,3633,5720,70.999,51.225,1.037,16,12,04-03-2019
201,NOLSM4181613,2,Etching,385,1468,3667,5710,70.647,50.296,1.037,16,13,04-03-2019
202,NOLSM4191614,1,Etching,276,1487,3645,5713,71.607,50.634,1.039,16,14,04-03-2019
203,NOLSM4201615,1,Etching,292,1588,3680,5712,69.825,51.356,1.023,16,15,04-03-2019
204,NOLSM4211616,2,Etching,544,1318,3663,5727,71.406,51.426,1.029,16,16,04-03-2019
205,NOLSM4221617,3,Etching,298,1360,3682,5719,71.062,50.104,1.039,16,17,04-03-2019
206,NOLSM4231618,2,Etching,429,1577,3627,5706,72.241,51.419,1.05,16,18,04-03-2019
207,NOLSM4241619,1,Etching,625,1677,3661,5725,71.619,51.317,0.998,16,19,04-03-2019
208,NOLSM4251620,1,Etching,286,1501,3680,5747,69.643,51.066,1.05,16,20,04-03-2019
209,NOLSM4261621,3,Etching,321,1493,3639,5696,71.658,50.936,1.026,16,21,04-03-2019
210,NOLSM4271622,3,Etching,669,1543,3668,5720,70.923,50.45,1.043,16,22,04-03-2019
211,NOLSM4281623,2,Etching,219,1530,3634,5709,70.488,51.883,1.031,16,23,04-03-2019
212,NOLSM4291624,1,Etching,310,1630,3643,5703,71.018,50.858,1.029,16,24,04-03-2019
213,NOLSM4301625,1,Etching,186,1534,3636,5715,70.464,51.034,1.018,16,25,04-03-2019
214,NOLSM4311626,2,Etching,224,1432,3653,5720,70.441,51.746,1.011,16,26,04-03-2019
215,NOLSM4321627,3,Etching,464,1680,3656,5708,71.615,51.485,1.035,16,27,04-03-2019
216,NOLSM433171433,1,Etching,383,1500,3677,5695,71.885,51.539,1.018,17,28,05-03-2019
217,NOLSM434172434,2,Etching,180,1663,3649,5714,71.389,51.222,1.026,17,29,05-03-2019
218,NOLSM435173435,3,Etching,335,1355,3620,5734,72.879,50.689,1.055,17,30,05-03-2019
219,NOLSM436174436,1,Etching,270,1372,3678,5709,71.999,51.884,1.039,17,31,05-03-2019
220,NOLSM437175437,2,Etching,197,1570,3648,5702,71.542,51.623,1.029,17,32,05-03-2019
221,NOLSM438176438,3,Etching,392,1522,3651,5696,70.415,51.003,1.032,17,33,05-03-2019
222,NOLSM439177439,1,Etching,557,1507,3653,5697,71.625,51.508,1.029,17,34,05-03-2019
223,NOLSM440178440,2,Etching,266,1360,3678,5709,69.329,51.433,1.03,17,35,05-03-2019
224,NOLSM441179441,3,Etching,471,1709,3667,5710,71.466,51.876,1.047,17,36,05-03-2019
225,NOLSM4421710442,1,Etching,354,1468,3646,5708,71.554,50.636,1.048,17,37,05-03-2019
226,NOLSM4431711443,2,Etching,424,1466,3672,5728,70.799,51.133,1.048,17,38,05-03-2019
227,NOLSM4441712444,3,Etching,319,1390,3647,5737,70.839,51.372,1.047,17,39,05-03-2019
228,NOLSM4451713445,1,Etching,360,1561,3662,5704,72.306,50.665,1.047,17,40,05-03-2019
229,NOLSM4461714446,2,Etching,337,1665,3645,5727,71.503,50.367,1.046,17,41,05-03-2019
230,NOLSM4471715447,3,Etching,506,1573,3621,5718,72.064,50.912,1.047,17,42,05-03-2019
231,NOLSM4481716448,1,Etching,435,1526,3654,5751,71.033,51.963,1.051,17,43,05-03-2019
232,NOLSM4491717449,2,Etching,337,1481,3639,5729,71.134,53.272,1.052,17,44,05-03-2019
233,NOLSM4501718450,3,Etching,268,1588,3673,5694,70.685,50.718,1.053,17,45,05-03-2019
234,NOLSM4511719451,1,Etching,398,1441,3668,5716,68.15,52.102,1.056,17,46,05-03-2019
235,NOLSM4521720452,2,Etching,435,1441,3665,5689,73.081,50.724,1.022,17,47,05-03-2019
236,NOLSM4531721453,3,Etching,337,1402,3656,5714,71.234,50.849,1.029,17,48,05-03-2019
237,NOLSM4541722454,1,Etching,207,1517,3613,5723,70.287,51.179,1.055,17,49,05-03-2019
238,NOLSM4551723455,2,Etching,298,1575,3682,5737,71.399,51.177,1.015,17,50,05-03-2019
239,NOLSM4561724456,3,Etching,511,1487,3674,5688,72.158,51.828,1.054,17,51,05-03-2019
240,NOLSM4571725457,1,Etching,291,1623,3667,5730,71.972,51.486,1.035,17,52,05-03-2019
241,NOLSM4581726458,2,Etching,630,1205,3647,5706,70.657,51.429,1.035,17,53,05-03-2019
242,NOLSM4591727459,3,Etching,343,1589,3672,5702,71.628,50.959,1.033,17,54,05-03-2019
243,NOLSM433171,3,Etching,383,1500,3677,5695,71.885,51.539,1.018,17,1,05-03-2019
244,NOLSM434172,2,Etching,180,1663,3649,5714,71.389,51.222,1.026,17,2,05-03-2019
245,NOLSM435173,1,Etching,335,1355,3620,5734,72.879,50.689,1.055,17,3,05-03-2019
246,NOLSM436174,1,Etching,270,1372,3678,5709,71.999,51.884,1.039,17,4,05-03-2019
247,NOLSM437175,2,Etching,197,1570,3648,5702,71.542,51.623,1.029,17,5,05-03-2019
248,NOLSM438176,3,Etching,392,1522,3651,5696,70.415,51.003,1.032,17,6,05-03-2019
249,NOLSM439177,2,Etching,557,1507,3653,5697,71.625,51.508,1.029,17,7,05-03-2019
250,NOLSM440178,1,Etching,266,1360,3678,5709,69.329,51.433,1.03,17,8,05-03-2019
251,NOLSM441179,1,Etching,471,1525,3667,5710,71.466,51.876,1.02,17,9,05-03-2019
252,NOLSM4421710,3,Etching,354,1495,3646,5708,71.554,50.636,1.041,17,10,05-03-2019
253,NOLSM4431711,3,Etching,424,1500,3672,5728,70.799,51.133,1.036,17,11,05-03-2019
254,NOLSM4441712,2,Etching,319,1431,3647,5737,70.839,51.372,1.044,17,12,05-03-2019
255,NOLSM4451713,1,Etching,360,1583,3662,5704,72.306,50.665,1.031,17,13,05-03-2019
256,NOLSM4461714,1,Etching,337,1434,3645,5727,71.503,50.367,1.064,17,14,05-03-2019
257,NOLSM4471715,2,Etching,506,1384,3621,5718,72.064,51.406,1.016,17,15,05-03-2019
258,NOLSM4481716,3,Etching,435,1509,3654,5751,71.033,50.453,1.021,17,16,05-03-2019
259,NOLSM4491717,3,Etching,337,1498,3639,5729,71.134,50.369,1.036,17,17,05-03-2019
260,NOLSM4501718,1,Etching,268,1372,3673,5694,70.685,50.708,1.041,17,18,05-03-2019
261,NOLSM4511719,1,Etching,398,1479,3668,5716,68.15,50.463,1.04,17,19,05-03-2019
262,NOLSM4521720,3,Etching,435,1556,3665,5689,73.081,51.389,1.022,17,20,05-03-2019
263,NOLSM4531721,3,Etching,337,1319,3656,5714,71.234,51.688,1.029,17,21,05-03-2019
264,NOLSM4541722,2,Etching,207,1517,3613,5723,70.287,50.762,1.055,17,22,05-03-2019
265,NOLSM4551723,1,Etching,298,1575,3682,5737,71.399,51.216,1.015,17,23,05-03-2019
266,NOLSM4561724,1,Etching,511,1487,3674,5688,72.158,51.151,1.054,17,24,05-03-2019
267,NOLSM4571725,3,Etching,291,1623,3667,5730,71.972,50.805,1.035,17,25,05-03-2019
268,NOLSM4581726,3,Etching,630,1205,3647,5706,70.657,50.916,1.035,17,26,05-03-2019
269,NOLSM4591727,2,Etching,343,1589,3672,5702,71.628,51.567,1.033,17,27,05-03-2019
