No_Die,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Lot_Num,Wafer_Num,Datetime
NOLSM3701419,2,photo_li,56.475,H,405,479.665,106.777,14,19,02-03-2019
NOLSM3711420,3,photo_li,17.852,G,436,471.726,111.519,14,20,02-03-2019
NOLSM3721421,1,photo_li,43.094,I,365,537.083,107.613,14,21,02-03-2019
NOLSM3731422,2,photo_li,55.39,H,405,518.087,107.484,14,22,02-03-2019
NOLSM3741423,1,photo_li,33.589,G,436,525.359,106.322,14,23,02-03-2019
NOLSM3751424,3,photo_li,39.028,G,436,510.969,106.311,14,24,02-03-2019
NOLSM3761425,1,photo_li,36.623,G,436,496.314,112.069,14,25,02-03-2019
NOLSM3771426,2,photo_li,44.947,H,405,512.789,111.526,14,26,02-03-2019
NOLSM3781427,3,photo_li,50.402,I,365,529.001,107.578,14,27,02-03-2019
NOLSM379151379,1,photo_li,42.835,I,365,548.796,106.907,15,28,03-03-2019
NOLSM380152380,1,photo_li,45.173,H,405,533.002,109.443,15,29,03-03-2019
NOLSM381153381,1,photo_li,56.223,I,365,526.859,108.358,15,30,03-03-2019
NOLSM382154382,1,photo_li,50.152,I,365,510.635,108.664,15,31,03-03-2019
NOLSM383155383,1,photo_li,45.961,H,405,497.687,108.858,15,32,03-03-2019
NOLSM384156384,1,photo_li,49.155,G,436,545.411,109.447,15,33,03-03-2019
NOLSM385157385,1,photo_li,36.855,H,405,549.877,107.83,15,34,03-03-2019
NOLSM386158386,1,photo_li,30.556,H,405,500.373,108.374,15,35,03-03-2019
NOLSM387159387,1,photo_li,40.801,H,405,530.116,108.501,15,36,03-03-2019
NOLSM3881510388,2,photo_li,24.677,H,405,500.466,105.36,15,37,03-03-2019
NOLSM3891511389,2,photo_li,29.033,G,436,492.319,108.251,15,38,03-03-2019
NOLSM3901512390,2,photo_li,37.352,H,405,554.659,108.363,15,39,03-03-2019
NOLSM3911513391,2,photo_li,55.804,G,436,483.726,109.701,15,40,03-03-2019
NOLSM3921514392,2,photo_li,49.652,I,365,538.94,106.935,15,41,03-03-2019
NOLSM3931515393,2,photo_li,45.387,H,405,540.042,107.838,15,42,03-03-2019
NOLSM3941516394,2,photo_li,31.283,I,365,525.219,107.912,15,43,03-03-2019
NOLSM3951517395,2,photo_li,46.514,G,436,506.17,107.899,15,44,03-03-2019
NOLSM3961518396,2,photo_li,37.378,G,436,526.174,107.429,15,45,03-03-2019
NOLSM3971519397,3,photo_li,33.004,H,405,514.699,109.571,15,46,03-03-2019
NOLSM3981520398,3,photo_li,41.801,I,365,476.826,106.082,15,47,03-03-2019
NOLSM3991521399,3,photo_li,25.265,I,365,516.324,108.213,15,48,03-03-2019
NOLSM4001522400,3,photo_li,51.723,I,365,516.223,107.833,15,49,03-03-2019
NOLSM4011523401,3,photo_li,45.432,H,405,494.743,107.334,15,50,03-03-2019
NOLSM4021524402,3,photo_li,39.255,G,436,528.74,106.719,15,51,03-03-2019
NOLSM4031525403,3,photo_li,41.238,H,405,519.44,109.177,15,52,03-03-2019
NOLSM4041526404,3,photo_li,58.745,I,365,461.885,104.821,15,53,03-03-2019
NOLSM4051527405,3,photo_li,30.214,G,436,491.186,109.592,15,54,03-03-2019
NOLSM379151,1,photo_li,42.835,I,365,548.796,106.907,15,1,03-03-2019
NOLSM380152,2,photo_li,45.173,H,405,533.002,109.443,15,2,03-03-2019
NOLSM381153,3,photo_li,56.223,I,365,526.859,108.358,15,3,03-03-2019
NOLSM382154,1,photo_li,50.152,I,365,510.635,108.664,15,4,03-03-2019
NOLSM383155,3,photo_li,45.961,H,405,497.687,108.858,15,5,03-03-2019
NOLSM384156,1,photo_li,49.155,G,436,545.411,109.447,15,6,03-03-2019
NOLSM385157,3,photo_li,36.855,H,405,549.877,107.83,15,7,03-03-2019
NOLSM386158,1,photo_li,30.556,H,405,500.373,108.374,15,8,03-03-2019
NOLSM387159,2,photo_li,40.801,H,405,530.116,108.501,15,9,03-03-2019
NOLSM3881510,3,photo_li,24.677,H,405,500.466,105.36,15,10,03-03-2019
NOLSM3891511,1,photo_li,29.033,G,436,492.319,108.251,15,11,03-03-2019
NOLSM3901512,2,photo_li,37.352,H,405,554.659,108.363,15,12,03-03-2019
NOLSM3911513,3,photo_li,55.804,G,436,483.726,109.701,15,13,03-03-2019
NOLSM3921514,1,photo_li,49.652,I,365,538.94,106.935,15,14,03-03-2019
NOLSM3931515,3,photo_li,45.387,H,405,540.042,107.838,15,15,03-03-2019
NOLSM3941516,1,photo_li,31.283,I,365,525.219,107.912,15,16,03-03-2019
NOLSM3951517,2,photo_li,46.514,G,436,506.17,107.899,15,17,03-03-2019
NOLSM3961518,3,photo_li,37.378,G,436,526.174,107.429,15,18,03-03-2019
NOLSM3971519,1,photo_li,33.004,H,405,514.699,109.571,15,19,03-03-2019
NOLSM3981520,2,photo_li,41.801,I,365,476.826,106.082,15,20,03-03-2019
NOLSM3991521,3,photo_li,25.265,I,365,516.324,108.213,15,21,03-03-2019
NOLSM4001522,1,photo_li,51.723,I,365,516.223,107.833,15,22,03-03-2019
NOLSM4011523,2,photo_li,45.432,H,405,494.743,107.334,15,23,03-03-2019
NOLSM4021524,3,photo_li,39.255,G,436,528.74,106.719,15,24,03-03-2019
NOLSM4031525,1,photo_li,41.238,H,405,519.44,109.177,15,25,03-03-2019
NOLSM4041526,3,photo_li,58.745,I,365,461.885,104.821,15,26,03-03-2019
NOLSM4051527,1,photo_li,30.214,G,436,491.186,109.592,15,27,03-03-2019
NOLSM406161406,1,photo_li,39.985,G,436,530.61,107.085,16,28,04-03-2019
NOLSM407162407,1,photo_li,48.249,H,405,500.183,108.653,16,29,04-03-2019
NOLSM408163408,1,photo_li,42.936,I,365,545.072,104.708,16,30,04-03-2019
NOLSM409164409,1,photo_li,38.106,H,405,522.79,106.614,16,31,04-03-2019
NOLSM410165410,1,photo_li,36.575,I,365,525.581,104.163,16,32,04-03-2019
NOLSM411166411,1,photo_li,51.663,H,405,506.682,107.533,16,33,04-03-2019
NOLSM412167412,1,photo_li,37.821,H,405,487.27,109.052,16,34,04-03-2019
NOLSM413168413,1,photo_li,66.126,H,405,513.148,108.349,16,35,04-03-2019
NOLSM414169414,1,photo_li,57.007,H,405,515.931,108.045,16,36,04-03-2019
NOLSM4151610415,2,photo_li,32.167,I,365,507.827,108.004,16,37,04-03-2019
NOLSM4161611416,2,photo_li,46.377,H,405,548.349,108.44,16,38,04-03-2019
NOLSM4171612417,2,photo_li,59.863,G,436,493.791,107.877,16,39,04-03-2019
NOLSM4181613418,2,photo_li,25.889,I,365,494.437,105.993,16,40,04-03-2019
NOLSM4191614419,2,photo_li,38.539,H,405,503.504,108.845,16,41,04-03-2019
NOLSM4201615420,2,photo_li,51.232,H,405,493.864,107.915,16,42,04-03-2019
NOLSM4211616421,2,photo_li,39.851,I,365,528.065,109.695,16,43,04-03-2019
NOLSM4221617422,2,photo_li,50.826,H,405,534.358,108.793,16,44,04-03-2019
NOLSM4231618423,2,photo_li,49.345,G,436,495.078,108.097,16,45,04-03-2019
NOLSM4241619424,3,photo_li,35.634,I,365,564.311,111.485,16,46,04-03-2019
NOLSM4251620425,3,photo_li,50.479,G,436,519.377,110.08,16,47,04-03-2019
NOLSM4261621426,3,photo_li,34.859,G,436,504.217,108.15,16,48,04-03-2019
NOLSM4271622427,3,photo_li,51.655,I,365,516.554,105.018,16,49,04-03-2019
NOLSM4281623428,3,photo_li,36.495,G,436,509.257,107.71,16,50,04-03-2019
NOLSM4291624429,3,photo_li,48.696,I,365,510.567,106.485,16,51,04-03-2019
NOLSM4301625430,3,photo_li,47.593,G,436,520.056,106.538,16,52,04-03-2019
NOLSM4311626431,3,photo_li,53.031,H,405,514.878,108.659,16,53,04-03-2019
NOLSM4321627432,3,photo_li,34.3,G,436,513.615,107.107,16,54,04-03-2019
NOLSM406161,2,photo_li,39.985,G,436,530.61,107.085,16,1,04-03-2019
NOLSM407162,3,photo_li,48.249,H,405,500.183,108.653,16,2,04-03-2019
NOLSM408163,1,photo_li,42.936,I,365,545.072,104.708,16,3,04-03-2019
NOLSM409164,2,photo_li,38.106,H,405,522.79,106.614,16,4,04-03-2019
NOLSM410165,3,photo_li,36.575,I,365,525.581,104.163,16,5,04-03-2019
NOLSM411166,1,photo_li,51.663,H,405,506.682,107.533,16,6,04-03-2019
NOLSM412167,2,photo_li,37.821,H,405,487.27,109.052,16,7,04-03-2019
NOLSM413168,3,photo_li,66.126,H,405,513.148,108.349,16,8,04-03-2019
NOLSM414169,1,photo_li,57.007,H,405,515.931,108.045,16,9,04-03-2019
NOLSM4151610,2,photo_li,32.167,I,365,507.827,108.004,16,10,04-03-2019
NOLSM4161611,3,photo_li,46.377,H,405,548.349,108.44,16,11,04-03-2019
NOLSM4171612,1,photo_li,59.863,G,436,493.791,107.877,16,12,04-03-2019
NOLSM4181613,2,photo_li,25.889,I,365,494.437,105.993,16,13,04-03-2019
NOLSM4191614,3,photo_li,38.539,H,405,503.504,108.845,16,14,04-03-2019
NOLSM4201615,1,photo_li,51.232,H,405,493.864,107.915,16,15,04-03-2019
NOLSM4211616,2,photo_li,39.851,I,365,528.065,109.695,16,16,04-03-2019
NOLSM4221617,1,photo_li,50.826,H,405,534.358,108.793,16,17,04-03-2019
NOLSM4231618,2,photo_li,49.345,G,436,495.078,108.097,16,18,04-03-2019
NOLSM4241619,3,photo_li,35.634,I,365,564.311,111.485,16,19,04-03-2019
NOLSM4251620,1,photo_li,50.479,G,436,519.377,110.08,16,20,04-03-2019
NOLSM4261621,3,photo_li,34.859,G,436,504.217,108.15,16,21,04-03-2019
NOLSM4271622,1,photo_li,51.655,I,365,516.554,105.018,16,22,04-03-2019
NOLSM4281623,2,photo_li,36.495,G,436,509.257,107.71,16,23,04-03-2019
NOLSM4291624,3,photo_li,48.696,I,365,510.567,106.485,16,24,04-03-2019
NOLSM4301625,1,photo_li,47.593,G,436,520.056,106.538,16,25,04-03-2019
NOLSM4311626,2,photo_li,53.031,H,405,514.878,108.659,16,26,04-03-2019
NOLSM4321627,3,photo_li,34.3,G,436,513.615,107.107,16,27,04-03-2019
NOLSM433171433,1,photo_li,23.043,G,436,513.678,107.949,17,28,05-03-2019
NOLSM434172434,1,photo_li,38.023,H,405,509.248,108.548,17,29,05-03-2019
NOLSM435173435,1,photo_li,36.419,H,405,519.114,108.49,17,30,05-03-2019
NOLSM436174436,1,photo_li,28.535,G,436,536.646,105.915,17,31,05-03-2019
NOLSM437175437,1,photo_li,37.686,G,436,539.95,106.798,17,32,05-03-2019
NOLSM438176438,1,photo_li,41.601,H,405,527.173,109.228,17,33,05-03-2019
NOLSM439177439,1,photo_li,58.935,G,436,570.914,109.229,17,34,05-03-2019
NOLSM440178440,1,photo_li,44.672,H,405,523.307,110.261,17,35,05-03-2019
NOLSM441179441,1,photo_li,39.912,G,436,513.312,109.45,17,36,05-03-2019
NOLSM4421710442,2,photo_li,50.011,G,436,543.388,107.633,17,37,05-03-2019
NOLSM4431711443,2,photo_li,48.865,H,405,530.579,108.551,17,38,05-03-2019
NOLSM4441712444,2,photo_li,22.793,G,436,441.717,109.461,17,39,05-03-2019
NOLSM4451713445,2,photo_li,47.065,H,405,507.012,108.97,17,40,05-03-2019
NOLSM4461714446,2,photo_li,48.164,G,436,502.75,109.052,17,41,05-03-2019
NOLSM4471715447,2,photo_li,17.523,H,405,513.628,107.348,17,42,05-03-2019
NOLSM4481716448,2,photo_li,26.198,I,365,476.939,108.243,17,43,05-03-2019
NOLSM4491717449,2,photo_li,57.004,G,436,510.869,108.924,17,44,05-03-2019
NOLSM4501718450,2,photo_li,56.015,H,405,476.612,108.359,17,45,05-03-2019
NOLSM4511719451,3,photo_li,22.418,I,365,503.756,105.207,17,46,05-03-2019
NOLSM4521720452,3,photo_li,29.962,G,436,534.287,109.531,17,47,05-03-2019
NOLSM4531721453,3,photo_li,28.301,H,405,547.91,108.014,17,48,05-03-2019
NOLSM4541722454,3,photo_li,41.796,I,365,496.304,108.198,17,49,05-03-2019
NOLSM4551723455,3,photo_li,48.865,G,436,495.075,107.279,17,50,05-03-2019
NOLSM4561724456,3,photo_li,56.005,I,365,534.682,107.168,17,51,05-03-2019
NOLSM4571725457,3,photo_li,30.795,H,405,515.659,107.437,17,52,05-03-2019
NOLSM4581726458,3,photo_li,31.074,I,365,529.606,108.445,17,53,05-03-2019
NOLSM4591727459,3,photo_li,37.972,G,436,486.392,108.301,17,54,05-03-2019
NOLSM433171,1,photo_li,23.043,G,436,513.678,107.949,17,1,05-03-2019
NOLSM434172,2,photo_li,38.023,H,405,509.248,108.548,17,2,05-03-2019
NOLSM435173,3,photo_li,36.419,H,405,519.114,108.49,17,3,05-03-2019
NOLSM436174,1,photo_li,28.535,G,436,536.646,105.915,17,4,05-03-2019
NOLSM437175,2,photo_li,37.686,G,436,539.95,106.798,17,5,05-03-2019
NOLSM438176,3,photo_li,41.601,H,405,527.173,109.228,17,6,05-03-2019
NOLSM439177,2,photo_li,58.935,G,436,570.914,109.229,17,7,05-03-2019
NOLSM440178,3,photo_li,44.672,H,405,523.307,110.261,17,8,05-03-2019
NOLSM441179,1,photo_li,39.912,G,436,513.312,109.45,17,9,05-03-2019
NOLSM4421710,3,photo_li,50.011,G,436,543.388,107.633,17,10,05-03-2019
NOLSM4431711,1,photo_li,48.865,H,405,530.579,108.551,17,11,05-03-2019
NOLSM4441712,2,photo_li,22.793,G,436,441.717,109.461,17,12,05-03-2019
NOLSM4451713,3,photo_li,47.065,H,405,507.012,108.97,17,13,05-03-2019
NOLSM4461714,1,photo_li,48.164,G,436,502.75,109.052,17,14,05-03-2019
NOLSM4471715,2,photo_li,17.523,H,405,513.628,107.348,17,15,05-03-2019
NOLSM4481716,3,photo_li,26.198,I,365,476.939,108.243,17,16,05-03-2019
NOLSM4491717,1,photo_li,57.004,G,436,510.869,108.924,17,17,05-03-2019
NOLSM4501718,3,photo_li,56.015,H,405,476.612,108.359,17,18,05-03-2019
NOLSM4511719,1,photo_li,22.418,I,365,503.756,105.207,17,19,05-03-2019
NOLSM4521720,3,photo_li,29.962,G,436,534.287,109.531,17,20,05-03-2019
NOLSM4531721,1,photo_li,28.301,H,405,547.91,108.014,17,21,05-03-2019
NOLSM4541722,2,photo_li,41.796,I,365,496.304,108.198,17,22,05-03-2019
NOLSM4551723,3,photo_li,48.865,G,436,495.075,107.279,17,23,05-03-2019
NOLSM4561724,1,photo_li,56.005,I,365,534.682,107.168,17,24,05-03-2019
NOLSM4571725,3,photo_li,30.795,H,405,515.659,107.437,17,25,05-03-2019
NOLSM4581726,1,photo_li,31.074,I,365,529.606,108.445,17,26,05-03-2019
NOLSM4591727,2,photo_li,37.972,G,436,486.392,108.301,17,27,05-03-2019
NOLSM460181460,1,photo_li,25.657,G,436,542.767,106.535,18,28,06-03-2019
NOLSM461182461,1,photo_li,22.358,G,436,559.309,107.851,18,29,06-03-2019
NOLSM462183462,1,photo_li,19.378,G,436,554.537,107.31,18,30,06-03-2019
NOLSM463184463,1,photo_li,29.366,G,436,557.108,107.699,18,31,06-03-2019
NOLSM464185464,1,photo_li,13.721,G,436,553.497,107.293,18,32,06-03-2019
NOLSM465186465,1,photo_li,19.727,G,436,552.958,107.638,18,33,06-03-2019
NOLSM466187466,1,photo_li,29.578,G,436,550.899,108.359,18,34,06-03-2019
NOLSM467188467,1,photo_li,17.244,G,436,548.49,107.84,18,35,06-03-2019
NOLSM468189468,1,photo_li,17.474,G,436,547.287,107.46,18,36,06-03-2019
NOLSM4691810469,2,photo_li,23.018,G,436,548.646,108.197,18,37,06-03-2019
NOLSM4701811470,2,photo_li,24.328,G,436,555.085,108.275,18,38,06-03-2019
NOLSM4711812471,2,photo_li,31.553,G,436,552.418,108.825,18,39,06-03-2019
NOLSM4721813472,2,photo_li,36.742,G,436,556.431,108.883,18,40,06-03-2019
NOLSM4731814473,2,photo_li,29.197,G,436,551.224,108.837,18,41,06-03-2019
NOLSM4741815474,2,photo_li,36.652,G,436,556.698,109.502,18,42,06-03-2019
NOLSM4751816475,2,photo_li,38.0,G,436,555.801,108.991,18,43,06-03-2019
NOLSM4761817476,2,photo_li,31.46,G,436,550.755,108.858,18,44,06-03-2019
NOLSM4771818477,2,photo_li,32.782,G,436,546.804,108.846,18,45,06-03-2019
NOLSM4781819478,3,photo_li,29.906,G,436,550.457,108.913,18,46,06-03-2019
NOLSM4791820479,3,photo_li,35.244,G,436,552.697,109.409,18,47,06-03-2019
NOLSM4801821480,3,photo_li,39.437,G,436,546.286,109.337,18,48,06-03-2019
NOLSM4811822481,3,photo_li,42.086,G,436,543.498,110.06,18,49,06-03-2019
NOLSM4821823482,3,photo_li,31.482,G,436,544.819,109.031,18,50,06-03-2019
NOLSM4831824483,3,photo_li,43.236,G,436,559.819,109.34,18,51,06-03-2019
NOLSM4841825484,3,photo_li,35.818,G,436,560.269,109.205,18,52,06-03-2019
NOLSM4851826485,3,photo_li,34.683,G,436,552.795,109.331,18,53,06-03-2019
NOLSM4861827486,3,photo_li,45.552,G,436,552.984,109.671,18,54,06-03-2019
NOLSM460181,3,photo_li,25.657,G,436,542.767,106.535,18,1,06-03-2019
NOLSM461182,1,photo_li,22.358,G,436,559.309,107.851,18,2,06-03-2019
NOLSM462183,2,photo_li,19.378,G,436,554.537,107.31,18,3,06-03-2019
NOLSM463184,3,photo_li,29.366,G,436,557.108,107.699,18,4,06-03-2019
NOLSM464185,1,photo_li,13.721,G,436,553.497,107.293,18,5,06-03-2019
NOLSM465186,2,photo_li,19.727,G,436,552.958,107.638,18,6,06-03-2019
NOLSM466187,3,photo_li,29.578,G,436,550.899,108.359,18,7,06-03-2019
NOLSM467188,1,photo_li,17.244,G,436,548.49,107.84,18,8,06-03-2019
NOLSM468189,2,photo_li,17.474,G,436,547.287,107.46,18,9,06-03-2019
NOLSM4691810,1,photo_li,23.018,G,436,548.646,108.197,18,10,06-03-2019
NOLSM4701811,2,photo_li,24.328,G,436,555.085,108.275,18,11,06-03-2019
NOLSM4711812,3,photo_li,31.553,G,436,552.418,108.825,18,12,06-03-2019
NOLSM4721813,1,photo_li,36.742,G,436,556.431,108.883,18,13,06-03-2019
NOLSM4731814,2,photo_li,29.197,G,436,551.224,108.837,18,14,06-03-2019
NOLSM4741815,3,photo_li,36.652,G,436,556.698,109.502,18,15,06-03-2019
NOLSM4751816,1,photo_li,38.0,G,436,555.801,108.991,18,16,06-03-2019
NOLSM4761817,3,photo_li,31.46,G,436,550.755,108.858,18,17,06-03-2019
NOLSM4771818,1,photo_li,32.782,G,436,546.804,108.846,18,18,06-03-2019
NOLSM4781819,2,photo_li,29.906,G,436,550.457,108.913,18,19,06-03-2019
NOLSM4791820,3,photo_li,35.244,G,436,552.697,109.409,18,20,06-03-2019
NOLSM4801821,1,photo_li,39.437,G,436,546.286,109.337,18,21,06-03-2019
NOLSM4811822,2,photo_li,42.086,G,436,543.498,110.06,18,22,06-03-2019
NOLSM4821823,3,photo_li,31.482,G,436,544.819,109.031,18,23,06-03-2019
