,Unnamed: 0,No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
666,18,NOLSM3431319343,1,Implantation,1.17E+16,9.08E+16,1.99E+17,3.01E+17,6.00E+17,31661.976,101.119,891,149,13,46,01-03-2019
667,19,NOLSM3441320344,2,Implantation,1.34E+16,7.75E+16,1.38E+17,2.99E+17,6.00E+17,30785.849,103.203,880,156,13,47,01-03-2019
668,20,NOLSM3451321345,3,Implantation,1.19E+16,8.61E+16,1.38E+17,2.99E+17,6.00E+17,31765.567,102.207,878,156,13,48,01-03-2019
669,21,NOLSM3461322346,1,Implantation,1.24E+16,1.30E+17,2.17E+17,3.01E+17,6.00E+17,30901.365,101.874,912,155,13,49,01-03-2019
670,22,NOLSM3471323347,2,Implantation,1.66E+16,2.38E+17,1.38E+17,3.00E+17,6.00E+17,31877.743,101.707,914,155,13,50,01-03-2019
671,23,NOLSM3481324348,3,Implantation,1.15E+16,1.09E+17,1.38E+17,3.00E+17,6.00E+17,30107.396,102.811,899,156,13,51,01-03-2019
672,24,NOLSM3491325349,1,Implantation,9.27E+15,9.56E+16,1.38E+17,2.99E+17,6.00E+17,32048.247,102.598,903,157,13,52,01-03-2019
673,25,NOLSM3501326350,2,Implantation,1.88E+16,9.24E+16,1.38E+17,3.00E+17,6.00E+17,31221.028,104.234,879,155,13,53,01-03-2019
674,26,NOLSM3511327351,3,Implantation,7.2E+15,1.30E+17,1.38E+17,3.00E+17,6.00E+17,31645.163,100.57,890,157,13,54,01-03-2019
675,27,NOLSM325131,1,Implantation,1.50E+16,1.32E+17,1.38E+17,3.01E+17,6.00E+17,30795.934,103.433,854,154,13,1,01-03-2019
676,28,NOLSM326132,1,Implantation,1.11E+16,4.37E+16,1.38E+17,3.03E+17,6.00E+17,32135.618,105.552,895,156,13,2,01-03-2019
677,29,NOLSM327133,2,Implantation,1.04E+16,1.51E+16,1.38E+17,2.98E+17,6.00E+17,31057.895,102.598,898,152,13,3,01-03-2019
678,30,NOLSM328134,3,Implantation,8.89E+15,1.02E+17,1.38E+17,3.00E+17,6.00E+17,32140.566,102.963,879,155,13,4,01-03-2019
679,31,NOLSM329135,3,Implantation,1.67E+16,7.88E+16,1.38E+17,3.02E+17,6.00E+17,31986.009,101.419,882,155,13,5,01-03-2019
680,32,NOLSM330136,2,Implantation,1.13E+16,8.12E+16,1.38E+17,2.99E+17,6.00E+17,31982.632,103.847,871,152,13,6,01-03-2019
681,33,NOLSM331137,1,Implantation,1.13E+16,1.16E+17,1.38E+17,2.99E+17,6.00E+17,32499.229,102.84,916,157,13,7,01-03-2019
682,34,NOLSM332138,1,Implantation,1.12E+16,7.20E+16,1.38E+17,3.00E+17,6.00E+17,32016.39,104.368,891,153,13,8,01-03-2019
683,35,NOLSM333139,2,Implantation,1.45E+16,6.48E+16,1.38E+17,3.01E+17,6.00E+17,31810.414,103.625,903,153,13,9,01-03-2019
684,36,NOLSM3341310,3,Implantation,1.06E+16,8.54E+16,1.38E+17,3.00E+17,6.00E+17,31969.699,102.847,883,161,13,10,01-03-2019
685,37,NOLSM3351311,3,Implantation,1.53E+16,1.01E+17,1.38E+17,3.00E+17,6.00E+17,31419.868,103.298,862,154,13,11,01-03-2019
686,38,NOLSM3361312,2,Implantation,1.06E+16,1.63E+17,2.20E+17,3.03E+17,6.00E+17,31196.102,104.54,892,154,13,12,01-03-2019
687,39,NOLSM3371313,1,Implantation,1.13E+16,1.31E+16,1.38E+17,3.00E+17,6.00E+17,31201.477,103.231,902,158,13,13,01-03-2019
688,40,NOLSM3381314,1,Implantation,1.17E+16,1.10E+17,1.38E+17,3.00E+17,6.00E+17,31084.207,101.561,895,153,13,14,01-03-2019
689,41,NOLSM3391315,2,Implantation,1.18E+16,8.54E+16,1.38E+17,3.01E+17,6.00E+17,32253.776,102.869,904,155,13,15,01-03-2019
690,42,NOLSM3401316,3,Implantation,1.42E+16,8.73E+16,1.38E+17,3.00E+17,6.00E+17,31446.324,102.759,882,155,13,16,01-03-2019
691,43,NOLSM3411317,3,Implantation,7.83E+15,1.31E+17,1.38E+17,3.03E+17,6.00E+17,32773.392,105.126,896,150,13,17,01-03-2019
692,44,NOLSM3421318,2,Implantation,1.08E+16,3.69E+16,1.38E+17,2.99E+17,6.00E+17,31202.426,100.703,898,155,13,18,01-03-2019
693,45,NOLSM3431319,1,Implantation,1.17E+16,9.08E+16,1.99E+17,3.01E+17,6.00E+17,31661.976,101.119,891,149,13,19,01-03-2019
694,46,NOLSM3441320,1,Implantation,1.34E+16,7.75E+16,1.38E+17,2.99E+17,6.00E+17,30785.849,103.203,880,156,13,20,01-03-2019
695,47,NOLSM3451321,3,Implantation,1.19E+16,8.61E+16,1.38E+17,2.99E+17,6.00E+17,31765.567,102.207,878,156,13,21,01-03-2019
696,48,NOLSM3461322,3,Implantation,1.24E+16,1.30E+17,2.17E+17,3.01E+17,6.00E+17,30901.365,101.874,912,155,13,22,01-03-2019
697,49,NOLSM3471323,2,Implantation,1.66E+16,2.38E+17,1.38E+17,3.00E+17,6.00E+17,31877.743,101.707,914,155,13,23,01-03-2019
698,50,NOLSM3481324,1,Implantation,1.15E+16,1.09E+17,1.38E+17,3.00E+17,6.00E+17,30107.396,102.811,899,156,13,24,01-03-2019
699,51,NOLSM3491325,1,Implantation,9.27E+15,9.56E+16,1.38E+17,2.99E+17,6.00E+17,32048.247,102.598,903,157,13,25,01-03-2019
700,52,NOLSM3501326,2,Implantation,1.88E+16,9.24E+16,1.38E+17,3.00E+17,6.00E+17,31221.028,104.234,879,155,13,26,01-03-2019
701,53,NOLSM3511327,3,Implantation,7.2E+15,1.30E+17,1.38E+17,3.00E+17,6.00E+17,31645.163,100.57,890,157,13,27,01-03-2019
702,54,NOLSM352141352,1,Implantation,1.09E+16,4.12E+16,1.38E+17,3.03E+17,6.00E+17,31292.665,100.718,899,151,14,28,02-03-2019
703,55,NOLSM353142353,2,Implantation,1.14E+16,7.25E+16,1.38E+17,2.99E+17,6.00E+17,32015.142,103.175,874,155,14,29,02-03-2019
704,56,NOLSM354143354,3,Implantation,1.62E+16,8.58E+16,1.38E+17,3.01E+17,6.00E+17,30828.379,102.963,882,158,14,30,02-03-2019
705,57,NOLSM355144355,1,Implantation,1.24E+16,1.50E+17,1.38E+17,2.99E+17,6.00E+17,32525.804,102.767,926,156,14,31,02-03-2019
706,58,NOLSM356145356,2,Implantation,1.54E+16,4.30E+16,1.38E+17,3.02E+17,6.00E+17,31584.1,102.448,925,156,14,32,02-03-2019
707,59,NOLSM357146357,3,Implantation,1.65E+16,1.26E+17,1.38E+17,3.00E+17,6.00E+17,31743.858,104.18,914,156,14,33,02-03-2019
708,60,NOLSM358147358,1,Implantation,7.24E+15,1.96E+17,1.38E+17,2.96E+17,6.00E+17,32590.44,106.173,915,154,14,34,02-03-2019
709,61,NOLSM359148359,2,Implantation,9.91E+15,6.10E+16,1.66E+17,3.02E+17,6.00E+17,32202.196,103.67,882,153,14,35,02-03-2019
710,62,NOLSM360149360,3,Implantation,1.38E+16,1.09E+17,1.38E+17,3.00E+17,6.00E+17,31167.976,104.326,888,159,14,36,02-03-2019
711,63,NOLSM3611410361,1,Implantation,1.79E+16,8.57E+16,1.38E+17,3.00E+17,6.00E+17,30598.176,102.716,860,155,14,37,02-03-2019
712,64,NOLSM3621411362,2,Implantation,1.07E+16,9.57E+16,2.49E+17,3.01E+17,6.00E+17,32095.533,103.37,902,155,14,38,02-03-2019
713,65,NOLSM3631412363,3,Implantation,1.44E+16,5.22E+16,1.38E+17,2.99E+17,6.00E+17,31074.084,101.302,893,155,14,39,02-03-2019
714,66,NOLSM3641413364,1,Implantation,1.00E+16,1.31E+17,1.38E+17,3.00E+17,6.00E+17,31732.45,104.196,912,153,14,40,02-03-2019
715,67,NOLSM3651414365,2,Implantation,8.19E+15,7.54E+16,1.38E+17,2.99E+17,6.00E+17,31559.581,101.5,909,154,14,41,02-03-2019
716,68,NOLSM3661415366,3,Implantation,8.24E+15,1.24E+16,1.38E+17,3.00E+17,6.00E+17,31251.253,101.809,906,155,14,42,02-03-2019
717,69,NOLSM3671416367,1,Implantation,8.27E+15,7.79E+16,1.38E+17,3.00E+17,6.00E+17,31364.131,103.785,906,155,14,43,02-03-2019
718,70,NOLSM3681417368,2,Implantation,1.22E+16,1.13E+17,1.38E+17,3.00E+17,6.00E+17,32166.592,102.54,911,153,14,44,02-03-2019
719,71,NOLSM3691418369,3,Implantation,1.18E+16,1.14E+17,1.38E+17,2.99E+17,6.00E+17,32602.428,104.079,917,160,14,45,02-03-2019
720,72,NOLSM3701419370,1,Implantation,6.75E+15,9.89E+16,2.11E+17,3.00E+17,6.00E+17,31126.822,103.831,894,156,14,46,02-03-2019
721,73,NOLSM3711420371,2,Implantation,1.49E+16,3.52E+16,1.38E+17,3.01E+17,6.00E+17,31795.543,104.113,875,154,14,47,02-03-2019
722,74,NOLSM3721421372,3,Implantation,6.75E+15,1.08E+17,1.38E+17,3.01E+17,6.00E+17,31209.028,103.854,884,156,14,48,02-03-2019
723,75,NOLSM3731422373,1,Implantation,2.98E+15,8.43E+16,1.38E+17,3.01E+17,6.00E+17,30954.031,99.555,895,155,14,49,02-03-2019
724,76,NOLSM3741423374,2,Implantation,1.58E+16,9.95E+16,1.38E+17,3.02E+17,6.00E+17,31265.102,101.988,916,150,14,50,02-03-2019
725,77,NOLSM3751424375,3,Implantation,6.41E+15,9.24E+16,1.38E+17,2.99E+17,6.00E+17,32267.154,104.109,907,155,14,51,02-03-2019
726,78,NOLSM3761425376,1,Implantation,1.54E+16,5.38E+16,2.17E+17,3.03E+17,6.00E+17,31799.934,104.071,917,150,14,52,02-03-2019
727,79,NOLSM3771426377,2,Implantation,1.23E+16,8.84E+16,1.38E+17,2.99E+17,6.00E+17,32222.227,104.658,893,157,14,53,02-03-2019
728,80,NOLSM3781427378,3,Implantation,3.41E+15,1.26E+17,1.38E+17,3.01E+17,6.00E+17,32130.349,102.474,900,157,14,54,02-03-2019
729,81,NOLSM352141,3,Implantation,1.09E+16,4.12E+16,1.38E+17,3.03E+17,6.00E+17,31292.665,100.718,899,151,14,1,02-03-2019
730,82,NOLSM353142,2,Implantation,1.14E+16,7.25E+16,1.38E+17,2.99E+17,6.00E+17,32015.142,103.175,874,155,14,2,02-03-2019
731,83,NOLSM354143,1,Implantation,1.62E+16,8.58E+16,1.38E+17,3.01E+17,6.00E+17,30828.379,102.963,882,158,14,3,02-03-2019
732,84,NOLSM355144,1,Implantation,1.24E+16,1.50E+17,1.38E+17,2.99E+17,6.00E+17,32525.804,102.767,926,156,14,4,02-03-2019
733,85,NOLSM356145,2,Implantation,1.54E+16,4.30E+16,1.38E+17,3.02E+17,6.00E+17,31584.1,102.448,925,156,14,5,02-03-2019
734,86,NOLSM357146,3,Implantation,1.65E+16,1.26E+17,1.38E+17,3.00E+17,6.00E+17,31743.858,104.18,914,156,14,6,02-03-2019
735,87,NOLSM358147,2,Implantation,7.24E+15,1.96E+17,1.38E+17,2.96E+17,6.00E+17,32590.44,106.173,915,154,14,7,02-03-2019
736,88,NOLSM359148,1,Implantation,9.91E+15,6.10E+16,1.66E+17,3.02E+17,6.00E+17,32202.196,103.67,882,153,14,8,02-03-2019
737,89,NOLSM360149,1,Implantation,1.38E+16,1.09E+17,1.38E+17,3.00E+17,6.00E+17,31167.976,104.326,888,159,14,9,02-03-2019
738,90,NOLSM3611410,2,Implantation,1.79E+16,8.57E+16,1.38E+17,3.00E+17,6.00E+17,30598.176,102.716,860,155,14,10,02-03-2019
739,91,NOLSM3621411,3,Implantation,1.07E+16,9.57E+16,2.49E+17,3.01E+17,6.00E+17,32095.533,103.37,902,155,14,11,02-03-2019
740,92,NOLSM3631412,3,Implantation,1.44E+16,5.22E+16,1.38E+17,2.99E+17,6.00E+17,31074.084,101.302,893,155,14,12,02-03-2019
741,93,NOLSM3641413,2,Implantation,1.00E+16,1.31E+17,1.38E+17,3.00E+17,6.00E+17,31732.45,104.196,912,153,14,13,02-03-2019
742,94,NOLSM3651414,1,Implantation,8.19E+15,7.54E+16,1.38E+17,2.99E+17,6.00E+17,31559.581,101.5,909,154,14,14,02-03-2019
743,95,NOLSM3661415,1,Implantation,8.24E+15,1.24E+16,1.38E+17,3.00E+17,6.00E+17,31251.253,101.809,906,155,14,15,02-03-2019
744,96,NOLSM3671416,2,Implantation,8.27E+15,7.79E+16,1.38E+17,3.00E+17,6.00E+17,31364.131,103.785,906,155,14,16,02-03-2019
745,97,NOLSM3681417,3,Implantation,1.22E+16,1.13E+17,1.38E+17,3.00E+17,6.00E+17,32166.592,102.54,911,153,14,17,02-03-2019
746,98,NOLSM3691418,3,Implantation,1.18E+16,1.14E+17,1.38E+17,2.99E+17,6.00E+17,32602.428,104.079,917,160,14,18,02-03-2019
747,99,NOLSM3701419,2,Implantation,6.75E+15,9.89E+16,2.11E+17,3.00E+17,6.00E+17,31126.822,103.831,894,156,14,19,02-03-2019
748,100,NOLSM3711420,1,Implantation,1.49E+16,3.52E+16,1.38E+17,3.01E+17,6.00E+17,31795.543,104.113,875,154,14,20,02-03-2019
749,101,NOLSM3721421,1,Implantation,6.75E+15,1.08E+17,1.38E+17,3.01E+17,6.00E+17,31209.028,103.854,884,156,14,21,02-03-2019
750,102,NOLSM3731422,2,Implantation,2.98E+15,8.43E+16,1.38E+17,3.01E+17,6.00E+17,30954.031,99.555,895,155,14,22,02-03-2019
751,103,NOLSM3741423,3,Implantation,1.58E+16,9.95E+16,1.38E+17,3.02E+17,6.00E+17,31265.102,101.988,916,150,14,23,02-03-2019
752,104,NOLSM3751424,1,Implantation,6.41E+15,9.24E+16,1.38E+17,2.99E+17,6.00E+17,32267.154,104.109,907,155,14,24,02-03-2019
753,105,NOLSM3761425,1,Implantation,1.54E+16,5.38E+16,2.17E+17,3.03E+17,6.00E+17,31799.934,104.071,917,150,14,25,02-03-2019
754,106,NOLSM3771426,2,Implantation,1.23E+16,8.84E+16,1.38E+17,2.99E+17,6.00E+17,32222.227,104.658,893,157,14,26,02-03-2019
755,107,NOLSM3781427,3,Implantation,3.41E+15,1.26E+17,1.38E+17,3.01E+17,6.00E+17,32130.349,102.474,900,157,14,27,02-03-2019
756,108,NOLSM379151379,1,Implantation,2.88E+15,1.20E+16,1.38E+17,3.01E+17,6.00E+17,32241.562,102.059,912,156,15,28,03-03-2019
757,109,NOLSM380152380,2,Implantation,8.14E+15,1.65E+17,2.54E+17,3.01E+17,6.00E+17,32695.351,100.52,893,158,15,29,03-03-2019
758,110,NOLSM381153381,3,Implantation,1.42E+16,9.77E+16,1.38E+17,2.99E+17,6.00E+17,32457.98,103.259,894,152,15,30,03-03-2019
759,111,NOLSM382154382,1,Implantation,1.23E+16,9.70E+16,1.38E+17,3.01E+17,6.00E+17,32385.463,100.834,901,155,15,31,03-03-2019
760,112,NOLSM383155383,2,Implantation,1.78E+16,6.64E+16,1.38E+17,3.00E+17,6.00E+17,32928.823,104.711,885,153,15,32,03-03-2019
761,113,NOLSM384156384,3,Implantation,5.99E+15,1.35E+17,1.38E+17,2.99E+17,6.00E+17,32507.472,103.749,907,153,15,33,03-03-2019
762,114,NOLSM385157385,1,Implantation,9.96E+15,5.89E+16,1.38E+17,3.01E+17,6.00E+17,31557.692,99.555,897,154,15,34,03-03-2019
763,115,NOLSM386158386,2,Implantation,7.06E+15,1.19E+17,1.38E+17,3.00E+17,6.00E+17,32314.849,102.377,916,153,15,35,03-03-2019
764,116,NOLSM387159387,3,Implantation,1.17E+16,5.23E+16,1.38E+17,3.01E+17,6.00E+17,32704.56,104.585,911,153,15,36,03-03-2019
765,117,NOLSM3881510388,1,Implantation,8.72E+15,1.38E+17,1.38E+17,3.01E+17,6.00E+17,32148.267,104.398,896,158,15,37,03-03-2019
766,118,NOLSM3891511389,2,Implantation,1.15E+16,1.52E+17,1.38E+17,3.00E+17,6.00E+17,32153.409,102.027,911,156,15,38,03-03-2019
767,119,NOLSM3901512390,3,Implantation,1.46E+16,2.69E+16,1.38E+17,3.00E+17,6.00E+17,32034.212,107.376,878,156,15,39,03-03-2019
768,120,NOLSM3911513391,1,Implantation,9.5E+15,1.14E+17,1.38E+17,3.03E+17,6.00E+17,30966.612,105.285,903,152,15,40,03-03-2019
769,121,NOLSM3921514392,2,Implantation,1.11E+16,1.46E+17,1.38E+17,3.00E+17,6.00E+17,31509.217,104.176,884,154,15,41,03-03-2019
770,122,NOLSM3931515393,3,Implantation,1.15E+16,9.13E+16,1.38E+17,3.03E+17,6.00E+17,31497.31,105.043,906,152,15,42,03-03-2019
771,123,NOLSM3941516394,1,Implantation,2.01E+16,1.58E+17,1.38E+17,3.01E+17,6.00E+17,30883.8,100.728,906,150,15,43,03-03-2019
772,124,NOLSM3951517395,2,Implantation,7.3E+15,1.79E+17,1.38E+17,3.00E+17,6.00E+17,32548.685,101.805,913,153,15,44,03-03-2019
773,125,NOLSM3961518396,3,Implantation,1.34E+16,8.04E+16,1.38E+17,3.01E+17,6.00E+17,32096.824,102.901,889,154,15,45,03-03-2019
774,126,NOLSM3971519397,1,Implantation,8.72E+15,5.58E+16,1.38E+17,3.00E+17,6.00E+17,31876.775,103.409,900,156,15,46,03-03-2019
775,127,NOLSM3981520398,2,Implantation,1.62E+16,5.10E+16,1.38E+17,2.99E+17,6.00E+17,31373.265,103.899,911,154,15,47,03-03-2019
776,128,NOLSM3991521399,3,Implantation,1.08E+16,7.93E+16,1.38E+17,2.98E+17,6.00E+17,32270.885,102.841,903,157,15,48,03-03-2019
777,129,NOLSM4001522400,1,Implantation,1.44E+16,1.29E+17,1.38E+17,2.99E+17,6.00E+17,32062.372,104.328,885,152,15,49,03-03-2019
778,130,NOLSM4011523401,2,Implantation,1.73E+16,9.95E+16,6.12E+16,3.00E+17,6.00E+17,32374.895,104.18,898,155,15,50,03-03-2019
779,131,NOLSM4021524402,3,Implantation,8.72E+15,1.00E+17,1.38E+17,2.98E+17,6.00E+17,31438.723,104.829,908,148,15,51,03-03-2019
780,132,NOLSM4031525403,1,Implantation,7.3E+15,1.13E+17,1.38E+17,3.00E+17,6.00E+17,32297.342,102.555,893,152,15,52,03-03-2019
781,133,NOLSM4041526404,2,Implantation,1.82E+16,6.32E+16,1.38E+17,3.01E+17,6.00E+17,31153.753,103.587,927,154,15,53,03-03-2019
782,134,NOLSM4051527405,3,Implantation,1.30E+16,1.49E+17,1.38E+17,3.02E+17,6.00E+17,32181.305,104.43,906,156,15,54,03-03-2019
783,135,NOLSM379151,3,Implantation,2.88E+15,1.20E+16,1.38E+17,3.01E+17,6.00E+17,32241.562,102.059,912,156,15,1,03-03-2019
784,136,NOLSM380152,2,Implantation,8.14E+15,1.65E+17,2.54E+17,3.01E+17,6.00E+17,32695.351,100.52,893,158,15,2,03-03-2019
785,137,NOLSM381153,1,Implantation,1.42E+16,9.77E+16,1.38E+17,2.99E+17,6.00E+17,32457.98,103.259,894,152,15,3,03-03-2019
786,138,NOLSM382154,1,Implantation,1.23E+16,9.70E+16,1.38E+17,3.01E+17,6.00E+17,32385.463,100.834,901,155,15,4,03-03-2019
787,139,NOLSM383155,3,Implantation,1.78E+16,6.64E+16,1.38E+17,3.00E+17,6.00E+17,32928.823,104.711,885,153,15,5,03-03-2019
788,140,NOLSM384156,3,Implantation,5.99E+15,1.35E+17,1.38E+17,2.99E+17,6.00E+17,32507.472,103.749,907,153,15,6,03-03-2019
789,141,NOLSM385157,1,Implantation,9.96E+15,5.89E+16,1.38E+17,3.01E+17,6.00E+17,31557.692,99.555,897,154,15,7,03-03-2019
790,142,NOLSM386158,1,Implantation,7.06E+15,1.19E+17,1.38E+17,3.00E+17,6.00E+17,32314.849,102.377,916,153,15,8,03-03-2019
791,143,NOLSM387159,2,Implantation,1.17E+16,5.23E+16,1.38E+17,3.01E+17,6.00E+17,32704.56,104.585,911,153,15,9,03-03-2019
792,144,NOLSM3881510,3,Implantation,8.72E+15,1.38E+17,1.38E+17,3.01E+17,6.00E+17,32148.267,104.398,896,158,15,10,03-03-2019
793,145,NOLSM3891511,3,Implantation,1.15E+16,1.52E+17,1.38E+17,3.00E+17,6.00E+17,32153.409,102.027,911,156,15,11,03-03-2019
794,146,NOLSM3901512,2,Implantation,1.46E+16,2.69E+16,1.38E+17,3.00E+17,6.00E+17,32034.212,107.376,878,156,15,12,03-03-2019
795,147,NOLSM3911513,1,Implantation,9.5E+15,1.14E+17,1.38E+17,3.03E+17,6.00E+17,30966.612,105.285,903,152,15,13,03-03-2019
796,148,NOLSM3921514,1,Implantation,1.11E+16,1.46E+17,1.38E+17,3.00E+17,6.00E+17,31509.217,104.176,884,154,15,14,03-03-2019
797,149,NOLSM3931515,3,Implantation,1.15E+16,9.13E+16,1.38E+17,3.03E+17,6.00E+17,31497.31,105.043,906,152,15,15,03-03-2019
798,150,NOLSM3941516,3,Implantation,2.01E+16,1.58E+17,1.38E+17,3.01E+17,6.00E+17,30883.8,100.728,906,150,15,16,03-03-2019
799,151,NOLSM3951517,2,Implantation,7.3E+15,1.79E+17,1.38E+17,3.00E+17,6.00E+17,32548.685,101.805,913,153,15,17,03-03-2019
800,152,NOLSM3961518,1,Implantation,1.34E+16,8.04E+16,1.38E+17,3.01E+17,6.00E+17,32096.824,102.901,889,154,15,18,03-03-2019
801,153,NOLSM3971519,1,Implantation,8.72E+15,5.58E+16,1.38E+17,3.00E+17,6.00E+17,31876.775,103.409,900,156,15,19,03-03-2019
802,154,NOLSM3981520,2,Implantation,1.62E+16,5.10E+16,1.38E+17,2.99E+17,6.00E+17,31373.265,103.899,911,154,15,20,03-03-2019
803,155,NOLSM3991521,3,Implantation,1.08E+16,7.93E+16,1.38E+17,2.98E+17,6.00E+17,32270.885,102.841,903,157,15,21,03-03-2019
804,156,NOLSM4001522,3,Implantation,1.44E+16,1.29E+17,1.38E+17,2.99E+17,6.00E+17,32062.372,104.328,885,152,15,22,03-03-2019
805,157,NOLSM4011523,2,Implantation,1.73E+16,9.95E+16,6.12E+16,3.00E+17,6.00E+17,32374.895,104.18,898,155,15,23,03-03-2019
806,158,NOLSM4021524,1,Implantation,8.72E+15,1.00E+17,1.38E+17,2.98E+17,6.00E+17,31438.723,104.829,908,148,15,24,03-03-2019
807,159,NOLSM4031525,1,Implantation,7.3E+15,1.13E+17,1.38E+17,3.00E+17,6.00E+17,32297.342,102.555,893,152,15,25,03-03-2019
808,160,NOLSM4041526,3,Implantation,1.82E+16,6.32E+16,1.38E+17,3.01E+17,6.00E+17,31153.753,103.587,927,154,15,26,03-03-2019
809,161,NOLSM4051527,3,Implantation,1.30E+16,1.49E+17,1.38E+17,3.02E+17,6.00E+17,32181.305,104.43,906,156,15,27,03-03-2019
810,162,NOLSM406161406,1,Implantation,5.17E+15,1.71E+16,1.38E+17,3.00E+17,6.00E+17,31639.318,103.843,902,155,16,28,04-03-2019
811,163,NOLSM407162407,2,Implantation,1.30E+16,1.83E+17,1.38E+17,3.01E+17,6.00E+17,31468.269,102.597,923,153,16,29,04-03-2019
812,164,NOLSM408163408,3,Implantation,1.61E+16,7.85E+16,1.38E+17,3.00E+17,6.00E+17,30906.701,104.338,910,149,16,30,04-03-2019
813,165,NOLSM409164409,1,Implantation,9.42E+15,1.80E+17,1.38E+17,3.02E+17,6.00E+17,31668.747,104.576,919,157,16,31,04-03-2019
814,166,NOLSM410165410,2,Implantation,3.16E+15,5.03E+16,1.38E+17,3.01E+17,6.00E+17,30876.21,103.354,881,154,16,32,04-03-2019
815,167,NOLSM411166411,3,Implantation,1.26E+16,2.40E+16,1.38E+17,3.01E+17,6.00E+17,32023.057,103.827,871,154,16,33,04-03-2019
816,168,NOLSM412167412,1,Implantation,1.86E+16,1.38E+17,1.38E+17,3.01E+17,6.00E+17,32434.874,105.794,908,156,16,34,04-03-2019
817,169,NOLSM413168413,2,Implantation,1.06E+16,6.33E+16,1.38E+17,3.02E+17,6.00E+17,31494.284,104.617,891,157,16,35,04-03-2019
818,170,NOLSM414169414,3,Implantation,9.39E+15,1.80E+17,1.38E+17,2.99E+17,6.00E+17,30734.563,105.213,910,153,16,36,04-03-2019
819,171,NOLSM4151610415,1,Implantation,1.23E+16,1.48E+17,1.38E+17,3.00E+17,6.00E+17,32057.927,106.015,898,152,16,37,04-03-2019
820,172,NOLSM4161611416,2,Implantation,1.30E+16,1.02E+17,1.38E+17,2.99E+17,6.00E+17,31364.565,103.501,900,152,16,38,04-03-2019
821,173,NOLSM4171612417,3,Implantation,7.55E+15,9.44E+16,1.38E+17,3.02E+17,6.00E+17,32541.94,101.601,892,153,16,39,04-03-2019
