No_Die,Lot_Num,Wafer_Num,Datetime,Ox_Chamber,type,Temp_OXid,ppm,Pressure,Oxid_time,thickness,photo_soft_Chamber,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,lithography_Chamber,Line_CD,Wavelength,Resolution,Energy_Exposure,Etching_Chamber,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Chamber_Num,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target
NOLSM3351311335,13,38,01-03-2019,2,wet,1079.90641,35.17,0.195,144,722.57,1,1.51697,19.767,14.889,19.997,199.4,89.999,496.487,4041.284,4982.75,4.989,90.241,30.002,2,54.021,436,492.678,110.934,2,408,1553,3651,5718,70.261,50.744,1.032,2,1.53E+16,1.01E+17,1.38E+17,3.00E+17,6.00E+17,31419.868,103.298,862,154,84
NOLSM3361312336,13,39,01-03-2019,2,wet,1032.77772,38.24,0.199,58,721.595,1,0.83835,16.029,14.952,20,204.41,89.999,501.655,4052.219,5036.152,4.997,94.758,29.998,2,20.588,436,547.415,110.832,3,362,1463,3683,5698,71.033,50.902,1.03,3,1.06E+16,1.63E+17,2.20E+17,3.03E+17,6.00E+17,31196.102,104.54,892,154,30
NOLSM3371313337,13,40,01-03-2019,2,wet,1022.376643,32.81,0.201,144,708.792,1,1.22796,17.587,15.072,20,198.818,90.002,495.986,4029.315,5156.979,4.959,90.49,29.998,2,49.682,405,511.504,104.978,1,308,1498,3621,5732,71.137,51.002,1.035,1,1.13E+16,1.31E+16,1.38E+17,3.00E+17,6.00E+17,31201.477,103.231,902,158,48
NOLSM3381314338,13,41,01-03-2019,2,dry,1132.062956,38.2,0.219,119,702.557,1,1.52203,16.445,14.979,20.006,201.674,90,500.442,4088.413,5019.57,4.9,93.958,30.005,2,36.541,405,511.294,107.77,2,604,1524,3653,5721,71.234,50.947,1.045,2,1.17E+16,1.10E+17,1.38E+17,3.00E+17,6.00E+17,31084.207,101.561,895,153,15
NOLSM3391315339,13,42,01-03-2019,2,dry,1158.231481,26.67,0.198,118,702.259,1,1.52932,13.366,14.849,20,202.289,90.001,502.263,4062.197,5085.989,4.864,92.418,30.009,2,33.036,436,515.668,109.616,3,280,1571,3642,5711,71.249,50.451,1.063,3,1.18E+16,8.54E+16,1.38E+17,3.01E+17,6.00E+17,32253.776,102.869,904,155,87
NOLSM3401316340,13,43,01-03-2019,2,dry,1128.751217,36.07,0.191,98,715.371,1,1.16778,15.909,15.074,19.997,200.249,90.001,503.423,4088.406,5101.54,5.04,93.136,30.001,2,46.903,365,532.252,105.132,1,282,1442,3636,5694,71.169,50.615,1.038,1,1.42E+16,8.73E+16,1.38E+17,3.00E+17,6.00E+17,31446.324,102.759,882,155,31
NOLSM3411317341,13,44,01-03-2019,2,dry,937.5402487,35.73,0.211,94,708.346,1,1.29164,14.085,15.067,19.994,199.309,90,498.509,4043.081,5057.66,4.89,91.247,30.005,2,66.532,405,509.393,108.43,2,477,1561,3667,5723,71.153,51.318,1.023,2,7.83E+15,1.31E+17,1.38E+17,3.03E+17,6.00E+17,32773.392,105.126,896,150,238
NOLSM3421318342,13,45,01-03-2019,2,wet,1253.34398,25.39,0.2,174,720.639,1,1.20773,12.352,15.05,20.004,199.911,90,495.402,4054.055,4892.47,5.031,90.587,30.003,2,33.205,436,551.527,109.55,3,350,1690,3659,5691,71.196,50.143,1.041,3,1.08E+16,3.69E+16,1.38E+17,2.99E+17,6.00E+17,31202.426,100.703,898,155,173
NOLSM3431319343,13,46,01-03-2019,2,dry,921.1975736,36.43,0.209,70,711.451,1,1.19261,15.651,15.089,19.994,198.866,90,494.517,3988.812,5005.117,4.957,92.169,30.01,3,42.216,365,512.091,108.576,1,353,1544,3649,5706,71.174,51.616,1.006,1,1.17E+16,9.08E+16,1.99E+17,3.01E+17,6.00E+17,31661.976,101.119,891,149,103
NOLSM3441320344,13,47,01-03-2019,2,dry,1106.970806,37.56,0.208,87,705.974,1,1.24523,16.552,14.965,20.001,199.816,90,498.307,3983.693,5029.168,4.936,90.845,30.005,3,55.47,405,515.702,108.514,2,278,1463,3673,5727,71.287,51.408,1.02,2,1.34E+16,7.75E+16,1.38E+17,2.99E+17,6.00E+17,30785.849,103.203,880,156,174
NOLSM3451321345,13,48,01-03-2019,2,dry,1168.40681,32.8,0.205,113,702.475,1,1.5879,15.616,15.09,19.994,203.987,90.001,505.859,4015.481,4993.499,4.987,93.328,30.002,3,58.434,405,492.517,108.301,3,378,1616,3683,5709,71.17,51.257,1.026,3,1.19E+16,8.61E+16,1.38E+17,2.99E+17,6.00E+17,31765.567,102.207,878,156,177
NOLSM3461322346,13,49,01-03-2019,2,wet,1144.326323,31.86,0.204,106,701.78,1,1.60777,16.681,15.063,20.003,196.125,90.001,502.416,3973.891,4974.61,5.008,92.743,29.999,3,46.924,365,520.06,108.3,1,317,1449,3617,5739,71.164,49.726,1.013,1,1.24E+16,1.30E+17,2.17E+17,3.01E+17,6.00E+17,30901.365,101.874,912,155,28
NOLSM3471323347,13,50,01-03-2019,2,dry,1121.52316,39.51,0.217,50,711.92,1,1.23906,18.582,15.116,19.998,204.725,90,502.749,4082.609,5036.144,5.064,91.218,30.01,3,43.02,365,498.906,109.672,2,473,1576,3672,5738,71.119,51.228,1.017,2,1.66E+16,2.38E+17,1.38E+17,3.00E+17,6.00E+17,31877.743,101.707,914,155,134
NOLSM3481324348,13,51,01-03-2019,2,wet,1264.814709,32.88,0.201,112,696.968,1,0.70056,16.129,15.034,20.007,197.381,90,502.125,4101.095,5013.425,4.925,94.13,29.985,3,39.639,365,519.143,108.319,3,499,1450,3649,5730,71.256,51.375,1.052,3,1.15E+16,1.09E+17,1.38E+17,3.00E+17,6.00E+17,30107.396,102.811,899,156,129
NOLSM3491325349,13,52,01-03-2019,2,wet,980.4659023,38.11,0.194,78,706.048,1,0.55934,18.547,14.97,20.004,196.756,90,499.319,4074.474,4974.847,5.037,94.773,29.993,3,48.829,405,512.364,109.219,1,222,1390,3666,5738,71.402,51.31,1.067,1,9.27E+15,9.56E+16,1.38E+17,2.99E+17,6.00E+17,32048.247,102.598,903,157,78
NOLSM3501326350,13,53,01-03-2019,2,dry,1078.143907,39.93,0.197,80,707.196,1,1.67261,14.217,14.917,19.995,196.614,90.001,505.745,4078.04,5011.823,4.986,91.892,30.006,3,51.041,365,522.393,110.411,2,41,1646,3662,5722,71.287,51.489,1.03,2,1.88E+16,9.24E+16,1.38E+17,3.00E+17,6.00E+17,31221.028,104.234,879,155,60
NOLSM3511327351,13,54,01-03-2019,2,dry,1053.962633,35.63,0.218,89,715.913,1,1.20795,15.818,15.039,19.998,202.174,89.999,494.887,4011.312,4985.691,5.07,94.156,30.005,3,49.273,405,508.958,108.273,3,65,1469,3652,5725,71.538,50.43,1.029,3,7.20E+15,1.30E+17,1.38E+17,3.00E+17,6.00E+17,31645.163,100.57,890,157,74
NOLSM325131,13,1,01-03-2019,3,dry,1198.323089,26.69,0.203,120,705.284,3,1.46994,14.06,15.006,20.001,200.551,90.001,503.63,4010.591,4903.611,5.02,91.918,30.005,3,41.676,365,505.388,109.628,1,340,1522,3644,5732,72.651,52.103,1.03,1,1.50E+16,1.32E+17,1.38E+17,3.01E+17,6.00E+17,30795.934,103.433,854,154,141
NOLSM326132,13,2,01-03-2019,1,dry,959.1715156,30.86,0.217,137,690.8,1,0.86579,13.693,15.059,19.993,199.835,89.999,502.354,4042.427,4979.082,4.937,90.976,30.005,1,53.612,405,541.732,104.917,1,265,1513,3631,5729,70.267,52.004,1.038,1,1.11E+16,4.37E+16,1.38E+17,3.03E+17,6.00E+17,32135.618,105.552,895,156,55
NOLSM327133,13,3,01-03-2019,1,dry,1175.582493,31.07,0.218,116,702.641,1,0.90483,15.221,14.93,19.995,202.118,90.001,504.103,4025.856,5031.989,4.888,91.969,30.006,2,47.598,365,532.2,106.632,2,411,1568,3653,5729,71.231,50.846,1.005,2,1.04E+16,1.51E+16,1.38E+17,2.98E+17,6.00E+17,31057.895,102.598,898,152,96
NOLSM328134,13,4,01-03-2019,1,dry,927.5054921,31.04,0.196,143,704.124,1,0.42197,19.114,14.947,20.004,194.668,90,502.088,4144.57,4969.316,4.933,91.458,30.001,3,32.843,436,537.729,108.785,3,328,1326,3661,5718,71.295,51.665,1.025,3,8.89E+15,1.02E+17,1.38E+17,3.00E+17,6.00E+17,32140.566,102.963,879,155,105
NOLSM329135,13,5,01-03-2019,1,wet,1120.908253,31.37,0.215,76,707.911,2,1.70139,14.942,14.82,19.998,202.192,90,498.167,4049.729,5092.407,5.05,94.723,29.988,1,57.37,405,522.143,109.913,3,219,1451,3637,5729,72.983,50.787,1.038,3,1.67E+16,7.88E+16,1.38E+17,3.02E+17,6.00E+17,31986.009,101.419,882,155,79
NOLSM330136,13,6,01-03-2019,1,dry,1310.70949,41.03,0.213,114,712.218,2,0.69888,12.958,14.997,20,197.199,90,500.9,4030.187,4946.249,4.945,91.069,30.003,2,4.562,365,539.753,107.797,2,272,1540,3661,5704,70.207,51.687,1.023,2,1.13E+16,8.12E+16,1.38E+17,2.99E+17,6.00E+17,31982.632,103.847,871,152,96
NOLSM331137,13,7,01-03-2019,1,dry,933.3671298,30.24,0.211,116,714.56,2,0.85768,17.886,14.978,19.999,202.194,90,502.255,4126.143,5060.506,5.117,88.719,29.995,3,59.616,365,482.812,107.033,1,429,1624,3617,5728,70.688,50.834,1.034,1,1.13E+16,1.16E+17,1.38E+17,2.99E+17,6.00E+17,32499.229,102.84,916,157,115
NOLSM332138,13,8,01-03-2019,1,dry,1033.436679,30.45,0.199,218,700.741,3,0.45409,13.268,14.919,20,202.532,90,503.99,3902.474,5113.826,5.021,92.617,30.002,1,26.803,436,526.283,105.824,1,561,1478,3687,5734,69.496,51.711,1.047,1,1.12E+16,7.20E+16,1.38E+17,3.00E+17,6.00E+17,32016.39,104.368,891,153,167
NOLSM333139,13,9,01-03-2019,1,wet,1137.05619,32.35,0.217,119,715.399,3,1.36775,15.335,15.013,19.999,200.458,90.001,504.46,3995.181,4942.826,5.051,91.588,29.989,2,23.234,365,507.655,105.088,2,45,1414,3641,5731,70.06,51.141,1.047,2,1.45E+16,6.48E+16,1.38E+17,3.01E+17,6.00E+17,31810.414,103.625,903,153,45
NOLSM3341310,13,10,01-03-2019,1,wet,978.1492813,35.26,0.202,85,687.497,3,0.82933,12.201,15.01,20.002,202.963,89.999,499.481,4135.365,5111.433,5.102,92.888,29.997,3,59.996,436,508.986,106.837,3,404,1635,3653,5695,71.617,51.857,1.045,3,1.06E+16,8.54E+16,1.38E+17,3.00E+17,6.00E+17,31969.699,102.847,883,161,168
NOLSM3351311,13,11,01-03-2019,2,wet,1077.329932,35.17,0.195,144,722.57,1,1.51697,13.009,14.889,19.997,199.4,89.999,497.891,4041.284,4982.75,4.989,90.241,30.002,1,54.021,436,492.678,110.934,3,408,1553,3651,5718,70.261,50.744,1.032,3,1.53E+16,1.01E+17,1.38E+17,3.00E+17,6.00E+17,31419.868,103.298,862,154,156
NOLSM3361312,13,12,01-03-2019,2,wet,1013.429731,38.24,0.199,58,721.595,1,0.83835,14.145,14.952,20,204.41,89.999,504.626,4052.219,5036.152,4.997,94.758,29.998,2,20.588,436,547.415,110.832,2,362,1463,3683,5698,72.521,50.902,1.03,2,1.06E+16,1.63E+17,2.20E+17,3.03E+17,6.00E+17,31196.102,104.54,892,154,112
NOLSM3371313,13,13,01-03-2019,2,wet,1014.428039,32.81,0.201,144,708.792,1,1.22796,13.379,15.072,20,198.818,90.002,503.298,4029.315,5156.979,4.959,90.49,29.998,3,49.682,405,511.504,104.978,1,308,1498,3621,5732,70.816,51.002,1.035,1,1.13E+16,1.31E+16,1.38E+17,3.00E+17,6.00E+17,31201.477,103.231,902,158,68
NOLSM3381314,13,14,01-03-2019,2,dry,1124.607013,38.2,0.219,119,702.557,2,1.52203,13.022,14.979,20.006,201.674,90,496.152,4088.413,5019.57,4.9,93.958,30.005,1,36.541,405,511.294,107.77,1,604,1524,3653,5721,70.79,50.947,1.045,1,1.17E+16,1.10E+17,1.38E+17,3.00E+17,6.00E+17,31084.207,101.561,895,153,171
NOLSM3391315,13,15,01-03-2019,2,dry,1144.681131,26.67,0.198,118,702.259,2,1.52932,13.366,14.849,20,202.289,90.001,502.637,4062.197,5085.989,4.864,92.418,30.009,2,33.036,436,515.668,109.616,2,280,1571,3642,5711,71.372,50.451,1.063,2,1.18E+16,8.54E+16,1.38E+17,3.01E+17,6.00E+17,32253.776,102.869,904,155,87
NOLSM3401316,13,16,01-03-2019,2,dry,1127.583511,36.07,0.191,98,715.371,2,1.16778,15.909,15.074,19.997,200.249,90.001,499.361,4088.406,5101.54,5.04,93.136,30.001,3,46.903,365,532.252,105.132,3,282,1442,3636,5694,71.939,50.615,1.038,3,1.42E+16,8.73E+16,1.38E+17,3.00E+17,6.00E+17,31446.324,102.759,882,155,31
NOLSM3411317,13,17,01-03-2019,2,dry,919.1686609,35.73,0.211,94,708.346,3,1.29164,14.085,15.067,19.994,199.309,90,503.635,4043.081,5057.66,4.89,91.247,30.005,1,66.532,405,509.393,108.43,3,477,1561,3667,5723,72.12,51.318,1.023,3,7.83E+15,1.31E+17,1.38E+17,3.03E+17,6.00E+17,32773.392,105.126,896,150,238
NOLSM3421318,13,18,01-03-2019,2,wet,1238.206078,25.39,0.2,174,720.639,3,1.20773,12.352,15.05,20.004,199.911,90,505.191,4054.055,4892.47,5.031,90.587,30.003,2,33.205,436,551.527,109.55,2,350,1690,3659,5691,72.795,50.143,1.041,2,1.08E+16,3.69E+16,1.38E+17,2.99E+17,6.00E+17,31202.426,100.703,898,155,173
NOLSM3431319,13,19,01-03-2019,2,dry,913.9708094,36.43,0.209,70,711.451,3,1.19261,15.651,15.089,19.994,198.866,90,501.018,3988.812,5005.117,4.957,92.169,30.01,3,42.216,365,512.091,108.576,1,353,1544,3649,5706,70.126,51.616,1.006,1,1.17E+16,9.08E+16,1.99E+17,3.01E+17,6.00E+17,31661.976,101.119,891,149,103
NOLSM3441320,13,20,01-03-2019,3,dry,1091.414497,37.56,0.208,87,705.974,1,1.24523,16.552,14.965,20.001,199.816,90,500.181,3983.693,5029.168,4.936,90.845,30.005,1,55.47,405,515.702,108.514,1,278,1463,3673,5727,70.69,51.408,1.02,1,1.34E+16,7.75E+16,1.38E+17,2.99E+17,6.00E+17,30785.849,103.203,880,156,174
NOLSM3451321,13,21,01-03-2019,3,dry,1149.044929,35.42,0.205,113,702.475,1,1.5879,15.616,15.09,19.994,203.987,90.001,497.838,4015.481,4993.499,4.987,93.328,30.002,3,58.434,405,492.517,108.301,3,378,1616,3683,5709,71.316,51.257,1.026,3,1.19E+16,8.61E+16,1.38E+17,2.99E+17,6.00E+17,31765.567,102.207,878,156,177
NOLSM3461322,13,22,01-03-2019,3,wet,1133.633441,26.68,0.204,106,701.78,2,1.60777,16.681,15.063,20.003,196.125,90.001,502.747,3973.891,4974.61,5.008,92.743,29.999,1,46.924,365,520.06,108.3,3,317,1449,3617,5739,70.598,49.726,1.013,3,1.24E+16,1.30E+17,2.17E+17,3.01E+17,6.00E+17,30901.365,101.874,912,155,28
NOLSM3471323,13,23,01-03-2019,3,dry,1119.207556,27.56,0.217,50,711.92,2,1.23906,18.582,15.116,19.998,204.725,90,498.724,4082.609,5036.144,5.064,91.218,30.01,2,43.02,365,498.906,109.672,2,473,1576,3672,5738,70.318,51.228,1.017,2,1.66E+16,2.38E+17,1.38E+17,3.00E+17,6.00E+17,31877.743,101.707,914,155,134
NOLSM3481324,13,24,01-03-2019,3,wet,1263.692964,31.61,0.201,112,696.968,2,0.70056,16.129,15.034,20.007,197.381,90,502.034,4101.095,5013.425,4.925,94.13,29.985,3,39.639,365,519.143,108.319,1,499,1450,3649,5730,69.975,51.375,1.052,1,1.15E+16,1.09E+17,1.38E+17,3.00E+17,6.00E+17,30107.396,102.811,899,156,129
NOLSM3491325,13,25,01-03-2019,3,wet,964.1227727,38.72,0.194,78,706.048,3,0.55934,18.547,14.925,20.004,196.756,90,506.502,4074.474,4974.847,5.037,94.773,29.993,1,48.829,405,512.364,109.219,1,222,1390,3666,5738,71.688,51.31,1.067,1,9.27E+15,9.56E+16,1.38E+17,2.99E+17,6.00E+17,32048.247,102.598,903,157,78
NOLSM3501326,13,26,01-03-2019,3,dry,1059.003352,32.91,0.197,80,707.196,3,1.67261,14.217,14.994,19.995,196.614,90.001,494.901,4078.04,5011.823,4.986,91.892,29.996,2,51.041,365,522.393,110.411,2,41,1646,3662,5722,71.438,51.489,1.03,2,1.88E+16,9.24E+16,1.38E+17,3.00E+17,6.00E+17,31221.028,104.234,879,155,60
NOLSM3511327,13,27,01-03-2019,3,dry,1045.950206,44.94,0.218,89,715.913,3,1.20795,15.818,15.001,19.998,202.174,89.999,496.237,4011.312,4985.691,5.07,94.156,30.001,3,49.273,405,508.958,108.273,3,65,1469,3652,5725,71.538,50.43,1.029,3,7.20E+15,1.30E+17,1.38E+17,3.00E+17,6.00E+17,31645.163,100.57,890,157,74
NOLSM352141352,14,28,02-03-2019,2,wet,1002.632767,28.6,0.204,136,709.929,2,1.15412,15.735,15.109,19.997,196.472,90.001,504.231,4114.543,5041.776,5.064,89.556,30.009,1,27.462,436,521.612,108.679,1,166,1518,3663,5700,71.259,51.068,1.033,1,1.09E+16,4.12E+16,1.38E+17,3.03E+17,6.00E+17,31292.665,100.718,899,151,90
NOLSM353142353,14,29,02-03-2019,2,dry,1095.603032,34.58,0.206,187,711.48,2,0.89269,11.919,15.018,19.993,199.099,89.999,500.053,4001.361,4993.428,4.975,91.388,30,1,44.609,405,526.271,106.244,2,355,1605,3665,5711,71.105,51.201,1.023,2,1.14E+16,7.25E+16,1.38E+17,2.99E+17,6.00E+17,32015.142,103.175,874,155,117
NOLSM354143354,14,30,02-03-2019,2,wet,1024.228342,34.95,0.205,86,704.277,2,1.4453,15.074,14.927,20.003,198.167,90,500.402,4054.534,4885.56,5.004,90.966,29.995,1,29.386,365,543.086,109.029,3,341,1635,3640,5699,71.861,49.342,1.036,3,1.62E+16,8.58E+16,1.38E+17,3.01E+17,6.00E+17,30828.379,102.963,882,158,180
NOLSM355144355,14,31,02-03-2019,2,dry,1135.410543,32.59,0.219,73,703.992,2,0.976,16.041,15.184,20.002,201.002,90,494.976,3957.086,5029.16,4.924,88.854,30.001,1,56.894,365,513.425,109.311,1,304,1499,3654,5712,72.316,51.908,1.037,1,1.24E+16,1.50E+17,1.38E+17,2.99E+17,6.00E+17,32525.804,102.767,926,156,88
NOLSM356145356,14,32,02-03-2019,2,dry,1120.141628,38.02,0.201,73,722.297,2,1.63851,15.929,14.935,19.999,199.47,90.001,499.243,4087.957,4989.254,4.871,91.973,30.002,1,61.517,405,544.004,105.044,2,443,1421,3625,5707,71.392,51.661,1.014,2,1.54E+16,4.30E+16,1.38E+17,3.02E+17,6.00E+17,31584.1,102.448,925,156,95
NOLSM357146357,14,33,02-03-2019,2,wet,1210.039779,33.81,0.193,160,713.608,2,1.44384,12.411,14.838,20.003,202.924,90,501.188,4025.484,5066.833,4.981,92.494,30.011,1,26.046,365,521.06,108.97,3,680,1517,3663,5711,71.161,52.149,1.045,3,1.65E+16,1.26E+17,1.38E+17,3.00E+17,6.00E+17,31743.858,104.18,914,156,218
NOLSM358147358,14,34,02-03-2019,2,dry,1057.338499,29.05,0.214,32,712.692,2,1.20187,14.619,15.22,19.995,200.215,90,493.336,4036.876,5042.424,4.991,93.321,29.997,1,43.331,405,527.072,108.099,1,485,1505,3677,5699,70.423,52.148,1.033,1,7.24E+15,1.96E+17,1.38E+17,2.96E+17,6.00E+17,32590.44,106.173,915,154,161
NOLSM359148359,14,35,02-03-2019,2,wet,1102.959028,49.91,0.211,32,714.415,2,0.81159,23.573,14.935,19.999,199.296,90,497.313,4014.071,5048.689,4.971,92.586,30.003,1,22.994,436,528.805,107.31,2,489,1657,3669,5743,68.866,50.065,1.004,2,9.91E+15,6.10E+16,1.66E+17,3.02E+17,6.00E+17,32202.196,103.67,882,153,145
NOLSM360149360,14,36,02-03-2019,2,dry,1007.501566,32.47,0.195,32,715.404,2,2.07859,14.626,15.012,19.998,200.903,90.001,499.243,3985.686,4929.412,4.942,90.423,29.999,1,59.329,405,529.451,107.358,3,418,1583,3651,5709,70.639,51.593,1.005,3,1.38E+16,1.09E+17,1.38E+17,3.00E+17,6.00E+17,31167.976,104.326,888,159,151
NOLSM3611410361,14,37,02-03-2019,2,wet,1173.89048,32.82,0.221,90,713.132,2,1.44358,20.181,15.014,19.992,197.129,89.999,503.782,4047.541,5081.64,4.92,91.662,30.002,2,24.228,405,476.574,108.983,1,405,1572,3630,5693,70.747,50.321,1.025,1,1.79E+16,8.57E+16,1.38E+17,3.00E+17,6.00E+17,30598.176,102.716,860,155,110
NOLSM3621411362,14,38,02-03-2019,2,wet,1065.872191,36.66,0.186,95,714.295,2,0.71546,18.517,14.955,20,194.871,90.001,501.948,3955.393,5052.778,4.827,95.818,29.998,2,53.648,405,527.294,106.787,2,381,1485,3671,5722,70.321,52.238,1.011,2,1.07E+16,9.57E+16,2.49E+17,3.01E+17,6.00E+17,32095.533,103.37,902,155,93
NOLSM3631412363,14,39,02-03-2019,2,dry,1122.85504,30.09,0.195,115,710.114,2,0.43355,15.859,15.007,20.003,200.988,90,499.28,4062.804,4922.209,5.069,94.12,30.011,2,33.961,436,527.222,105.326,3,203,1615,3659,5709,70.86,51.687,1.044,3,1.44E+16,5.22E+16,1.38E+17,2.99E+17,6.00E+17,31074.084,101.302,893,155,76
NOLSM3641413364,14,40,02-03-2019,2,wet,1106.298433,45.75,0.211,56,710.617,2,1.64049,17.367,14.926,20.002,198.279,90.001,500.637,4071.633,4978.139,5.026,96.346,30.005,2,48.94,405,500.856,107.066,1,446,1422,3639,5699,69.133,50.789,1.004,1,1.00E+16,1.31E+17,1.38E+17,3.00E+17,6.00E+17,31732.45,104.196,912,153,65
NOLSM3651414365,14,41,02-03-2019,2,wet,1194.703777,21.07,0.213,107,711.632,2,1.42928,16.09,14.993,20.01,198.93,90.001,499.941,3985.677,5152.543,5.017,91.356,29.995,2,40.812,436,489.18,107.391,2,125,1395,3642,5737,69.702,50.383,1.068,2,8.19E+15,7.54E+16,1.38E+17,2.99E+17,6.00E+17,31559.581,101.5,909,154,53
NOLSM3661415366,14,42,02-03-2019,2,wet,1045.230266,32.17,0.211,44,710.084,2,1.12362,19.026,14.968,19.999,194.99,90.001,501.817,3978.724,4975.303,4.894,92.106,30.007,2,38.259,436,539.594,106.346,3,443,1532,3670,5712,70.583,50.799,1.018,3,8.24E+15,1.24E+16,1.38E+17,3.00E+17,6.00E+17,31251.253,101.809,906,155,127
NOLSM3671416367,14,43,02-03-2019,2,dry,1135.91157,29.66,0.211,99,721.666,2,1.62494,18.891,15.02,20.001,196.546,89.999,502.391,4056.014,5114.927,5.079,92.607,30.005,2,59.087,365,572.47,109.009,1,473,1341,3657,5714,70.414,51.688,1.034,1,8.27E+15,7.79E+16,1.38E+17,3.00E+17,6.00E+17,31364.131,103.785,906,155,54
