,type,Temp_OXid,ppm,Pressure,Oxid_time,thickness,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Line_CD,Wavelength,Resolution,Energy_Exposure,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target,Chamber
13,dry,889.9034883,22.18,0.215,30,711.374,0.94038,16.584,15.0,19.998,204.503,90.0,504.503,3972.34,5112.566,5.102,93.713,29.999,35.603,436,546.557,109.587,237,1709,3641,5691,71.137,51.717,1.047,1.68e+16,1.67e+17,1.38e+17,3.02e+17,6e+17,32298.304,104.293,928.0,156,0,12233
14,dry,875.1010465,22.17,0.215,27,711.695,0.79623,17.265,15.0,20.002,203.917,90.001,503.917,4084.939,5097.919,5.102,93.463,30.011,34.207,436,547.84,109.377,151,1390,3634,5711,71.169,51.714,1.053,5080000000000000.0,5320000000000000.0,7.89e+16,2.97e+17,6e+17,32299.38,104.284,927.0,156,0,12233
15,wet,927.1331388,29.1,0.215,128,713.195,0.73422,19.247,14.934,19.994,201.964,90.0,493.336,4021.57,5107.302,4.986,92.897,29.999,43.808,405,539.401,108.757,620,1462,3641,5734,69.914,51.379,1.037,1.13e+16,1.13e+17,6.93e+16,2.99e+17,6e+17,31104.203,102.618,923.0,157,0,12233
16,wet,1189.009553,37.93,0.212,179,702.876,0.62819,15.425,14.776,20.0,196.989,90.0,500.146,3995.851,5040.55,4.989,92.294,30.003,50.867,436,509.452,107.074,228,1219,3658,5717,69.947,51.177,1.019,1.33e+16,3.68e+16,1.38e+17,3.01e+17,6e+17,31358.645,105.044,899.0,152,0,12233
17,wet,993.7592724,35.14,0.21,125,699.61,2.17388,14.202,15.039,20.003,195.62,90.001,501.817,4061.169,4970.858,4.994,91.181,30.004,51.079,436,540.772,108.067,208,1474,3646,5737,70.758,51.796,1.008,6160000000000000.0,1.62e+17,1.38e+17,3.01e+17,6e+17,32378.318,104.608,900.0,150,0,12233
18,wet,1277.895816,32.8,0.217,24,708.6,1.12362,19.767,15.103,20.0,198.843,90.001,498.843,4062.804,4971.079,4.973,91.73,29.998,17.932,365,467.53,104.529,187,1296,3633,5726,70.86,49.901,0.998,4190000000000000.0,1.12e+17,1.38e+17,2.99e+17,6e+17,32657.34,99.752,900.0,150,0,12233
19,wet,1295.640227,32.88,0.218,25,715.973,1.22609,16.445,14.864,19.998,199.996,90.0,499.996,3978.724,4999.907,4.989,91.938,29.999,28.852,365,469.146,106.354,211,1385,3643,5689,71.597,50.415,1.01,4080000000000000.0,7600000000000000.0,1.38e+17,3e+17,6e+17,32632.272,101.036,905.0,152,0,12233
20,wet,1278.106718,35.63,0.216,23,714.822,1.72027,13.788,14.969,19.999,198.465,89.999,498.465,3971.194,4961.614,4.993,91.925,30.01,36.248,365,480.324,106.577,202,1473,3647,5737,71.482,50.828,1.021,5060000000000000.0,2.07e+16,1.38e+17,3e+17,6e+17,32646.298,102.07,908.0,153,0,12233
21,dry,1156.615327,31.02,0.196,132,712.039,1.28795,10.619,14.933,19.999,197.925,90.0,501.655,4084.939,5047.563,5.02,91.703,30.011,43.753,436,482.215,110.892,495,1426,3622,5714,71.286,51.207,1.019,1.43e+16,1.23e+17,1.38e+17,3.01e+17,6e+17,31535.79,102.354,873.0,150,0,12233
22,dry,1173.453556,31.72,0.215,112,721.079,1.80132,15.594,14.935,19.997,198.768,89.999,502.263,3900.167,5108.764,5.049,91.654,30.004,47.68,405,471.539,108.962,514,1539,3639,5729,70.13,52.105,1.018,1.02e+16,6.33e+16,1.38e+17,3.02e+17,6e+17,31990.919,103.674,915.0,154,0,12233
23,dry,1298.398414,29.05,0.203,117,713.608,1.52924,16.321,15.165,20.005,202.415,89.999,495.402,4010.001,5169.378,5.067,91.094,30.023,30.322,365,470.478,106.617,304,1544,3625,5728,69.405,51.062,1.037,7640000000000000.0,1.59e+17,1.38e+17,2.97e+17,6e+17,31566.201,103.891,886.0,153,0,12233
24,dry,1048.341956,36.93,0.227,75,707.342,1.89693,11.253,15.009,19.999,200.37,90.001,501.423,3952.67,5002.849,4.951,89.927,29.99,17.852,436,471.726,111.519,273,1489,3650,5722,71.294,50.009,1.012,1.49e+16,3.52e+16,1.38e+17,3.01e+17,6e+17,31795.543,104.113,875.0,154,0,22322
25,wet,1141.416407,38.57,0.214,100,699.636,1.48912,19.767,14.994,20.011,203.761,90.0,497.102,4072.913,4976.357,5.107,92.525,30.003,33.589,436,525.359,106.322,469,1460,3691,5703,69.792,51.891,1.01,1.58e+16,9.95e+16,1.38e+17,3.02e+17,6e+17,31265.102,101.988,916.0,150,0,22322
26,wet,1096.840945,31.04,0.194,128,710.886,1.36943,16.445,15.017,19.995,200.63,90.0,496.487,4010.176,4883.349,5.029,92.148,30.005,44.947,405,512.789,111.526,18,1527,3701,5702,70.794,50.944,1.026,1.23e+16,8.84e+16,1.38e+17,2.99e+17,6e+17,32222.227,104.658,893.0,157,0,22322
27,dry,884.4370076,22.19,0.207,31,703.94,0.67979,16.217,14.992,19.997,203.69,90.0,503.69,4073.803,5092.254,5.093,92.752,30.003,47.455,405,503.094,109.195,248,1466,3643,5719,70.394,51.873,1.047,2360000000000000.0,2.31e+16,4.25e+16,3.01e+17,6e+17,32502.896,104.683,909.0,157,0,22322
28,dry,879.6516783,22.22,0.212,34,708.419,1.09666,16.972,14.841,20.003,204.338,89.999,504.338,4086.75,5108.438,5.111,93.545,29.998,45.079,405,504.537,109.778,183,1665,3640,5701,70.842,52.051,1.051,1.71e+16,7.19e+16,1.27e+17,3.01e+17,6e+17,32299.497,105.127,913.0,158,0,22322
29,dry,889.9797323,22.25,0.212,32,708.823,0.55253,16.91,15.023,20.0,205.638,90.001,505.638,4112.762,5140.952,5.134,93.553,30.003,45.496,405,502.756,110.147,154,1481,3634,5723,70.882,52.226,1.056,4530000000000000.0,5580000000000000.0,9.75e+16,3.03e+17,6e+17,32301.248,105.564,916.0,158,0,22322
30,wet,1182.711776,34.78,0.218,199,709.507,1.18246,17.163,14.785,19.995,203.145,90.001,496.487,3965.084,5068.244,5.012,89.841,29.999,14.844,405,523.143,105.975,230,1508,3661,5706,70.906,51.745,1.01,6970000000000000.0,1.18e+17,1.38e+17,3e+17,6e+17,31921.289,103.014,889.0,156,0,22322
31,wet,1185.526056,34.89,0.208,158,710.413,1.89693,14.611,14.992,19.994,196.599,90.0,500.442,3913.49,5001.761,4.973,91.432,30.003,23.274,405,526.716,105.333,307,1458,3657,5700,71.219,51.523,1.013,1.33e+16,8.73e+16,1.38e+17,3.01e+17,6e+17,33283.059,100.908,896.0,154,0,22322
32,wet,1101.313072,34.04,0.215,35,714.163,1.48912,16.811,14.97,19.993,197.183,90.0,498.509,3979.993,5070.442,4.975,91.317,29.998,33.021,365,514.377,108.223,501,1521,3624,5712,71.554,50.902,1.022,1.07e+16,9.39e+16,2.81e+17,3e+17,6e+17,32131.098,105.338,879.0,155,0,22322
33,dry,1158.468349,31.86,0.204,149,703.333,0.83591,16.608,14.97,20.005,200.693,90.0,502.416,3949.569,4999.225,5.083,89.245,30.009,24.677,405,500.466,105.36,348,1468,3649,5715,70.769,50.224,1.056,8720000000000000.0,1.38e+17,1.38e+17,3.01e+17,6e+17,32148.267,104.398,896.0,158,0,23211
34,wet,1120.829635,38.11,0.211,157,707.715,1.41846,13.518,15.109,19.993,199.632,89.999,499.319,3999.733,4981.02,5.03,93.257,30.004,55.804,436,483.726,109.701,498,1561,3632,5724,70.101,50.718,1.027,9500000000000000.0,1.14e+17,1.38e+17,3.03e+17,6e+17,30966.612,105.285,903.0,152,0,23211
35,dry,1143.152743,28.6,0.194,103,712.692,0.94868,15.554,14.97,20.004,195.963,89.999,504.231,4043.758,4926.446,5.027,91.822,29.997,31.283,365,525.219,107.912,450,1526,3642,5733,70.586,51.288,0.999,2.01e+16,1.58e+17,1.38e+17,3.01e+17,6e+17,30883.8,100.728,906.0,150,0,23211
36,dry,880.177172,39.93,0.215,27,711.589,1.12588,17.477,15.047,19.995,197.621,90.0,504.166,4083.317,5104.146,5.124,93.62,30.016,50.42,405,508.17,110.493,294,1462,3646,5689,71.159,52.223,1.056,1.47e+16,9.32e+16,1.38e+17,3e+17,6e+17,32302.162,105.558,909.0,158,0,23211
37,dry,890.7138824,34.58,0.217,23,709.592,0.6869,16.741,14.897,19.997,198.398,89.999,504.504,4090.081,5112.602,5.111,92.863,30.01,54.367,405,508.309,109.296,133,1407,3637,5681,70.959,52.047,1.051,1.32e+16,8.06e+16,1.38e+17,2.98e+17,6e+17,32299.596,105.117,909.0,158,0,23211
38,dry,885.0032641,22.23,0.204,25,709.285,0.86659,16.646,15.058,20.001,203.358,90.001,503.358,4067.162,5083.952,5.082,92.433,30.0,56.745,405,507.749,108.508,228,1340,3638,5707,70.929,51.7,1.042,1.51e+16,1.99e+16,9.43e+16,3.01e+17,6e+17,32299.831,104.249,909.0,156,0,23211
39,dry,1014.381543,24.49,0.203,97,716.982,0.96161,20.701,14.974,19.997,202.79,89.999,504.231,3961.823,5075.76,5.031,91.965,30.009,51.169,405,530.076,110.154,353,1489,3666,5723,70.567,51.015,1.013,1.51e+16,8.7e+16,1.38e+17,3.02e+17,6e+17,32529.301,103.397,920.0,150,0,23211
40,dry,1046.998899,37.64,0.221,153,704.422,0.83591,12.463,15.106,20.0,202.812,90.002,494.976,3957.086,4939.562,5.04,93.239,29.996,6.197,405,490.508,109.468,415,1635,3650,5698,70.016,51.963,1.041,1.53e+16,1.38e+17,1.38e+17,3e+17,6e+17,32481.944,103.514,879.0,154,0,23211
41,dry,1083.268507,33.47,0.208,124,703.775,1.41846,17.587,15.059,19.999,198.925,90.0,493.336,4036.876,4982.143,5.008,91.859,30.007,37.213,436,509.415,107.561,157,1343,3642,5711,70.944,52.102,1.026,1.52e+16,1.76e+17,1.38e+17,3.02e+17,6e+17,30763.793,99.639,895.0,156,0,23211
42,dry,1209.08899,30.34,0.203,50,714.415,1.21051,15.707,14.973,19.997,196.382,89.999,500.053,4063.467,5100.873,5.09,92.369,30.003,38.023,405,509.248,108.548,180,1663,3649,5714,71.389,51.222,1.026,1.06e+16,1.07e+17,1.38e+17,3.02e+17,6e+17,31593.132,103.087,884.0,156,0,32122
43,dry,1065.177048,35.89,0.196,184,714.295,1.18246,14.849,15.024,19.997,197.98,90.002,499.243,3972.826,5036.427,4.989,92.6,30.01,37.686,436,539.95,106.798,197,1570,3648,5702,71.542,51.623,1.029,8540000000000000.0,1.37e+17,2.79e+17,3.01e+17,6e+17,31510.648,101.757,910.0,157,0,32122
44,wet,994.8957488,33.83,0.224,69,711.632,1.89693,13.838,15.207,19.995,197.135,90.0,499.402,4047.073,5005.945,4.981,94.151,29.996,44.672,405,523.307,110.261,266,1360,3678,5709,69.329,51.433,1.03,9490000000000000.0,1.28e+17,1.38e+17,3e+17,6e+17,31580.222,104.285,898.0,155,0,32122
45,dry,886.9805117,22.48,0.222,23,719.07,1.48912,16.445,15.014,20.002,199.89,90.0,499.89,3997.81,4997.262,5.012,91.411,29.998,55.266,405,508.251,110.249,283,1665,3663,5738,71.907,52.343,1.059,1.26e+16,9.82e+16,1.38e+17,3.01e+17,6e+17,32478.804,105.858,860.0,159,0,32122
46,dry,884.6014471,22.48,0.223,25,720.06,1.36943,16.456,15.005,20.004,200.524,90.0,500.524,4010.486,5013.107,5.012,91.542,30.0,57.166,405,511.851,110.369,202,1481,3663,5745,72.006,52.381,1.06,4100000000000000.0,1.67e+16,1.77e+16,2.98e+17,6e+17,32473.014,105.952,861.0,159,0,32122
47,dry,881.0157989,22.48,0.225,232,721.375,0.67979,17.367,15.133,19.999,201.209,90.0,501.209,4024.184,5030.23,5.031,91.794,30.002,58.781,405,512.409,110.764,333,1441,3664,5732,72.137,52.568,1.064,1.49e+16,1.49e+17,3.5e+16,3.01e+17,6e+17,32477.288,106.419,861.0,160,0,32122
48,dry,1172.959321,22.88,0.199,67,711.632,1.89693,15.084,14.917,20.0,199.515,90.0,501.423,4083.328,5069.597,4.944,94.821,29.999,33.488,365,517.433,109.42,363,1373,3644,5726,71.287,51.753,1.007,1.55e+16,1.4e+17,1.38e+17,3e+17,6e+17,31912.806,102.332,895.0,156,0,32122
49,dry,1140.030247,29.0,0.216,123,693.27,1.48912,16.185,15.018,19.996,197.236,90.0,497.102,4001.361,5040.111,5.094,94.209,30.006,32.638,405,502.919,107.975,213,1549,3662,5712,71.119,50.941,1.02,1.13e+16,4.06e+16,1.38e+17,3.01e+17,6e+17,31298.499,101.301,894.0,157,0,32122
50,wet,1133.085682,34.65,0.199,100,716.271,1.36943,17.22,15.011,19.997,198.221,89.999,496.487,4087.957,5054.012,5.097,90.527,29.989,62.295,365,516.22,108.112,509,1345,3636,5698,71.287,51.007,1.039,1.27e+16,9.24e+16,1.38e+17,2.98e+17,6e+17,32339.953,104.815,899.0,155,0,32122
51,dry,890.0527105,22.21,0.2,29,712.25,0.78203,17.367,15.044,19.998,199.187,90.001,499.187,3983.746,4979.682,4.982,91.195,29.996,23.018,436,548.646,108.197,178,1486,3639,5726,71.225,51.355,1.034,1.08e+16,2.67e+16,3.36e+16,3.02e+17,6e+17,32200.324,103.388,912.0,155,0,33211
52,dry,874.0830348,22.19,0.204,224,713.713,0.81909,18.891,14.96,19.996,199.805,90.0,499.805,3996.109,4995.136,4.996,91.67,29.993,36.742,436,556.431,108.883,136,1393,3639,5733,71.371,51.651,1.041,3080000000000000.0,9.24e+16,1.42e+17,2.99e+17,6e+17,32299.266,104.129,917.0,156,0,33211
53,dry,889.1366509,22.19,0.202,225,714.696,0.81659,20.701,14.964,20.0,200.793,90.0,500.793,4015.856,5019.82,5.022,91.409,30.007,38.0,436,555.801,108.991,142,1461,3640,5689,71.47,51.881,1.047,7950000000000000.0,7.7e+16,2e+17,3e+17,6e+17,32297.604,104.702,917.0,157,0,33211
54,wet,1294.373136,45.05,0.216,23,717.163,0.96161,18.891,14.957,20.001,197.373,90.0,497.373,3947.46,4934.325,4.934,89.801,29.997,64.86,405,521.642,107.241,249,1417,3649,5726,71.716,50.982,1.025,2.07e+16,9.24e+16,1.38e+17,3e+17,6e+17,32542.845,102.455,906.0,154,0,33211
55,wet,1292.04559,45.2,0.218,25,715.375,0.83591,20.701,15.053,19.995,197.488,90.0,497.488,3949.758,4937.197,4.947,90.178,29.999,54.352,405,509.597,108.454,238,1439,3647,5691,71.537,51.137,1.028,6070000000000000.0,9.24e+16,1.38e+17,2.99e+17,6e+17,32567.933,102.843,902.0,154,0,33211
56,wet,1286.27524,45.08,0.218,25,717.232,1.41846,12.463,15.02,20.001,198.224,90.0,498.224,3964.479,4955.598,4.964,90.309,30.004,60.924,405,521.375,107.676,149,1329,3645,5732,71.723,51.143,1.029,2160000000000000.0,1.26e+16,1.59e+16,2.99e+17,6e+17,32552.824,102.858,902.0,154,0,33211
57,wet,991.4505379,25.35,0.199,32,692.759,1.76849,12.463,14.846,19.988,201.946,90.001,502.293,4055.498,5126.15,4.964,93.548,30.011,42.219,365,567.679,108.401,318,1457,3663,5724,69.84,51.963,1.042,8760000000000000.0,1.58e+17,1.38e+17,2.99e+17,6e+17,31269.035,103.405,909.0,159,0,33211
58,wet,1087.481975,32.02,0.218,33,702.109,1.17565,14.416,14.97,19.994,203.684,89.999,493.512,4044.485,5047.638,4.987,92.708,29.995,43.085,436,543.492,110.247,341,1580,3650,5723,72.201,52.102,1.047,1.48e+16,5.99e+16,1.38e+17,3e+17,6e+17,31181.18,102.288,915.0,157,0,33211
59,wet,1131.371632,32.68,0.214,32,692.436,1.62494,17.367,15.109,20.001,195.151,89.999,502.391,4078.11,4973.393,4.921,93.362,30.0,37.621,365,506.438,108.554,223,1520,3677,5715,70.915,51.179,1.034,1.14e+16,1.13e+17,1.38e+17,3e+17,6e+17,31964.942,104.584,885.0,156,0,33211
