,No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
26,NOLSM3511327351,3,Etching,65.0,1469.0,3652.0,5725.0,71.538,50.43,1.0290000000000001,13,54,01-03-2019
27,NOLSM325131,1,Etching,340.0,1522.0,3644.0,5732.0,72.65100000000001,52.103,1.03,13,1,01-03-2019
28,NOLSM326132,1,Etching,265.0,1513.0,3631.0,5729.0,70.267,52.004,1.038,13,2,01-03-2019
29,NOLSM327133,2,Etching,411.0,1568.0,3653.0,5729.0,71.23100000000001,50.846000000000004,1.005,13,3,01-03-2019
30,NOLSM328134,3,Etching,328.0,1326.0,3661.0,5718.0,71.295,51.665,1.025,13,4,01-03-2019
31,NOLSM329135,3,Etching,219.0,1451.0,3637.0,5729.0,72.983,50.787,1.038,13,5,01-03-2019
32,NOLSM330136,2,Etching,272.0,1540.0,3661.0,5704.0,70.207,51.687,1.023,13,6,01-03-2019
33,NOLSM331137,1,Etching,429.0,1624.0,3617.0,5728.0,70.688,50.833999999999996,1.034,13,7,01-03-2019
34,NOLSM332138,1,Etching,561.0,1478.0,3687.0,5734.0,69.49600000000001,51.711000000000006,1.047,13,8,01-03-2019
35,NOLSM333139,2,Etching,-45.0,1414.0,3641.0,5731.0,70.06,51.141000000000005,1.047,13,9,01-03-2019
36,NOLSM3341310,3,Etching,404.0,1635.0,3653.0,5695.0,71.617,51.857,1.045,13,10,01-03-2019
37,NOLSM3351311,3,Etching,408.0,1553.0,3651.0,5718.0,70.26100000000001,50.744,1.032,13,11,01-03-2019
38,NOLSM3361312,2,Etching,362.0,1463.0,3683.0,5698.0,72.521,50.902,1.03,13,12,01-03-2019
39,NOLSM3371313,1,Etching,308.0,1498.0,3621.0,5732.0,70.816,51.001999999999995,1.035,13,13,01-03-2019
40,NOLSM3381314,1,Etching,604.0,1524.0,3653.0,5721.0,70.79,50.946999999999996,1.045,13,14,01-03-2019
41,NOLSM3391315,2,Etching,280.0,1571.0,3642.0,5711.0,71.372,50.451,1.063,13,15,01-03-2019
42,NOLSM3401316,3,Etching,282.0,1442.0,3636.0,5694.0,71.939,50.615,1.038,13,16,01-03-2019
43,NOLSM3411317,3,Etching,477.0,1561.0,3667.0,5723.0,72.12,51.318000000000005,1.023,13,17,01-03-2019
44,NOLSM3421318,2,Etching,350.0,1690.0,3659.0,5691.0,72.795,50.143,1.041,13,18,01-03-2019
45,NOLSM3431319,1,Etching,353.0,1544.0,3649.0,5706.0,70.126,51.61600000000001,1.006,13,19,01-03-2019
46,NOLSM3441320,1,Etching,278.0,1463.0,3673.0,5727.0,70.69,51.408,1.02,13,20,01-03-2019
47,NOLSM3451321,3,Etching,378.0,1616.0,3683.0,5709.0,71.316,51.257,1.026,13,21,01-03-2019
48,NOLSM3461322,3,Etching,317.0,1449.0,3617.0,5739.0,70.598,49.726000000000006,1.013,13,22,01-03-2019
49,NOLSM3471323,2,Etching,473.0,1576.0,3672.0,5738.0,70.318,51.228,1.0170000000000001,13,23,01-03-2019
50,NOLSM3481324,1,Etching,499.0,1450.0,3649.0,5730.0,69.975,51.375,1.052,13,24,01-03-2019
51,NOLSM3491325,1,Etching,222.0,1390.0,3666.0,5738.0,71.688,51.31,1.067,13,25,01-03-2019
52,NOLSM3501326,2,Etching,41.0,1646.0,3662.0,5722.0,71.438,51.489,1.03,13,26,01-03-2019
53,NOLSM3511327,3,Etching,65.0,1469.0,3652.0,5725.0,71.538,50.43,1.0290000000000001,13,27,01-03-2019
54,NOLSM352141352,1,Etching,166.0,1518.0,3663.0,5700.0,71.259,51.068000000000005,1.033,14,28,02-03-2019
55,NOLSM353142353,2,Etching,355.0,1605.0,3665.0,5711.0,71.105,51.201,1.023,14,29,02-03-2019
56,NOLSM354143354,3,Etching,341.0,1635.0,3640.0,5699.0,71.861,49.342,1.036,14,30,02-03-2019
57,NOLSM355144355,1,Etching,304.0,1499.0,3654.0,5712.0,72.316,51.908,1.037,14,31,02-03-2019
58,NOLSM356145356,2,Etching,443.0,1421.0,3625.0,5707.0,71.392,51.661,1.014,14,32,02-03-2019
59,NOLSM357146357,3,Etching,680.0,1517.0,3663.0,5711.0,71.161,52.148999999999994,1.045,14,33,02-03-2019
60,NOLSM358147358,1,Etching,485.0,1505.0,3677.0,5699.0,70.423,52.148,1.033,14,34,02-03-2019
61,NOLSM359148359,2,Etching,489.0,1657.0,3669.0,5743.0,68.866,50.065,1.004,14,35,02-03-2019
62,NOLSM360149360,3,Etching,418.0,1583.0,3651.0,5709.0,70.639,51.593,1.005,14,36,02-03-2019
63,NOLSM3611410361,1,Etching,405.0,1572.0,3630.0,5693.0,70.747,50.321000000000005,1.025,14,37,02-03-2019
64,NOLSM3621411362,2,Etching,381.0,1485.0,3671.0,5722.0,70.321,52.238,1.011,14,38,02-03-2019
65,NOLSM3631412363,3,Etching,203.0,1615.0,3659.0,5709.0,70.86,51.687,1.044,14,39,02-03-2019
66,NOLSM3641413364,1,Etching,446.0,1422.0,3639.0,5699.0,69.133,50.788999999999994,1.004,14,40,02-03-2019
67,NOLSM3651414365,2,Etching,125.0,1395.0,3642.0,5737.0,69.702,50.383,1.068,14,41,02-03-2019
68,NOLSM3661415366,3,Etching,443.0,1532.0,3670.0,5712.0,70.583,50.799,1.018,14,42,02-03-2019
69,NOLSM3671416367,1,Etching,473.0,1341.0,3657.0,5714.0,70.414,51.688,1.034,14,43,02-03-2019
70,NOLSM3681417368,2,Etching,298.0,1564.0,3652.0,5724.0,70.48,50.721000000000004,0.988,14,44,02-03-2019
71,NOLSM3691418369,3,Etching,467.0,1532.0,3657.0,5731.0,71.51899999999999,49.98,1.0659999999999998,14,45,02-03-2019
72,NOLSM3701419370,1,Etching,310.0,1377.0,3641.0,5732.0,71.071,50.758,1.035,14,46,02-03-2019
73,NOLSM3711420371,2,Etching,273.0,1489.0,3650.0,5722.0,71.294,50.00899999999999,1.012,14,47,02-03-2019
74,NOLSM3721421372,3,Etching,582.0,1576.0,3668.0,5746.0,69.354,50.718,1.02,14,48,02-03-2019
75,NOLSM3731422373,1,Etching,427.0,1548.0,3666.0,5689.0,70.906,50.855,1.037,14,49,02-03-2019
76,NOLSM3741423374,2,Etching,469.0,1460.0,3691.0,5703.0,69.792,51.891000000000005,1.01,14,50,02-03-2019
77,NOLSM3751424375,3,Etching,470.0,1495.0,3669.0,5715.0,70.904,51.018,1.038,14,51,02-03-2019
78,NOLSM3761425376,1,Etching,310.0,1449.0,3634.0,5711.0,71.92399999999999,50.918,1.004,14,52,02-03-2019
79,NOLSM3771426377,2,Etching,-18.0,1527.0,3701.0,5702.0,70.794,50.943999999999996,1.026,14,53,02-03-2019
80,NOLSM3781427378,3,Etching,267.0,1377.0,3645.0,5695.0,71.566,50.723,1.047,14,54,02-03-2019
81,NOLSM352141,3,Etching,166.0,1518.0,3663.0,5700.0,71.259,51.068000000000005,1.033,14,1,02-03-2019
82,NOLSM353142,2,Etching,355.0,1605.0,3665.0,5711.0,71.105,51.201,1.023,14,2,02-03-2019
83,NOLSM354143,1,Etching,341.0,1635.0,3640.0,5699.0,71.861,49.342,1.036,14,3,02-03-2019
84,NOLSM355144,1,Etching,304.0,1499.0,3654.0,5712.0,72.316,51.908,1.037,14,4,02-03-2019
85,NOLSM356145,2,Etching,443.0,1421.0,3625.0,5707.0,71.392,51.661,1.014,14,5,02-03-2019
86,NOLSM357146,3,Etching,680.0,1517.0,3663.0,5711.0,71.161,52.148999999999994,1.045,14,6,02-03-2019
87,NOLSM358147,2,Etching,485.0,1505.0,3677.0,5699.0,70.423,52.148,1.033,14,7,02-03-2019
88,NOLSM359148,1,Etching,489.0,1657.0,3669.0,5743.0,68.866,50.065,1.004,14,8,02-03-2019
89,NOLSM360149,1,Etching,418.0,1583.0,3651.0,5709.0,70.639,51.593,1.005,14,9,02-03-2019
90,NOLSM3611410,2,Etching,405.0,1572.0,3630.0,5693.0,70.747,50.321000000000005,1.025,14,10,02-03-2019
91,NOLSM3621411,3,Etching,381.0,1485.0,3671.0,5722.0,70.321,52.238,1.011,14,11,02-03-2019
92,NOLSM3631412,3,Etching,203.0,1615.0,3659.0,5709.0,70.86,51.687,1.044,14,12,02-03-2019
93,NOLSM3641413,2,Etching,446.0,1422.0,3639.0,5699.0,69.133,50.788999999999994,1.004,14,13,02-03-2019
94,NOLSM3651414,1,Etching,125.0,1395.0,3642.0,5737.0,69.702,50.383,1.068,14,14,02-03-2019
95,NOLSM3661415,1,Etching,443.0,1532.0,3670.0,5712.0,70.583,50.799,1.018,14,15,02-03-2019
96,NOLSM3671416,2,Etching,473.0,1341.0,3657.0,5714.0,70.414,51.688,1.034,14,16,02-03-2019
97,NOLSM3681417,3,Etching,298.0,1564.0,3652.0,5724.0,70.48,50.721000000000004,0.988,14,17,02-03-2019
98,NOLSM3691418,3,Etching,467.0,1532.0,3657.0,5731.0,71.51899999999999,49.98,1.0659999999999998,14,18,02-03-2019
99,NOLSM3701419,2,Etching,310.0,1377.0,3641.0,5732.0,71.071,50.758,1.035,14,19,02-03-2019
100,NOLSM3711420,1,Etching,273.0,1489.0,3650.0,5722.0,71.294,50.00899999999999,1.012,14,20,02-03-2019
101,NOLSM3721421,1,Etching,582.0,1576.0,3668.0,5746.0,69.354,50.718,1.02,14,21,02-03-2019
102,NOLSM3731422,2,Etching,427.0,1548.0,3666.0,5689.0,70.906,50.855,1.037,14,22,02-03-2019
103,NOLSM3741423,3,Etching,469.0,1460.0,3691.0,5703.0,69.792,51.891000000000005,1.01,14,23,02-03-2019
104,NOLSM3751424,1,Etching,470.0,1495.0,3669.0,5715.0,70.904,51.018,1.038,14,24,02-03-2019
105,NOLSM3761425,1,Etching,310.0,1449.0,3634.0,5711.0,71.92399999999999,50.918,1.004,14,25,02-03-2019
106,NOLSM3771426,2,Etching,-18.0,1527.0,3701.0,5702.0,70.794,50.943999999999996,1.026,14,26,02-03-2019
107,NOLSM3781427,3,Etching,267.0,1377.0,3645.0,5695.0,71.566,50.723,1.048,14,27,02-03-2019
108,NOLSM379151379,1,Etching,363.0,1506.0,3640.0,5706.0,71.94,51.431000000000004,1.048,15,28,03-03-2019
109,NOLSM380152380,2,Etching,425.0,1525.0,3662.0,5722.0,70.082,51.207,1.048,15,29,03-03-2019
110,NOLSM381153381,3,Etching,309.0,1465.0,3664.0,5723.0,71.146,50.255,1.047,15,30,03-03-2019
111,NOLSM382154382,1,Etching,285.0,1596.0,3660.0,5741.0,69.262,50.687,1.047,15,31,03-03-2019
112,NOLSM383155383,2,Etching,306.0,1627.0,3670.0,5722.0,69.822,51.236999999999995,1.046,15,32,03-03-2019
113,NOLSM384156384,3,Etching,448.0,1648.0,3654.0,5725.0,71.021,51.968999999999994,1.047,15,33,03-03-2019
114,NOLSM385157385,1,Etching,463.0,1247.0,3632.0,5726.0,70.563,52.148,1.051,15,34,03-03-2019
115,NOLSM386158386,2,Etching,250.0,1325.0,3688.0,5692.0,69.10300000000001,51.668,1.052,15,35,03-03-2019
116,NOLSM387159387,3,Etching,362.0,1709.0,3653.0,5732.0,70.774,51.67,1.053,15,36,03-03-2019
117,NOLSM3881510388,1,Etching,348.0,1468.0,3649.0,5715.0,70.76899999999999,50.224,1.056,15,37,03-03-2019
118,NOLSM3891511389,2,Etching,460.0,1466.0,3686.0,5714.0,69.021,50.178000000000004,1.016,15,38,03-03-2019
119,NOLSM3901512390,3,Etching,263.0,1390.0,3660.0,5706.0,71.792,49.794,1.024,15,39,03-03-2019
120,NOLSM3911513391,1,Etching,498.0,1561.0,3632.0,5724.0,70.101,50.718,1.0270000000000001,15,40,03-03-2019
121,NOLSM3921514392,2,Etching,192.0,1665.0,3671.0,5729.0,70.711,51.041000000000004,1.011,15,41,03-03-2019
122,NOLSM3931515393,3,Etching,387.0,1573.0,3631.0,5718.0,71.779,51.067,1.015,15,42,03-03-2019
123,NOLSM3941516394,1,Etching,450.0,1526.0,3642.0,5733.0,70.586,51.288000000000004,0.9990000000000001,15,43,03-03-2019
124,NOLSM3951517395,2,Etching,371.0,1481.0,3666.0,5727.0,70.171,51.049,1.041,15,44,03-03-2019
125,NOLSM3961518396,3,Etching,277.0,1588.0,3700.0,5720.0,71.033,51.23,1.033,15,45,03-03-2019
126,NOLSM3971519397,1,Etching,359.0,1441.0,3675.0,5716.0,71.137,50.343999999999994,1.045,15,46,03-03-2019
127,NOLSM3981520398,2,Etching,343.0,1441.0,3660.0,5708.0,71.234,51.012,1.014,15,47,03-03-2019
128,NOLSM3991521399,3,Etching,261.0,1402.0,3661.0,5699.0,71.249,49.957,1.025,15,48,03-03-2019
129,NOLSM4001522400,1,Etching,244.0,1509.0,3647.0,5706.0,71.169,50.751999999999995,1.056,15,49,03-03-2019
130,NOLSM4011523401,2,Etching,218.0,1576.0,3651.0,5690.0,71.153,50.726000000000006,1.036,15,50,03-03-2019
131,NOLSM4021524402,3,Etching,315.0,1709.0,3644.0,5720.0,71.196,50.504,1.028,15,51,03-03-2019
132,NOLSM4031525403,1,Etching,417.0,1468.0,3638.0,5732.0,71.17399999999999,50.556999999999995,1.015,15,52,03-03-2019
133,NOLSM4041526404,2,Etching,172.0,1466.0,3643.0,5736.0,71.28699999999999,51.336000000000006,1.0090000000000001,15,53,03-03-2019
134,NOLSM4051527405,3,Etching,285.0,1390.0,3669.0,5729.0,71.17,50.912,1.046,15,54,03-03-2019
135,NOLSM379151,3,Etching,363.0,1506.0,3640.0,5706.0,71.94,51.431000000000004,1.022,15,1,03-03-2019
136,NOLSM380152,2,Etching,425.0,1525.0,3662.0,5722.0,70.082,51.207,1.012,15,2,03-03-2019
137,NOLSM381153,1,Etching,309.0,1465.0,3664.0,5723.0,71.146,50.255,1.055,15,3,03-03-2019
138,NOLSM382154,1,Etching,285.0,1596.0,3660.0,5741.0,69.262,50.687,1.033,15,4,03-03-2019
139,NOLSM383155,3,Etching,306.0,1627.0,3670.0,5722.0,69.822,51.236999999999995,1.031,15,5,03-03-2019
140,NOLSM384156,3,Etching,448.0,1648.0,3654.0,5725.0,71.021,51.968999999999994,1.054,15,6,03-03-2019
141,NOLSM385157,1,Etching,463.0,1247.0,3632.0,5726.0,70.563,52.148,1.042,15,7,03-03-2019
142,NOLSM386158,1,Etching,250.0,1325.0,3688.0,5692.0,69.10300000000001,51.668,1.032,15,8,03-03-2019
143,NOLSM387159,2,Etching,362.0,1709.0,3653.0,5732.0,70.774,51.67,1.045,15,9,03-03-2019
144,NOLSM3881510,3,Etching,348.0,1468.0,3649.0,5715.0,70.76899999999999,50.224,1.04,15,10,03-03-2019
145,NOLSM3891511,3,Etching,460.0,1466.0,3686.0,5714.0,69.021,50.178000000000004,1.016,15,11,03-03-2019
146,NOLSM3901512,2,Etching,263.0,1390.0,3660.0,5706.0,71.792,49.794,1.024,15,12,03-03-2019
147,NOLSM3911513,1,Etching,498.0,1561.0,3632.0,5724.0,70.101,50.718,1.0270000000000001,15,13,03-03-2019
148,NOLSM3921514,1,Etching,192.0,1665.0,3671.0,5729.0,70.711,51.041000000000004,1.011,15,14,03-03-2019
149,NOLSM3931515,3,Etching,387.0,1573.0,3631.0,5718.0,71.779,51.067,1.015,15,15,03-03-2019
150,NOLSM3941516,3,Etching,450.0,1526.0,3642.0,5733.0,70.586,51.288000000000004,0.9990000000000001,15,16,03-03-2019
151,NOLSM3951517,2,Etching,371.0,1481.0,3666.0,5727.0,70.171,51.049,1.041,15,17,03-03-2019
152,NOLSM3961518,1,Etching,277.0,1588.0,3700.0,5720.0,70.693,51.23,1.033,15,18,03-03-2019
153,NOLSM3971519,1,Etching,359.0,1441.0,3675.0,5716.0,71.747,50.343999999999994,1.045,15,19,03-03-2019
154,NOLSM3981520,2,Etching,343.0,1441.0,3660.0,5708.0,70.718,51.012,1.014,15,20,03-03-2019
155,NOLSM3991521,3,Etching,261.0,1402.0,3661.0,5699.0,70.26899999999999,49.957,1.025,15,21,03-03-2019
156,NOLSM4001522,3,Etching,244.0,1509.0,3647.0,5706.0,69.28,50.751999999999995,1.056,15,22,03-03-2019
157,NOLSM4011523,2,Etching,218.0,1576.0,3651.0,5690.0,70.84100000000001,50.726000000000006,1.036,15,23,03-03-2019
158,NOLSM4021524,1,Etching,315.0,1486.0,3644.0,5720.0,69.916,50.504,1.028,15,24,03-03-2019
159,NOLSM4031525,1,Etching,417.0,1456.0,3638.0,5732.0,69.15899999999999,50.556999999999995,1.015,15,25,03-03-2019
160,NOLSM4041526,3,Etching,172.0,1420.0,3643.0,5736.0,70.469,51.336000000000006,1.0090000000000001,15,26,03-03-2019
161,NOLSM4051527,3,Etching,285.0,1506.0,3669.0,5729.0,72.095,50.086999999999996,1.046,15,27,03-03-2019
162,NOLSM406161406,1,Etching,230.0,1561.0,3685.0,5727.0,71.164,51.963,0.9940000000000001,16,28,04-03-2019
163,NOLSM407162407,2,Etching,484.0,1665.0,3655.0,5694.0,71.119,53.272,1.0390000000000001,16,29,04-03-2019
164,NOLSM408163408,3,Etching,316.0,1573.0,3625.0,5667.0,71.256,50.718,1.068,16,30,04-03-2019
165,NOLSM409164409,1,Etching,432.0,1526.0,3654.0,5731.0,71.402,52.102,0.993,16,31,04-03-2019
166,NOLSM410165410,2,Etching,316.0,1481.0,3646.0,5735.0,71.28699999999999,50.724,1.014,16,32,04-03-2019
167,NOLSM411166411,3,Etching,369.0,1588.0,3692.0,5721.0,70.678,50.849,1.031,16,33,04-03-2019
168,NOLSM412167412,1,Etching,489.0,1441.0,3657.0,5744.0,70.09,51.178999999999995,1.045,16,34,04-03-2019
169,NOLSM413168413,2,Etching,363.0,1441.0,3683.0,5698.0,70.335,51.177,1.023,16,35,04-03-2019
170,NOLSM414169414,3,Etching,276.0,1402.0,3681.0,5732.0,70.457,51.828,1.062,16,36,04-03-2019
171,NOLSM4151610415,1,Etching,214.0,1456.0,3645.0,5727.0,71.71600000000001,51.486000000000004,1.023,16,37,04-03-2019
172,NOLSM4161611416,2,Etching,319.0,1623.0,3671.0,5740.0,70.512,51.428999999999995,1.0190000000000001,16,38,04-03-2019
173,NOLSM4171612417,3,Etching,253.0,1438.0,3633.0,5720.0,70.999,50.958999999999996,1.037,16,39,04-03-2019
174,NOLSM4181613418,1,Etching,385.0,1468.0,3667.0,5710.0,70.64699999999999,51.516000000000005,1.037,16,40,04-03-2019
175,NOLSM4191614419,2,Etching,276.0,1487.0,3645.0,5713.0,71.607,50.63399999999999,1.0390000000000001,16,41,04-03-2019
176,NOLSM4201615420,3,Etching,292.0,1588.0,3680.0,5712.0,69.825,51.356,1.023,16,42,04-03-2019
177,NOLSM4211616421,1,Etching,544.0,1318.0,3663.0,5727.0,71.406,51.426,1.0290000000000001,16,43,04-03-2019
178,NOLSM4221617422,2,Etching,298.0,1360.0,3682.0,5719.0,71.062,50.104,1.0390000000000001,16,44,04-03-2019
179,NOLSM4231618423,3,Etching,429.0,1577.0,3627.0,5706.0,72.241,51.419,1.05,16,45,04-03-2019
180,NOLSM4241619424,1,Etching,625.0,1677.0,3661.0,5725.0,71.619,51.317,0.998,16,46,04-03-2019
181,NOLSM4251620425,2,Etching,286.0,1501.0,3680.0,5747.0,69.643,51.066,1.05,16,47,04-03-2019
182,NOLSM4261621426,3,Etching,321.0,1493.0,3639.0,5696.0,71.658,50.93600000000001,1.026,16,48,04-03-2019
183,NOLSM4271622427,1,Etching,669.0,1543.0,3668.0,5720.0,70.923,50.45,1.043,16,49,04-03-2019
184,NOLSM4281623428,2,Etching,219.0,1530.0,3634.0,5709.0,70.488,51.883,1.031,16,50,04-03-2019
185,NOLSM4291624429,3,Etching,310.0,1630.0,3643.0,5703.0,71.018,50.858000000000004,1.0290000000000001,16,51,04-03-2019
186,NOLSM4301625430,1,Etching,186.0,1534.0,3636.0,5715.0,70.464,51.034,1.018,16,52,04-03-2019
187,NOLSM4311626431,2,Etching,224.0,1432.0,3653.0,5720.0,70.441,51.746,1.011,16,53,04-03-2019
188,NOLSM4321627432,3,Etching,464.0,1680.0,3656.0,5708.0,71.615,51.485,1.035,16,54,04-03-2019
189,NOLSM406161,2,Etching,230.0,1634.0,3685.0,5727.0,72.003,51.716,0.9940000000000001,16,1,04-03-2019
190,NOLSM407162,1,Etching,484.0,1437.0,3655.0,5694.0,72.124,51.059,1.0390000000000001,16,2,04-03-2019
191,NOLSM408163,1,Etching,316.0,1505.0,3625.0,5667.0,72.581,51.849,1.068,16,3,04-03-2019
192,NOLSM409164,2,Etching,432.0,1515.0,3654.0,5731.0,71.721,50.856,0.993,16,4,04-03-2019
193,NOLSM410165,3,Etching,316.0,1564.0,3646.0,5735.0,71.102,50.178000000000004,1.014,16,5,04-03-2019
194,NOLSM411166,3,Etching,369.0,1592.0,3692.0,5721.0,70.678,50.537,1.031,16,6,04-03-2019
195,NOLSM412167,2,Etching,489.0,1557.0,3657.0,5744.0,70.09,51.53,1.045,16,7,04-03-2019
196,NOLSM413168,1,Etching,363.0,1688.0,3683.0,5698.0,70.335,51.532,1.023,16,8,04-03-2019
197,NOLSM414169,1,Etching,276.0,1465.0,3681.0,5732.0,70.457,51.412,1.062,16,9,04-03-2019
198,NOLSM4151610,2,Etching,214.0,1456.0,3645.0,5727.0,71.71600000000001,50.907,1.023,16,10,04-03-2019
199,NOLSM4161611,3,Etching,319.0,1623.0,3671.0,5740.0,70.512,51.74100000000001,1.0190000000000001,16,11,04-03-2019
200,NOLSM4171612,3,Etching,253.0,1438.0,3633.0,5720.0,70.999,51.225,1.037,16,12,04-03-2019
201,NOLSM4181613,2,Etching,385.0,1468.0,3667.0,5710.0,70.64699999999999,50.29600000000001,1.037,16,13,04-03-2019
202,NOLSM4191614,1,Etching,276.0,1487.0,3645.0,5713.0,71.607,50.63399999999999,1.0390000000000001,16,14,04-03-2019
203,NOLSM4201615,1,Etching,292.0,1588.0,3680.0,5712.0,69.825,51.356,1.023,16,15,04-03-2019
204,NOLSM4211616,2,Etching,544.0,1318.0,3663.0,5727.0,71.406,51.426,1.0290000000000001,16,16,04-03-2019
205,NOLSM4221617,3,Etching,298.0,1360.0,3682.0,5719.0,71.062,50.104,1.0390000000000001,16,17,04-03-2019
206,NOLSM4231618,2,Etching,429.0,1577.0,3627.0,5706.0,72.241,51.419,1.05,16,18,04-03-2019
207,NOLSM4241619,1,Etching,625.0,1677.0,3661.0,5725.0,71.619,51.317,0.998,16,19,04-03-2019
208,NOLSM4251620,1,Etching,286.0,1501.0,3680.0,5747.0,69.643,51.066,1.05,16,20,04-03-2019
209,NOLSM4261621,3,Etching,321.0,1493.0,3639.0,5696.0,71.658,50.93600000000001,1.026,16,21,04-03-2019
210,NOLSM4271622,3,Etching,669.0,1543.0,3668.0,5720.0,70.923,50.45,1.043,16,22,04-03-2019
211,NOLSM4281623,2,Etching,219.0,1530.0,3634.0,5709.0,70.488,51.883,1.031,16,23,04-03-2019
212,NOLSM4291624,1,Etching,310.0,1630.0,3643.0,5703.0,71.018,50.858000000000004,1.0290000000000001,16,24,04-03-2019
213,NOLSM4301625,1,Etching,186.0,1534.0,3636.0,5715.0,70.464,51.034,1.018,16,25,04-03-2019
214,NOLSM4311626,2,Etching,224.0,1432.0,3653.0,5720.0,70.441,51.746,1.011,16,26,04-03-2019
215,NOLSM4321627,3,Etching,464.0,1680.0,3656.0,5708.0,71.615,51.485,1.035,16,27,04-03-2019
216,NOLSM433171433,1,Etching,383.0,1500.0,3677.0,5695.0,71.885,51.538999999999994,1.018,17,28,05-03-2019
217,NOLSM434172434,2,Etching,180.0,1663.0,3649.0,5714.0,71.389,51.222,1.026,17,29,05-03-2019
218,NOLSM435173435,3,Etching,335.0,1355.0,3620.0,5734.0,72.87899999999999,50.68899999999999,1.055,17,30,05-03-2019
219,NOLSM436174436,1,Etching,270.0,1372.0,3678.0,5709.0,71.999,51.88399999999999,1.0390000000000001,17,31,05-03-2019
220,NOLSM437175437,2,Etching,197.0,1570.0,3648.0,5702.0,71.542,51.623000000000005,1.0290000000000001,17,32,05-03-2019
221,NOLSM438176438,3,Etching,392.0,1522.0,3651.0,5696.0,70.415,51.003,1.032,17,33,05-03-2019
222,NOLSM439177439,1,Etching,557.0,1507.0,3653.0,5697.0,71.625,51.508,1.0290000000000001,17,34,05-03-2019
223,NOLSM440178440,2,Etching,266.0,1360.0,3678.0,5709.0,69.329,51.433,1.03,17,35,05-03-2019
