,No_Die,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Lot_Num,Wafer_Num,Datetime
17,NOLSM3421318342,1,Photo,1.20773,12.352,15.05,20.004,199.91099999999997,90.0,495.402,4054.055,4892.47,5.031000000000001,90.587,30.003,13,45,01-03-2019
18,NOLSM3431319343,1,Photo,1.19261,15.651,15.089,19.994,198.86599999999999,90.0,494.517,3988.812,5005.117,4.957,92.169,30.01,13,46,01-03-2019
19,NOLSM3441320344,1,Photo,1.2452299999999998,16.552,14.965,20.000999999999998,199.81599999999997,90.0,498.30699999999996,3983.6929999999998,5029.168,4.936,90.845,30.005,13,47,01-03-2019
20,NOLSM3451321345,1,Photo,1.5879,15.616,15.09,19.994,203.987,90.001,505.85900000000004,4015.4809999999998,4993.499,4.987,93.32799999999999,30.002,13,48,01-03-2019
21,NOLSM3461322346,1,Photo,1.6077700000000001,16.680999999999997,15.062999999999999,20.003,196.125,90.001,502.416,3973.8909999999996,4974.61,5.008,92.743,29.999000000000002,13,49,01-03-2019
22,NOLSM3471323347,1,Photo,1.23906,18.582,15.116,19.998,204.725,90.0,502.749,4082.6090000000004,5036.144,5.064,91.21799999999999,30.01,13,50,01-03-2019
23,NOLSM3481324348,1,Photo,0.7005600000000001,16.129,15.034,20.007,197.38099999999997,90.0,502.125,4101.095,5013.425,4.925,94.13,29.985,13,51,01-03-2019
24,NOLSM3491325349,1,Photo,0.55934,18.547,14.97,20.004,196.75599999999997,90.0,499.319,4074.474,4974.847,5.037,94.773,29.993000000000002,13,52,01-03-2019
25,NOLSM3501326350,1,Photo,1.67261,14.217,14.917,19.995,196.614,90.001,505.745,4078.04,5011.823,4.986000000000001,91.89200000000001,30.006,13,53,01-03-2019
26,NOLSM3511327351,1,Photo,1.20795,15.818,15.039000000000001,19.998,202.174,89.999,494.88699999999994,4011.312,4985.691,5.07,94.156,30.005,13,54,01-03-2019
27,NOLSM325131,3,Photo,1.46994,14.06,15.005999999999998,20.000999999999998,200.551,90.001,503.63,4010.591,4903.611,5.02,91.91799999999999,30.005,13,1,01-03-2019
28,NOLSM326132,1,Photo,0.86579,13.693,15.059000000000001,19.993,199.835,89.999,502.35400000000004,4042.427,4979.082,4.937,90.976,30.005,13,2,01-03-2019
29,NOLSM327133,1,Photo,0.9048299999999999,15.220999999999998,14.93,19.995,202.118,90.001,504.103,4025.8559999999998,5031.9890000000005,4.888,91.969,30.006,13,3,01-03-2019
30,NOLSM328134,1,Photo,0.42196999999999996,19.114,14.947000000000001,20.004,194.668,90.0,502.088,4144.57,4969.316,4.933,91.458,30.000999999999998,13,4,01-03-2019
31,NOLSM329135,2,Photo,1.7013900000000002,14.942,14.82,19.998,202.192,90.0,498.167,4049.7290000000003,5092.407,5.05,94.723,29.988000000000003,13,5,01-03-2019
32,NOLSM330136,2,Photo,0.6988800000000001,12.958,14.997,20.0,197.199,90.0,500.9,4030.187,4946.249,4.945,91.069,30.003,13,6,01-03-2019
33,NOLSM331137,2,Photo,0.8576799999999999,17.886,14.978,19.999000000000002,202.19400000000002,90.0,502.255,4126.143,5060.505999999999,5.117,88.719,29.995,13,7,01-03-2019
34,NOLSM332138,3,Photo,0.45408999999999994,13.267999999999999,14.919,20.0,202.532,90.0,503.99,3902.474,5113.826,5.021,92.617,30.002,13,8,01-03-2019
35,NOLSM333139,3,Photo,1.36775,15.335,15.013,19.999000000000002,200.458,90.001,504.46,3995.1809999999996,4942.826,5.051,91.588,29.989,13,9,01-03-2019
36,NOLSM3341310,3,Photo,0.8293299999999999,12.200999999999999,15.01,20.002,202.963,89.999,499.481,4135.365,5111.433,5.102,92.88799999999999,29.997,13,10,01-03-2019
37,NOLSM3351311,1,Photo,1.5169700000000002,13.009,14.889000000000001,19.997,199.4,89.999,497.89099999999996,4041.284,4982.75,4.989,90.241,30.002,13,11,01-03-2019
38,NOLSM3361312,1,Photo,0.83835,14.145,14.952,20.0,204.41,89.999,504.626,4052.219,5036.152,4.997,94.758,29.998,13,12,01-03-2019
39,NOLSM3371313,1,Photo,1.22796,13.379000000000001,15.072000000000001,20.0,198.81799999999998,90.00200000000001,503.298,4029.315,5156.979,4.959,90.49,29.998,13,13,01-03-2019
40,NOLSM3381314,2,Photo,1.52203,13.022,14.979000000000001,20.006,201.674,90.0,496.152,4088.413,5019.57,4.9,93.958,30.005,13,14,01-03-2019
41,NOLSM3391315,2,Photo,1.52932,13.366,14.849,20.0,202.28900000000002,90.001,502.63699999999994,4062.197,5085.9890000000005,4.864,92.41799999999999,30.009,13,15,01-03-2019
42,NOLSM3401316,2,Photo,1.1677799999999998,15.909,15.074000000000002,19.997,200.24900000000002,90.001,499.361,4088.406,5101.54,5.04,93.13600000000001,30.000999999999998,13,16,01-03-2019
43,NOLSM3411317,3,Photo,1.29164,14.085,15.067,19.994,199.30900000000003,90.0,503.635,4043.0809999999997,5057.66,4.89,91.24700000000001,30.005,13,17,01-03-2019
44,NOLSM3421318,3,Photo,1.20773,12.352,15.05,20.004,199.91099999999997,90.0,505.191,4054.055,4892.47,5.031000000000001,90.587,30.003,13,18,01-03-2019
45,NOLSM3431319,3,Photo,1.19261,15.651,15.089,19.994,198.86599999999999,90.0,501.01800000000003,3988.812,5005.117,4.957,92.169,30.01,13,19,01-03-2019
46,NOLSM3441320,1,Photo,1.2452299999999998,16.552,14.965,20.000999999999998,199.81599999999997,90.0,500.181,3983.6929999999998,5029.168,4.936,90.845,30.005,13,20,01-03-2019
47,NOLSM3451321,1,Photo,1.5879,15.616,15.09,19.994,203.987,90.001,497.838,4015.4809999999998,4993.499,4.987,93.32799999999999,30.002,13,21,01-03-2019
48,NOLSM3461322,2,Photo,1.6077700000000001,16.680999999999997,15.062999999999999,20.003,196.125,90.001,502.74699999999996,3973.8909999999996,4974.61,5.008,92.743,29.999000000000002,13,22,01-03-2019
49,NOLSM3471323,2,Photo,1.23906,18.582,15.116,19.998,204.725,90.0,498.724,4082.6090000000004,5036.144,5.064,91.21799999999999,30.01,13,23,01-03-2019
50,NOLSM3481324,2,Photo,0.7005600000000001,16.129,15.034,20.007,197.38099999999997,90.0,502.034,4101.095,5013.425,4.925,94.13,29.985,13,24,01-03-2019
51,NOLSM3491325,3,Photo,0.55934,18.547,14.925,20.004,196.75599999999997,90.0,506.50199999999995,4074.474,4974.847,5.037,94.773,29.993000000000002,13,25,01-03-2019
52,NOLSM3501326,3,Photo,1.67261,14.217,14.994000000000002,19.995,196.614,90.001,494.901,4078.04,5011.823,4.986000000000001,91.89200000000001,29.996,13,26,01-03-2019
53,NOLSM3511327,3,Photo,1.20795,15.818,15.001,19.998,202.174,89.999,496.23699999999997,4011.312,4985.691,5.07,94.156,30.000999999999998,13,27,01-03-2019
54,NOLSM352141352,2,Photo,1.15412,15.735,15.109000000000002,19.997,196.472,90.001,504.231,4114.543,5041.776,5.064,89.556,30.009,14,28,02-03-2019
55,NOLSM353142353,2,Photo,0.89269,11.919,15.017999999999999,19.993,199.09900000000002,89.999,500.05300000000005,4001.361,4993.428,4.975,91.38799999999999,30.0,14,29,02-03-2019
56,NOLSM354143354,2,Photo,1.4453,15.074000000000002,14.927,20.003,198.167,90.0,500.402,4054.534,4885.56,5.004,90.96600000000001,29.995,14,30,02-03-2019
57,NOLSM355144355,2,Photo,0.976,16.041,15.184000000000001,20.002,201.002,90.0,494.976,3957.086,5029.16,4.9239999999999995,88.854,30.000999999999998,14,31,02-03-2019
58,NOLSM356145356,2,Photo,1.63851,15.929,14.935,19.999000000000002,199.47,90.001,499.24300000000005,4087.9570000000003,4989.254,4.871,91.973,30.002,14,32,02-03-2019
59,NOLSM357146357,2,Photo,1.44384,12.411,14.838,20.003,202.924,90.0,501.18800000000005,4025.4840000000004,5066.833,4.981,92.494,30.011,14,33,02-03-2019
60,NOLSM358147358,2,Photo,1.20187,14.619000000000002,15.22,19.995,200.215,90.0,493.336,4036.8759999999997,5042.424,4.9910000000000005,93.321,29.997,14,34,02-03-2019
61,NOLSM359148359,2,Photo,0.8115899999999999,23.573,14.935,19.999000000000002,199.296,90.0,497.31300000000005,4014.071,5048.689,4.971,92.586,30.003,14,35,02-03-2019
62,NOLSM360149360,2,Photo,2.07859,14.626,15.012,19.998,200.903,90.001,499.24300000000005,3985.6859999999997,4929.412,4.942,90.42299999999999,29.999000000000002,14,36,02-03-2019
63,NOLSM3611410361,2,Photo,1.4435799999999999,20.180999999999997,15.014000000000001,19.992,197.12900000000002,89.999,503.782,4047.5409999999997,5081.64,4.92,91.662,30.002,14,37,02-03-2019
64,NOLSM3621411362,2,Photo,0.71546,18.517,14.955,20.0,194.87099999999998,90.001,501.94800000000004,3955.393,5052.778,4.827,95.818,29.998,14,38,02-03-2019
65,NOLSM3631412363,2,Photo,0.43355,15.859000000000002,15.007,20.003,200.988,90.0,499.28,4062.804,4922.209,5.069,94.12,30.011,14,39,02-03-2019
66,NOLSM3641413364,2,Photo,1.6404900000000002,17.367,14.925999999999998,20.002,198.27900000000002,90.001,500.63699999999994,4071.633,4978.139,5.026,96.346,30.005,14,40,02-03-2019
67,NOLSM3651414365,2,Photo,1.4292799999999999,16.09,14.993,20.01,198.93,90.001,499.941,3985.677,5152.543,5.0169999999999995,91.35600000000001,29.995,14,41,02-03-2019
68,NOLSM3661415366,2,Photo,1.12362,19.026,14.968,19.999000000000002,194.99,90.001,501.81699999999995,3978.724,4975.303,4.894,92.10600000000001,30.006999999999998,14,42,02-03-2019
69,NOLSM3671416367,2,Photo,1.62494,18.891,15.02,20.000999999999998,196.546,89.999,502.39099999999996,4056.014,5114.927,5.079,92.60700000000001,30.005,14,43,02-03-2019
70,NOLSM3681417368,2,Photo,1.18246,13.788,15.015999999999998,20.0,204.524,90.001,507.18300000000005,4029.12,5086.284000000001,5.0360000000000005,92.352,30.006,14,44,02-03-2019
71,NOLSM3691418369,2,Photo,1.22609,18.771,15.05,20.003,204.89700000000002,89.999,501.286,3971.1940000000004,4934.74,5.099,92.71799999999999,29.999000000000002,14,45,02-03-2019
72,NOLSM3701419370,2,Photo,1.8141900000000002,20.701,15.026,19.999000000000002,200.324,90.001,503.39599999999996,4035.3940000000002,5084.315,5.053,92.956,29.991999999999997,14,46,02-03-2019
73,NOLSM3711420371,2,Photo,1.89693,11.253,15.009,19.999000000000002,200.37,90.001,501.423,3952.67,5002.849,4.9510000000000005,89.927,29.99,14,47,02-03-2019
74,NOLSM3721421372,2,Photo,1.72027,15.286,15.075,20.004,199.046,90.001,501.079,3972.34,5074.901,5.032,92.197,30.006,14,48,02-03-2019
75,NOLSM3731422373,2,Photo,0.9616100000000001,12.463,14.995,20.003,195.75,90.0,501.57199999999995,4017.1440000000002,5009.249,5.019,92.601,30.006999999999998,14,49,02-03-2019
76,NOLSM3741423374,2,Photo,1.48912,19.767,14.994000000000002,20.011,203.761,90.0,497.102,4072.913,4976.357,5.107,92.525,30.003,14,50,02-03-2019
77,NOLSM3751424375,2,Photo,0.94868,16.029,15.102,19.996,203.28099999999998,90.0,500.154,4084.9390000000003,4888.342000000001,4.968999999999999,89.185,30.006999999999998,14,51,02-03-2019
78,NOLSM3761425376,2,Photo,0.83591,17.587,14.946,19.999000000000002,205.722,90.001,501.394,4045.078,4953.646,4.98,93.68700000000001,29.989,14,52,02-03-2019
79,NOLSM3771426377,2,Photo,1.36943,16.445,15.017000000000001,19.995,200.63,90.0,496.48699999999997,4010.176,4883.349,5.029,92.148,30.005,14,53,02-03-2019
80,NOLSM3781427378,2,Photo,1.9263299999999999,14.419,14.995,19.994,199.00799999999998,90.001,501.655,4000.075,5049.738,5.0360000000000005,92.62899999999999,30.000999999999998,14,54,02-03-2019
81,NOLSM352141,1,Photo,1.15412,15.735,15.038,19.997,196.472,90.001,500.23900000000003,4114.543,5041.776,5.064,89.556,29.998,14,1,02-03-2019
82,NOLSM353142,1,Photo,0.89269,11.919,15.163,19.993,199.09900000000002,89.999,502.524,4101.984,4993.428,4.975,91.38799999999999,29.995,14,2,02-03-2019
83,NOLSM354143,1,Photo,1.4453,15.074000000000002,14.927,20.003,198.167,90.0,500.916,4020.285,4885.56,5.004,90.96600000000001,30.002,14,3,02-03-2019
84,NOLSM355144,2,Photo,0.976,16.041,15.184000000000001,20.002,201.002,90.0,501.131,4034.5490000000004,5029.16,4.9239999999999995,88.854,30.000999999999998,14,4,02-03-2019
85,NOLSM356145,2,Photo,1.63851,15.929,14.935,19.999000000000002,199.47,90.001,503.194,4040.679,4989.254,4.871,91.973,30.014,14,5,02-03-2019
86,NOLSM357146,2,Photo,1.44384,12.411,14.838,20.003,202.924,90.0,508.904,4068.631,5066.833,4.981,92.494,29.991,14,6,02-03-2019
87,NOLSM358147,3,Photo,1.20187,14.619000000000002,15.22,19.995,200.215,90.0,501.31800000000004,4003.6440000000002,5042.424,4.9910000000000005,93.321,29.998,14,7,02-03-2019
88,NOLSM359148,3,Photo,0.8115899999999999,23.573,14.935,19.999000000000002,199.296,90.0,497.31300000000005,4011.264,5048.689,4.971,92.586,30.008000000000003,14,8,02-03-2019
89,NOLSM360149,1,Photo,2.07859,14.626,15.012,19.998,200.903,90.001,499.24300000000005,4016.5029999999997,4929.412,4.942,90.42299999999999,29.999000000000002,14,9,02-03-2019
90,NOLSM3611410,1,Photo,1.4435799999999999,20.180999999999997,15.014000000000001,19.992,197.12900000000002,89.999,503.782,4058.777,5081.64,4.92,91.662,30.003,14,10,02-03-2019
91,NOLSM3621411,1,Photo,0.71546,18.517,14.955,20.0,194.87099999999998,90.001,501.94800000000004,3993.512,5052.778,4.827,95.818,29.997,14,11,02-03-2019
92,NOLSM3631412,2,Photo,0.43355,15.859000000000002,15.007,20.003,200.988,90.0,499.28,4077.4240000000004,4922.209,5.069,94.12,30.004,14,12,02-03-2019
93,NOLSM3641413,2,Photo,1.6404900000000002,19.567,14.925999999999998,20.002,198.27900000000002,90.001,500.63699999999994,4114.82,4978.139,5.026,96.346,30.005,14,13,02-03-2019
94,NOLSM3651414,2,Photo,1.4292799999999999,15.652000000000001,14.993,20.01,198.93,90.001,499.941,3983.69,5152.543,5.0169999999999995,91.35600000000001,29.995,14,14,02-03-2019
95,NOLSM3661415,3,Photo,0.55004,16.187,14.968,19.999000000000002,194.99,90.001,504.54,4009.363,4975.303,4.894,92.10600000000001,30.006999999999998,14,15,02-03-2019
96,NOLSM3671416,3,Photo,1.59194,15.265999999999998,15.02,20.000999999999998,196.546,89.999,496.005,4023.505,5114.927,5.079,92.60700000000001,30.005,14,16,02-03-2019
97,NOLSM3681417,3,Photo,1.74268,17.671,15.015999999999998,20.0,204.524,90.001,499.32300000000004,3945.323,5086.284000000001,5.0360000000000005,92.352,30.006,14,17,02-03-2019
98,NOLSM3691418,1,Photo,1.21401,11.039000000000001,15.05,20.003,204.89700000000002,89.999,504.316,3963.2529999999997,4934.74,5.099,92.71799999999999,29.999000000000002,14,18,02-03-2019
99,NOLSM3701419,1,Photo,1.14974,16.201,15.026,19.999000000000002,200.324,90.001,499.18699999999995,3951.4120000000003,5084.315,5.053,92.956,29.991999999999997,14,19,02-03-2019
100,NOLSM3711420,1,Photo,1.94708,13.677,15.009,19.999000000000002,200.37,90.001,497.16900000000004,4033.7690000000002,5002.849,4.9510000000000005,89.927,29.99,14,20,02-03-2019
101,NOLSM3721421,2,Photo,0.5220899999999999,14.114,15.075,20.004,199.046,90.001,500.705,4020.946,5074.901,5.032,92.197,30.006,14,21,02-03-2019
102,NOLSM3731422,2,Photo,1.9474900000000002,15.49,14.995,20.003,195.75,90.0,504.86300000000006,4009.634,5009.249,5.019,92.601,30.006999999999998,14,22,02-03-2019
103,NOLSM3741423,3,Photo,1.31097,15.798,14.994000000000002,20.011,203.761,90.0,499.691,4005.473,4976.357,5.107,92.525,30.003,14,23,02-03-2019
104,NOLSM3751424,3,Photo,1.3299,14.76,15.102,19.996,203.28099999999998,90.0,499.20099999999996,4011.123,4888.342000000001,4.968999999999999,89.185,30.006999999999998,14,24,02-03-2019
105,NOLSM3761425,1,Photo,1.46602,14.056,14.946,19.999000000000002,205.722,90.001,500.92800000000005,3925.007,4953.646,4.98,93.68700000000001,29.989,14,25,02-03-2019
106,NOLSM3771426,1,Photo,0.61556,16.102999999999998,15.017000000000001,19.995,200.63,90.0,502.327,3984.715,4883.349,5.029,92.148,30.005,14,26,02-03-2019
107,NOLSM3781427,1,Photo,0.72735,14.419,14.995,19.994,199.00799999999998,90.001,500.256,4000.075,5049.738,5.0360000000000005,92.62899999999999,30.000999999999998,14,27,02-03-2019
108,NOLSM379151379,3,Photo,1.41846,13.457,14.975999999999999,20.002,204.335,90.0,495.986,4099.44,4950.89,5.0969999999999995,92.70299999999999,30.002,15,28,03-03-2019
109,NOLSM380152380,3,Photo,0.67979,15.465,15.088,20.000999999999998,198.49900000000002,89.999,500.44199999999995,4023.0890000000004,5061.575,5.09,94.04799999999999,29.991,15,29,03-03-2019
110,NOLSM381153381,3,Photo,0.73422,16.149,15.099,20.0,200.08599999999998,90.0,502.26300000000003,4100.556,4995.798,5.018,94.479,29.995,15,30,03-03-2019
111,NOLSM382154382,3,Photo,1.8141900000000002,15.370999999999999,14.875,19.994,199.382,90.001,503.423,4028.083,4922.502,5.175,93.882,30.005,15,31,03-03-2019
112,NOLSM383155383,3,Photo,1.89693,17.047,15.004000000000001,20.000999999999998,201.67,90.0,498.509,4018.664,5123.695,4.9030000000000005,90.41799999999999,29.997,15,32,03-03-2019
113,NOLSM384156384,3,Photo,1.72027,17.544,14.915999999999999,19.994,204.08,89.99799999999999,495.402,4071.6490000000003,5006.693,4.9639999999999995,93.432,29.996,15,33,03-03-2019
114,NOLSM385157385,3,Photo,0.9616100000000001,14.894,15.036,19.998,199.805,90.001,494.517,4144.454000000001,5026.875,4.855,92.454,29.998,15,34,03-03-2019
115,NOLSM386158386,3,Photo,1.48912,16.547,14.902000000000001,20.000999999999998,202.47400000000002,90.001,498.30699999999996,4044.066,4870.596,4.901,90.264,30.000999999999998,15,35,03-03-2019
116,NOLSM387159387,3,Photo,0.94868,17.035,15.011,19.997,200.748,90.001,505.85900000000004,3959.744,5034.9890000000005,5.007,92.18700000000001,30.006,15,36,03-03-2019
117,NOLSM3881510388,3,Photo,0.83591,16.608,14.97,20.005,200.69299999999998,90.0,502.416,3949.5690000000004,4999.225,5.083,89.245,30.009,15,37,03-03-2019
118,NOLSM3891511389,3,Photo,1.36943,20.397000000000002,14.917,20.000999999999998,200.197,90.001,502.749,4035.688,5015.675,5.035,90.88600000000001,30.01,15,38,03-03-2019
119,NOLSM3901512390,3,Photo,1.9263299999999999,16.973,15.039000000000001,19.999000000000002,200.635,90.0,502.125,3939.275,5034.262,5.012,91.98899999999999,29.994,15,39,03-03-2019
120,NOLSM3911513391,3,Photo,1.41846,13.517999999999999,15.109000000000002,19.993,199.632,89.999,499.319,3999.7329999999997,4981.02,5.03,93.257,30.004,15,40,03-03-2019
121,NOLSM3921514392,3,Photo,0.67979,15.955,15.017999999999999,19.995,206.842,89.999,505.745,3979.526,4978.657,5.007,90.46600000000001,30.008000000000003,15,41,03-03-2019
122,NOLSM3931515393,3,Photo,0.73422,15.675,14.975999999999999,19.994,202.78599999999997,90.001,494.88699999999994,4095.857,4958.651,4.905,92.04700000000001,30.000999999999998,15,42,03-03-2019
123,NOLSM3941516394,3,Photo,0.94868,15.554,14.97,20.004,195.963,89.999,504.231,4043.758,4926.446,5.027,91.822,29.997,15,43,03-03-2019
124,NOLSM3951517395,3,Photo,1.26436,14.520999999999999,14.927999999999999,20.0,198.18200000000002,90.0,500.05300000000005,3977.5559999999996,5105.645,5.001,91.14399999999999,30.006999999999998,15,44,03-03-2019
125,NOLSM3961518396,3,Photo,1.8256,15.932,15.079,19.994,200.31099999999998,90.001,500.402,4040.937,5036.638,4.885,92.01899999999999,30.013,15,45,03-03-2019
126,NOLSM3971519397,3,Photo,1.10259,12.731,14.968,19.997,200.34,90.001,494.976,4012.77,5035.87,5.037,93.691,30.0,15,46,03-03-2019
127,NOLSM3981520398,3,Photo,1.83466,15.444,15.001,19.996,196.437,89.999,499.24300000000005,4065.3920000000003,5054.543,4.935,90.95,29.991,15,47,03-03-2019
128,NOLSM3991521399,3,Photo,1.32112,11.805,15.081,20.005,199.032,89.999,501.18800000000005,4086.597,4924.687,4.915,89.285,29.998,15,48,03-03-2019
129,NOLSM4001522400,3,Photo,0.43567,17.367,15.058,20.005,198.274,90.00200000000001,493.336,4080.489,5064.639,5.125,89.914,30.015,15,49,03-03-2019
130,NOLSM4011523401,3,Photo,0.6066199999999999,16.09,14.84,20.000999999999998,200.855,90.0,498.381,4061.9640000000004,5037.031,4.973,92.887,29.998,15,50,03-03-2019
131,NOLSM4021524402,3,Photo,1.24908,19.026,15.014000000000001,20.000999999999998,201.824,90.0,501.805,4021.992,4937.455,5.048,92.212,29.999000000000002,15,51,03-03-2019
132,NOLSM4031525403,3,Photo,2.39432,18.891,14.965,20.003,196.67,90.001,501.189,3996.7540000000004,5110.695,4.996,89.499,30.011999999999997,15,52,03-03-2019
133,NOLSM4041526404,3,Photo,1.11835,13.788,14.905,19.992,201.90900000000002,89.999,498.351,4074.165,4971.304,5.0760000000000005,89.4,30.000999999999998,15,53,03-03-2019
134,NOLSM4051527405,3,Photo,1.3273,18.771,14.968,19.996,200.435,90.0,501.81699999999995,4078.065,4942.679,5.037,92.228,29.998,15,54,03-03-2019
135,NOLSM379151,2,Photo,1.39488,13.457,14.975999999999999,20.002,204.335,90.0,500.084,4099.44,4950.89,5.0969999999999995,92.70299999999999,30.002,15,1,03-03-2019
136,NOLSM380152,2,Photo,1.67084,15.465,15.088,20.000999999999998,198.49900000000002,89.999,497.564,4023.0890000000004,5061.575,5.09,94.04799999999999,29.991,15,2,03-03-2019
137,NOLSM381153,2,Photo,1.14555,16.149,15.099,20.0,200.08599999999998,90.0,503.13699999999994,4100.556,4995.798,5.018,94.479,29.995,15,3,03-03-2019
138,NOLSM382154,3,Photo,1.0843200000000002,15.370999999999999,14.875,19.994,199.382,90.001,500.042,4028.083,4922.502,5.175,93.882,30.005,15,4,03-03-2019
139,NOLSM383155,3,Photo,1.3867,17.047,15.004000000000001,20.000999999999998,201.67,90.0,503.0,4018.664,5123.695,4.9030000000000005,90.41799999999999,29.997,15,5,03-03-2019
140,NOLSM384156,1,Photo,1.41685,17.544,14.915999999999999,19.994,204.08,89.99799999999999,502.353,4071.6490000000003,5006.693,4.9639999999999995,93.432,29.996,15,6,03-03-2019
141,NOLSM385157,1,Photo,1.71849,14.894,15.036,19.998,199.805,90.001,496.88,4144.454000000001,5026.875,4.855,92.454,29.998,15,7,03-03-2019
142,NOLSM386158,2,Photo,0.78457,16.547,14.902000000000001,20.000999999999998,202.47400000000002,90.001,500.851,4044.066,4870.596,4.901,90.264,30.000999999999998,15,8,03-03-2019
143,NOLSM387159,2,Photo,2.1489700000000003,17.035,15.011,19.997,200.748,90.001,496.918,3959.744,5034.9890000000005,5.007,92.18700000000001,30.006,15,9,03-03-2019
144,NOLSM3881510,2,Photo,1.1790100000000001,16.608,14.998,20.005,200.69299999999998,90.0,499.62300000000005,3949.5690000000004,4999.225,5.083,89.245,30.009,15,10,03-03-2019
145,NOLSM3891511,3,Photo,1.30273,20.397000000000002,15.097000000000001,20.000999999999998,200.197,90.001,500.839,4035.688,5015.675,5.035,90.88600000000001,30.01,15,11,03-03-2019
146,NOLSM3901512,3,Photo,1.13982,16.973,15.071,19.999000000000002,200.635,90.0,498.791,3939.275,5034.262,5.012,91.98899999999999,29.994,15,12,03-03-2019
147,NOLSM3911513,3,Photo,1.4183700000000001,13.517999999999999,14.992,19.993,199.632,89.999,501.13699999999994,3999.7329999999997,4981.02,5.03,93.257,30.004,15,13,03-03-2019
148,NOLSM3921514,1,Photo,0.6571899999999999,15.955,15.058,19.995,206.842,89.999,494.582,3979.526,4978.657,5.007,90.46600000000001,30.008000000000003,15,14,03-03-2019
149,NOLSM3931515,1,Photo,1.23425,15.675,14.975999999999999,19.994,202.78599999999997,90.001,503.045,4095.857,4958.651,4.905,92.04700000000001,30.000999999999998,15,15,03-03-2019
150,NOLSM3941516,2,Photo,1.27421,15.554,14.97,20.004,195.963,89.999,499.135,4043.758,4926.446,5.027,91.822,29.997,15,16,03-03-2019
