,No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
27,NOLSM325131,3,Oxidation,dry,1198.3230888,O2,26.69,0.203,120,705.284,13,1,01-03-2019
28,NOLSM326132,1,Oxidation,dry,959.17151563,O2,30.86,0.217,137,690.8,13,2,01-03-2019
29,NOLSM327133,1,Oxidation,dry,1175.5824928,O2,31.07,0.218,116,702.6410000000001,13,3,01-03-2019
30,NOLSM328134,1,Oxidation,dry,927.5054921,O2,31.04,0.196,143,704.1239999999999,13,4,01-03-2019
31,NOLSM329135,1,Oxidation,wet,1120.9082533,H2O,31.37,0.215,76,707.9110000000001,13,5,01-03-2019
32,NOLSM330136,1,Oxidation,dry,1310.70949,O2,41.03,0.213,114,712.2180000000001,13,6,01-03-2019
33,NOLSM331137,1,Oxidation,dry,933.36712979,O2,30.24,0.21100000000000002,116,714.56,13,7,01-03-2019
34,NOLSM332138,1,Oxidation,dry,1033.4366792,O2,30.45,0.19899999999999998,218,700.7410000000001,13,8,01-03-2019
35,NOLSM333139,1,Oxidation,wet,1137.0561896,H2O,32.35,0.217,119,715.3989999999999,13,9,01-03-2019
36,NOLSM3341310,1,Oxidation,wet,978.14928127,H2O,35.26,0.20199999999999999,-2,687.497,13,10,01-03-2019
37,NOLSM3351311,2,Oxidation,wet,1077.3299319,H2O,35.17,0.195,144,722.57,13,11,01-03-2019
38,NOLSM3361312,2,Oxidation,wet,1013.4297308,H2O,38.24,0.19899999999999998,58,721.595,13,12,01-03-2019
39,NOLSM3371313,2,Oxidation,wet,1014.4280394,H2O,32.81,0.201,144,708.7919999999999,13,13,01-03-2019
40,NOLSM3381314,2,Oxidation,dry,1124.6070131,O2,38.2,0.21899999999999997,119,702.557,13,14,01-03-2019
41,NOLSM3391315,2,Oxidation,dry,1144.6811312999998,O2,26.67,0.198,118,702.2589999999999,13,15,01-03-2019
42,NOLSM3401316,2,Oxidation,dry,1127.5835106,O2,36.07,0.191,98,715.3710000000001,13,16,01-03-2019
43,NOLSM3411317,2,Oxidation,dry,919.16866089,O2,35.73,0.21100000000000002,94,708.346,13,17,01-03-2019
44,NOLSM3421318,2,Oxidation,wet,1238.2060775999998,H2O,25.39,0.2,174,720.6389999999999,13,18,01-03-2019
45,NOLSM3431319,2,Oxidation,dry,913.97080944,O2,36.43,0.209,70,711.451,13,19,01-03-2019
46,NOLSM3441320,3,Oxidation,dry,1091.4144972000001,O2,37.56,0.20800000000000002,87,705.9739999999999,13,20,01-03-2019
47,NOLSM3451321,3,Oxidation,dry,1149.0449285,O2,35.42,0.205,113,702.475,13,21,01-03-2019
48,NOLSM3461322,3,Oxidation,wet,1133.6334412,H2O,26.68,0.204,106,701.78,13,22,01-03-2019
49,NOLSM3471323,3,Oxidation,dry,1119.2075562999999,O2,27.56,0.217,50,711.92,13,23,01-03-2019
50,NOLSM3481324,3,Oxidation,wet,1263.6929644000002,H2O,31.61,0.201,112,696.9680000000001,13,24,01-03-2019
51,NOLSM3491325,3,Oxidation,wet,964.1227727,H2O,38.72,0.19399999999999998,78,706.048,13,25,01-03-2019
52,NOLSM3501326,3,Oxidation,dry,1059.0033518,O2,32.91,0.19699999999999998,80,707.196,13,26,01-03-2019
53,NOLSM3511327,3,Oxidation,dry,1045.9502055,O2,44.94,0.218,89,715.913,13,27,01-03-2019
54,NOLSM352141352,2,Oxidation,wet,1002.6327671,H2O,28.6,0.204,136,709.929,14,28,02-03-2019
55,NOLSM353142353,2,Oxidation,dry,1095.6030322000001,O2,34.58,0.20600000000000002,187,711.48,14,29,02-03-2019
56,NOLSM354143354,2,Oxidation,wet,1024.2283424,H2O,34.95,0.205,86,704.2769999999999,14,30,02-03-2019
57,NOLSM355144355,2,Oxidation,dry,1135.4105433,O2,32.59,0.21899999999999997,73,703.992,14,31,02-03-2019
58,NOLSM356145356,2,Oxidation,dry,1120.1416275000001,O2,38.02,0.201,73,722.297,14,32,02-03-2019
59,NOLSM357146357,2,Oxidation,wet,1210.0397793,H2O,33.81,0.193,160,713.6080000000001,14,33,02-03-2019
60,NOLSM358147358,2,Oxidation,dry,1057.3384993999998,O2,29.05,0.214,32,712.692,14,34,02-03-2019
61,NOLSM359148359,2,Oxidation,wet,1102.9590275,H2O,49.91,0.21100000000000002,32,714.415,14,35,02-03-2019
62,NOLSM360149360,2,Oxidation,dry,1007.5015662999999,O2,32.47,0.195,32,715.404,14,36,02-03-2019
63,NOLSM3611410361,2,Oxidation,wet,1173.8904800999999,H2O,32.82,0.221,90,713.132,14,37,02-03-2019
64,NOLSM3621411362,2,Oxidation,wet,1065.8721907,H2O,36.66,0.18600000000000003,95,714.295,14,38,02-03-2019
65,NOLSM3631412363,2,Oxidation,dry,1122.8550400000001,O2,30.09,0.195,115,710.1139999999999,14,39,02-03-2019
66,NOLSM3641413364,2,Oxidation,wet,1106.2984333,H2O,45.75,0.21100000000000002,56,710.617,14,40,02-03-2019
67,NOLSM3651414365,2,Oxidation,wet,1194.703777,H2O,21.07,0.213,107,711.632,14,41,02-03-2019
68,NOLSM3661415366,2,Oxidation,wet,1045.2302662999998,H2O,32.17,0.21100000000000002,44,710.084,14,42,02-03-2019
69,NOLSM3671416367,2,Oxidation,dry,1135.9115697,O2,29.66,0.21100000000000002,99,721.666,14,43,02-03-2019
70,NOLSM3681417368,2,Oxidation,wet,1081.3527701,H2O,41.58,0.213,214,701.383,14,44,02-03-2019
71,NOLSM3691418369,2,Oxidation,wet,1119.3909494000002,H2O,40.55,0.214,152,720.58,14,45,02-03-2019
72,NOLSM3701419370,2,Oxidation,dry,1059.09193,O2,32.73,0.203,104,710.123,14,46,02-03-2019
73,NOLSM3711420371,2,Oxidation,dry,1048.3419563999998,O2,36.93,0.22699999999999998,75,707.342,14,47,02-03-2019
74,NOLSM3721421372,2,Oxidation,dry,1061.2132606,O2,36.8,0.22399999999999998,118,699.5239999999999,14,48,02-03-2019
75,NOLSM3731422373,2,Oxidation,wet,1234.4455997000002,H2O,35.97,0.203,127,689.684,14,49,02-03-2019
76,NOLSM3741423374,2,Oxidation,wet,1141.4164066,H2O,38.57,0.214,100,699.6360000000001,14,50,02-03-2019
77,NOLSM3751424375,2,Oxidation,dry,1275.2116125,O2,23.7,0.21600000000000003,156,715.1419999999999,14,51,02-03-2019
78,NOLSM3761425376,2,Oxidation,wet,1064.8186184,H2O,33.22,0.193,117,726.612,14,52,02-03-2019
79,NOLSM3771426377,2,Oxidation,wet,1096.8409448,H2O,31.04,0.19399999999999998,128,710.8860000000001,14,53,02-03-2019
80,NOLSM3781427378,2,Oxidation,wet,1015.9723382000001,H2O,33.45,0.21100000000000002,168,714.4730000000001,14,54,02-03-2019
81,NOLSM352141,1,Oxidation,wet,1002.1588310000001,H2O,44.83,0.204,136,709.929,14,1,02-03-2019
82,NOLSM353142,1,Oxidation,dry,1087.5661521,O2,32.51,0.20600000000000002,187,711.48,14,2,02-03-2019
83,NOLSM354143,1,Oxidation,wet,1005.1527748999999,H2O,32.99,0.205,86,704.2769999999999,14,3,02-03-2019
84,NOLSM355144,1,Oxidation,dry,1125.8471579000002,O2,24.63,0.21899999999999997,73,703.992,14,4,02-03-2019
85,NOLSM356145,1,Oxidation,dry,1107.4907338,O2,32.07,0.201,73,722.297,14,5,02-03-2019
86,NOLSM357146,1,Oxidation,wet,1205.9239677,H2O,36.97,0.193,160,706.977,14,6,02-03-2019
87,NOLSM358147,1,Oxidation,dry,1038.6299379,O2,35.62,0.214,136,687.846,14,7,02-03-2019
88,NOLSM359148,1,Oxidation,wet,1091.6092027,H2O,35.15,0.21100000000000002,-6,703.8789999999999,14,8,02-03-2019
89,NOLSM360149,2,Oxidation,dry,1006.2138273,O2,41.81,0.195,146,708.76,14,9,02-03-2019
90,NOLSM3611410,2,Oxidation,wet,1162.2238035,H2O,32.99,0.221,90,699.7639999999999,14,10,02-03-2019
91,NOLSM3621411,2,Oxidation,wet,1054.550286,H2O,29.68,0.18600000000000003,95,703.084,14,11,02-03-2019
92,NOLSM3631412,2,Oxidation,dry,1104.8475755999998,O2,30.09,0.195,115,697.441,14,12,02-03-2019
93,NOLSM3641413,2,Oxidation,wet,1105.2587858,H2O,45.75,0.21100000000000002,56,709.507,14,13,02-03-2019
94,NOLSM3651414,2,Oxidation,wet,1176.5400752,H2O,21.07,0.213,107,709.6089999999999,14,14,02-03-2019
95,NOLSM3661415,2,Oxidation,wet,1028.7882029,H2O,32.17,0.21100000000000002,44,714.056,14,15,02-03-2019
96,NOLSM3671416,2,Oxidation,dry,1123.4658620999999,O2,29.66,0.21100000000000002,99,721.666,14,16,02-03-2019
97,NOLSM3681417,2,Oxidation,wet,1064.7034586000002,H2O,41.58,0.213,214,701.383,14,17,02-03-2019
98,NOLSM3691418,3,Oxidation,wet,1103.9829043,H2O,40.55,0.214,152,720.58,14,18,02-03-2019
99,NOLSM3701419,3,Oxidation,dry,1053.9157973,O2,32.73,0.203,104,710.123,14,19,02-03-2019
100,NOLSM3711420,3,Oxidation,dry,1028.3486076,O2,36.93,0.22699999999999998,75,707.342,14,20,02-03-2019
101,NOLSM3721421,3,Oxidation,dry,1046.2354985,O2,36.8,0.22399999999999998,118,699.5239999999999,14,21,02-03-2019
102,NOLSM3731422,3,Oxidation,wet,1219.3871237,H2O,35.97,0.203,127,689.684,14,22,02-03-2019
103,NOLSM3741423,3,Oxidation,wet,1139.5729454000002,H2O,38.57,0.214,100,699.6360000000001,14,23,02-03-2019
104,NOLSM3751424,3,Oxidation,dry,1268.9219328,O2,23.7,0.21600000000000003,156,715.1419999999999,14,24,02-03-2019
105,NOLSM3761425,1,Oxidation,wet,1050.490445,H2O,33.22,0.193,117,726.612,14,25,02-03-2019
106,NOLSM3771426,1,Oxidation,wet,1080.0871284000002,H2O,31.04,0.19399999999999998,128,710.8860000000001,14,26,02-03-2019
107,NOLSM3781427,1,Oxidation,wet,998.89265611,H2O,33.45,0.21100000000000002,168,714.4730000000001,14,27,02-03-2019
108,NOLSM379151379,2,Oxidation,dry,1102.5628617,O2,39.27,0.217,135,687.582,15,28,03-03-2019
109,NOLSM380152380,2,Oxidation,dry,1091.2951968,O2,35.16,0.21600000000000003,93,715.034,15,29,03-03-2019
110,NOLSM381153381,2,Oxidation,wet,1144.1475252999999,H2O,31.99,0.22,103,695.4580000000001,15,30,03-03-2019
111,NOLSM382154382,2,Oxidation,wet,970.19734541,H2O,45.08,0.205,87,705.0939999999999,15,31,03-03-2019
112,NOLSM383155383,2,Oxidation,wet,976.9096317999999,H2O,43.66,0.22,103,706.9630000000001,15,32,03-03-2019
113,NOLSM384156384,2,Oxidation,dry,1134.4961548,O2,26.92,0.196,121,726.3960000000001,15,33,03-03-2019
114,NOLSM385157385,2,Oxidation,wet,1172.7642683,H2O,31.95,0.20199999999999999,115,712.17,15,34,03-03-2019
115,NOLSM386158386,2,Oxidation,dry,983.98868441,O2,38.88,0.212,129,715.453,15,35,03-03-2019
116,NOLSM387159387,2,Oxidation,dry,1087.6315314,O2,32.8,0.20199999999999999,118,710.5260000000001,15,36,03-03-2019
117,NOLSM3881510388,2,Oxidation,dry,1158.4683487,O2,31.86,0.204,149,703.3330000000001,15,37,03-03-2019
118,NOLSM3891511389,2,Oxidation,dry,977.32318361,O2,39.51,0.201,71,704.586,15,38,03-03-2019
119,NOLSM3901512390,2,Oxidation,dry,1003.0859328,O2,32.88,0.207,86,711.1110000000001,15,39,03-03-2019
120,NOLSM3911513391,2,Oxidation,wet,1120.8296348,H2O,38.11,0.21100000000000002,157,707.715,15,40,03-03-2019
121,NOLSM3921514392,2,Oxidation,wet,951.20676658,H2O,39.93,0.19899999999999998,74,717.885,15,41,03-03-2019
122,NOLSM3931515393,2,Oxidation,wet,1047.6102301,H2O,35.63,0.218,112,713.6080000000001,15,42,03-03-2019
123,NOLSM3941516394,2,Oxidation,dry,1143.1527426,O2,28.6,0.19399999999999998,103,712.692,15,43,03-03-2019
124,NOLSM3951517395,2,Oxidation,wet,1025.049013,H2O,34.58,0.212,198,714.415,15,44,03-03-2019
125,NOLSM3961518396,2,Oxidation,wet,1253.3738212,H2O,34.95,0.212,22,715.404,15,45,03-03-2019
126,NOLSM3971519397,2,Oxidation,wet,1099.4510373,H2O,32.59,0.20600000000000002,87,713.132,15,46,03-03-2019
127,NOLSM3981520398,2,Oxidation,wet,1103.3832809,H2O,38.02,0.20800000000000002,66,714.295,15,47,03-03-2019
128,NOLSM3991521399,2,Oxidation,dry,1108.1617047,O2,33.81,0.212,118,710.1139999999999,15,48,03-03-2019
129,NOLSM4001522400,2,Oxidation,dry,1259.2834487,O2,29.05,0.207,177,710.617,15,49,03-03-2019
130,NOLSM4011523401,2,Oxidation,dry,1203.9208344,O2,49.91,0.203,70,711.632,15,50,03-03-2019
131,NOLSM4021524402,2,Oxidation,dry,1051.6532298,O2,32.47,0.215,145,710.084,15,51,03-03-2019
132,NOLSM4031525403,2,Oxidation,wet,1186.6448883,H2O,32.82,0.207,74,715.033,15,52,03-03-2019
133,NOLSM4041526404,2,Oxidation,wet,926.46567857,H2O,36.66,0.192,75,707.538,15,53,03-03-2019
134,NOLSM4051527405,2,Oxidation,dry,1190.7600703,O2,35.44,0.21100000000000002,108,700.7189999999999,15,54,03-03-2019
135,NOLSM379151,1,Oxidation,dry,1083.9834116,O2,39.27,0.217,135,687.582,15,1,03-03-2019
136,NOLSM380152,1,Oxidation,dry,1086.5661869,O2,35.16,0.21600000000000003,93,715.034,15,2,03-03-2019
137,NOLSM381153,1,Oxidation,wet,1134.1455588,H2O,31.99,0.22,103,695.4580000000001,15,3,03-03-2019
138,NOLSM382154,1,Oxidation,wet,965.9786545,H2O,45.08,0.205,87,705.0939999999999,15,4,03-03-2019
139,NOLSM383155,1,Oxidation,wet,973.95603302,H2O,43.66,0.22,103,706.9630000000001,15,5,03-03-2019
140,NOLSM384156,2,Oxidation,dry,1130.7697162,O2,26.92,0.196,121,726.3960000000001,15,6,03-03-2019
141,NOLSM385157,2,Oxidation,wet,1158.4319555,H2O,31.95,0.20199999999999999,115,712.17,15,7,03-03-2019
142,NOLSM386158,2,Oxidation,dry,979.65096504,O2,38.88,0.212,129,715.453,15,8,03-03-2019
143,NOLSM387159,2,Oxidation,dry,1080.6594251,O2,34.22,0.20199999999999999,118,710.5260000000001,15,9,03-03-2019
144,NOLSM3881510,2,Oxidation,dry,1151.8702035999997,O2,41.86,0.204,149,703.3330000000001,15,10,03-03-2019
145,NOLSM3891511,2,Oxidation,dry,957.76693303,O2,37.63,0.201,71,704.586,15,11,03-03-2019
146,NOLSM3901512,2,Oxidation,dry,994.59147935,O2,31.62,0.207,86,711.1110000000001,15,12,03-03-2019
147,NOLSM3911513,2,Oxidation,wet,1109.5569414000001,H2O,39.16,0.21100000000000002,157,707.715,15,13,03-03-2019
148,NOLSM3921514,3,Oxidation,wet,946.9847745,H2O,30.39,0.19899999999999998,74,717.885,15,14,03-03-2019
149,NOLSM3931515,3,Oxidation,wet,1035.8374174,H2O,32.41,0.218,112,719.155,15,15,03-03-2019
150,NOLSM3941516,3,Oxidation,dry,1123.5352347,O2,32.09,0.19399999999999998,103,708.835,15,16,03-03-2019
151,NOLSM3951517,3,Oxidation,wet,1008.6959216,H2O,28.58,0.212,198,702.21,15,17,03-03-2019
152,NOLSM3961518,3,Oxidation,wet,1245.4052478,H2O,29.14,0.212,22,716.6030000000001,15,18,03-03-2019
153,NOLSM3971519,3,Oxidation,wet,1086.8511322999998,H2O,35.67,0.20600000000000002,87,703.77,15,19,03-03-2019
154,NOLSM3981520,3,Oxidation,wet,1088.4632984000002,H2O,33.59,0.20800000000000002,66,717.257,15,20,03-03-2019
155,NOLSM3991521,3,Oxidation,dry,1107.0418660999999,O2,32.59,0.212,118,719.257,15,21,03-03-2019
156,NOLSM4001522,1,Oxidation,dry,1253.4212155999999,O2,35.13,0.207,177,688.9730000000001,15,22,03-03-2019
157,NOLSM4011523,1,Oxidation,dry,1193.1780915,O2,34.26,0.203,70,709.6289999999999,15,23,03-03-2019
158,NOLSM4021524,1,Oxidation,dry,1045.6681153,O2,29.21,0.215,145,708.4010000000001,15,24,03-03-2019
159,NOLSM4031525,1,Oxidation,wet,1178.5072009,H2O,49.17,0.207,74,715.033,15,25,03-03-2019
160,NOLSM4041526,1,Oxidation,wet,923.5846197000001,H2O,37.17,0.192,75,707.538,15,26,03-03-2019
161,NOLSM4051527,1,Oxidation,dry,1171.3522331,O2,29.45,0.21100000000000002,108,700.7189999999999,15,27,03-03-2019
162,NOLSM406161406,3,Oxidation,dry,991.61355284,O2,31.82,0.2,144,699.27,16,28,04-03-2019
163,NOLSM407162407,3,Oxidation,wet,1220.2851445000001,H2O,31.5,0.19399999999999998,125,715.8639999999999,16,29,04-03-2019
164,NOLSM408163408,3,Oxidation,dry,886.56267924,O2,40.05,0.217,45,731.855,16,30,04-03-2019
165,NOLSM409164409,3,Oxidation,dry,977.29358829,O2,30.73,0.201,101,708.933,16,31,04-03-2019
166,NOLSM410165410,3,Oxidation,wet,1049.9185994,H2O,29.77,0.204,165,727.813,16,32,04-03-2019
167,NOLSM411166411,3,Oxidation,dry,1081.5452967,O2,33.67,0.204,191,715.571,16,33,04-03-2019
168,NOLSM412167412,3,Oxidation,dry,993.65698717,O2,31.86,0.2,145,711.227,16,34,04-03-2019
169,NOLSM413168413,3,Oxidation,wet,1094.4023142,H2O,37.22,0.19899999999999998,181,700.922,16,35,04-03-2019
170,NOLSM414169414,3,Oxidation,dry,1004.4542892999999,O2,26.54,0.203,201,704.243,16,36,04-03-2019
171,NOLSM4151610415,3,Oxidation,wet,1058.2548488,H2O,33.08,0.204,79,698.757,16,37,04-03-2019
172,NOLSM4161611416,3,Oxidation,wet,900.80448243,H2O,38.04,0.18899999999999997,59,689.56,16,38,04-03-2019
173,NOLSM4171612417,3,Oxidation,dry,1019.5577266,O2,23.54,0.218,89,689.0980000000001,16,39,04-03-2019
174,NOLSM4181613418,3,Oxidation,wet,1203.2120094,H2O,36.26,0.214,162,708.735,16,40,04-03-2019
175,NOLSM4191614419,3,Oxidation,dry,1206.6058035,O2,40.93,0.21899999999999997,31,704.3969999999999,16,41,04-03-2019
176,NOLSM4201615420,3,Oxidation,wet,1056.8663583999999,H2O,33.96,0.213,119,709.2260000000001,16,42,04-03-2019
177,NOLSM4211616421,3,Oxidation,wet,1111.4079792999999,H2O,34.52,0.201,96,705.135,16,43,04-03-2019
178,NOLSM4221617422,3,Oxidation,wet,1185.2546352,H2O,33.22,0.204,154,715.3839999999999,16,44,04-03-2019
179,NOLSM4231618423,3,Oxidation,wet,1001.3759238,H2O,42.84,0.207,105,713.258,16,45,04-03-2019
180,NOLSM4241619424,3,Oxidation,dry,1098.2451457999998,O2,38.09,0.20199999999999999,92,704.1060000000001,16,46,04-03-2019
181,NOLSM4251620425,3,Oxidation,dry,1055.6097109,O2,37.47,0.20600000000000002,101,710.163,16,47,04-03-2019
182,NOLSM4261621426,3,Oxidation,dry,977.62478007,O2,28.8,0.209,157,706.425,16,48,04-03-2019
183,NOLSM4271622427,3,Oxidation,wet,996.49753546,H2O,36.83,0.218,150,712.5210000000001,16,49,04-03-2019
184,NOLSM4281623428,3,Oxidation,dry,1094.9634705,O2,39.89,0.19699999999999998,152,704.9639999999999,16,50,04-03-2019
185,NOLSM4291624429,3,Oxidation,dry,1126.9653062,O2,39.79,0.21,76,704.293,16,51,04-03-2019
186,NOLSM4301625430,3,Oxidation,dry,1043.9870457,O2,38.44,0.213,72,703.9739999999999,16,52,04-03-2019
187,NOLSM4311626431,3,Oxidation,dry,1241.0956642,O2,41.16,0.187,76,717.3889999999999,16,53,04-03-2019
188,NOLSM4321627432,3,Oxidation,dry,1066.9486992999998,O2,37.65,0.20800000000000002,15,713.6080000000001,16,54,04-03-2019
189,NOLSM406161,1,Oxidation,dry,988.75237674,O2,31.82,0.20600000000000002,144,699.27,16,1,04-03-2019
190,NOLSM407162,1,Oxidation,wet,1219.7771187,H2O,31.5,0.213,125,715.8639999999999,16,2,04-03-2019
191,NOLSM408163,2,Oxidation,dry,871.21747171,O2,40.05,0.21,45,731.855,16,3,04-03-2019
192,NOLSM409164,2,Oxidation,dry,964.76519082,O2,30.73,0.20199999999999999,101,708.933,16,4,04-03-2019
193,NOLSM410165,2,Oxidation,wet,1044.9237171,H2O,29.77,0.20199999999999999,165,727.813,16,5,04-03-2019
194,NOLSM411166,2,Oxidation,dry,1070.2316349,O2,33.67,0.207,191,715.571,16,6,04-03-2019
195,NOLSM412167,2,Oxidation,dry,979.53605998,O2,31.86,0.214,145,711.227,16,7,04-03-2019
196,NOLSM413168,2,Oxidation,wet,1077.0747113,H2O,37.22,0.2,181,700.922,16,8,04-03-2019
197,NOLSM414169,2,Oxidation,dry,1002.1648958999999,O2,26.54,0.205,201,704.243,16,9,04-03-2019
198,NOLSM4151610,2,Oxidation,wet,1053.2793222999999,H2O,33.08,0.22,79,698.757,16,10,04-03-2019
199,NOLSM4161611,2,Oxidation,wet,883.86054607,H2O,38.04,0.2,59,689.56,16,11,04-03-2019
200,NOLSM4171612,3,Oxidation,dry,1011.9568912000001,O2,23.54,0.207,89,689.0980000000001,16,12,04-03-2019
201,NOLSM4181613,3,Oxidation,wet,1196.7805485,H2O,36.26,0.214,162,708.735,16,13,04-03-2019
202,NOLSM4191614,3,Oxidation,dry,1191.2654075,O2,40.93,0.21899999999999997,31,704.3969999999999,16,14,04-03-2019
203,NOLSM4201615,3,Oxidation,wet,1042.761316,H2O,33.96,0.213,119,709.2260000000001,16,15,04-03-2019
204,NOLSM4211616,3,Oxidation,wet,1096.3834908,H2O,34.52,0.201,96,705.135,16,16,04-03-2019
205,NOLSM4221617,3,Oxidation,wet,1178.7448193,H2O,33.22,0.204,154,715.3839999999999,16,17,04-03-2019
206,NOLSM4231618,3,Oxidation,wet,984.50194091,H2O,42.84,0.207,105,713.258,16,18,04-03-2019
207,NOLSM4241619,3,Oxidation,dry,1091.0068597000002,O2,38.09,0.20199999999999999,92,704.1060000000001,16,19,04-03-2019
208,NOLSM4251620,1,Oxidation,dry,1049.2063452,O2,37.47,0.20600000000000002,101,710.163,16,20,04-03-2019
209,NOLSM4261621,1,Oxidation,dry,972.01371761,O2,28.8,0.209,157,706.425,16,21,04-03-2019
210,NOLSM4271622,1,Oxidation,wet,984.63759243,H2O,36.83,0.218,150,712.5210000000001,16,22,04-03-2019
211,NOLSM4281623,1,Oxidation,dry,1085.2850111999999,O2,39.89,0.19699999999999998,152,704.9639999999999,16,23,04-03-2019
212,NOLSM4291624,1,Oxidation,dry,1126.0509287,O2,39.79,0.21,76,704.293,16,24,04-03-2019
213,NOLSM4301625,1,Oxidation,dry,1043.3064266000001,O2,38.44,0.213,72,703.9739999999999,16,25,04-03-2019
214,NOLSM4311626,1,Oxidation,dry,1223.7010226,O2,41.16,0.187,76,717.3889999999999,16,26,04-03-2019
215,NOLSM4321627,1,Oxidation,dry,1049.7396482000001,O2,37.65,0.20800000000000002,15,694.2510000000001,16,27,04-03-2019
216,NOLSM433171433,3,Oxidation,wet,1061.2735593,H2O,40.92,0.205,36,712.692,17,28,05-03-2019
217,NOLSM434172434,3,Oxidation,dry,1209.0889895999999,O2,30.34,0.203,50,714.415,17,29,05-03-2019
218,NOLSM435173435,3,Oxidation,dry,1078.1583472000002,O2,34.53,0.20199999999999999,152,715.404,17,30,05-03-2019
219,NOLSM436174436,3,Oxidation,wet,1054.263752,H2O,30.03,0.19399999999999998,128,713.132,17,31,05-03-2019
220,NOLSM437175437,3,Oxidation,dry,1065.1770482999998,O2,35.89,0.196,184,714.295,17,32,05-03-2019
221,NOLSM438176438,3,Oxidation,dry,1080.2619633,O2,38.25,0.19399999999999998,87,710.1139999999999,17,33,05-03-2019
222,NOLSM439177439,3,Oxidation,dry,959.07937743,O2,34.68,0.205,135,710.617,17,34,05-03-2019
223,NOLSM440178440,3,Oxidation,wet,994.89574875,H2O,33.83,0.22399999999999998,69,711.632,17,35,05-03-2019
224,NOLSM441179441,3,Oxidation,dry,1186.4540029999998,O2,32.8,0.21899999999999997,140,710.084,17,36,05-03-2019
225,NOLSM4421710442,3,Oxidation,wet,1032.8292609999999,H2O,31.86,0.20800000000000002,156,702.48,17,37,05-03-2019
